source_path	sha256	bytes
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1/SHA256SUMS	91a47bfc44d673177305b9e8f962f647afe2d86177bde4503b69d7bedd9ce622	1312
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1/full_inventory_event_reconciliation.tsv	11700cd9316beefd4ae2d6a90b9812beaf2030096cccdb2b86d1d1aa5f288231	1394
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1/normalization_policy.json	4eb254e496121bcedb15f8fd7548aee16402ea3a24a08c32c0c25dc4eb40303c	2480
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_run2_luminosity_contract_freeze_20260731_v1/SHA256SUMS	118ec71bc420f7b5254e7157460aae81e89fa2672f69f85ffb76979a2feeae94	858
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_run2_luminosity_contract_freeze_20260731_v1/run2_luminosity_contract.tsv	9acfad8c483924c29a732c10c706b99aa8357554496e325c7c2da34ea93d4f44	720
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_run2_luminosity_contract_freeze_20260731_v1/normalization_policy.json	0fafd4aaa514f70992e063efd3536f514c92a2ed27b646fc36a5181daa586250	1432
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_qcd_importance_denominator_stitching_freeze_20260729_v2/SHA256SUMS	cce4147f870e02e3129cc89ef4d0f00895db05388e59db269d500c7650f5221f	946
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_qcd_importance_denominator_stitching_freeze_20260729_v2/qcd_shard_normalization_registry.tsv	6996021288fe59af2020a35f3fee8c21c5d3807e72e13ee73076e24e7ac0e38e	221632
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_qcd_importance_denominator_stitching_freeze_20260729_v2/qcd_exclusive_bin_registry.tsv	a29b44a2afe9afb6954362af73cdaa71e707893836eaf1dcf2912eb32814a78b	4295
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_qcd_importance_denominator_stitching_freeze_20260729_v2/qcd_campaign_role_freeze.tsv	65e3f7e0d82642ee6eacd8e01547206bd42b382aec8ef6f9c09244c3d45d781a	1093
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_qcd_importance_denominator_stitching_freeze_20260729_v2/qcd_testfill_exclusion_registry.tsv	211774af66dd3282e3c17790026a4ed27ad1de19fb9e947a22662bed5178bbdb	1398
/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_qcd_importance_denominator_stitching_freeze_20260729_v2/summary.json	aa64f5c2b7ebe440f1b18948079256236ccce9f2fb1051331849a8ff4526b24f	2000
