score_threshold	epsilon_S	epsilon_B	rejection	raw_signal_rows	raw_background_rows	physical_S	physical_B	physical_QCD_B	physical_nonQCD_B	physical_background_efficiency	S_over_B	S_over_sqrt_B_diagnostic	ZA_stat_only	signal_sumw	signal_sumw2	signal_Neff	background_sumw	background_sumw2	background_Neff	qcd_raw_rows	qcd_sumw	qcd_sumw2	qcd_Neff	qcd_largest_abs_event_weight	qcd_largest_event_fraction_of_yield	qcd_largest_source_fraction_of_yield	QCD_Neff_below_100	QCD_raw_O_1_to_10	zero_QCD_rows_not_zero_physical_QCD	variant	target_epsilon_S	epsilon_S_over_sqrt_epsilon_B
0.9008601307868958	0.02000264789602595	0.0006514254133661988	1535.0951612903225	1813	620	10.845139656137803	1613146.1055425238	1587101.0091563864	26045.09638613742	2.5895487225134846e-05	6.722974204801139e-06	0.00853882861730345	0.008538819049470688	10.845139656137803	0.1261823492732034	932.1197048445699	1613146.1055425238	655121867992.8395	3.9721469927415916	33	1587101.0091563864	655118885605.1082	3.8449351233991957	455338.26534857607	0.28689936098686514	0.5737987219737303	True	False	False	global_mass_plane_blind	0.02	0.7837095547294962
0.8911520838737488	0.029998455393984862	0.0011725657440591578	852.8306451612904	2719	1116	16.223444419268368	3866388.67590944	3815694.2543310076	50694.42157843243	6.20663052282834e-05	4.196020053636315e-06	0.008250690766372488	0.008250684996691215	16.223444419268368	0.18856543184485472	1395.8027526574551	3866388.67590944	1917665410587.7139	7.795396063706072	43	3815694.2543310076	1917659521004.6592	7.592339767857722	707113.841236441	0.1853172172885264	0.23866601200122045	True	False	False	global_mass_plane_blind	0.03	0.8760528211467541
0.8833572864532471	0.0400052957920519	0.0018239911574253567	548.2482718894009	3626	1736	21.901782603334034	5625101.550751638	5546340.822872269	78760.7278793687	9.029854446977457e-05	3.893579947975779e-06	0.00923451902208589	0.009234513029442348	21.901782603334034	0.25582396444520006	1875.070938893448	5625101.550751638	2955809523048.659	10.704941306107155	59	5546340.822872269	2955800455030.934	10.40729812159715	711739.0203789892	0.1283258716168118	0.2536278886409462	True	False	False	global_mass_plane_blind	0.04	0.9367120812214125
0.8761863112449646	0.05000110329001081	0.002617259201121292	382.07908470493777	4532	2491	27.57718769338205	8708240.867884196	8593322.819612846	114918.04827135056	0.0001397915163250834	3.166792020542992e-06	0.009345117331335048	0.009345112398889613	27.57718769338205	0.3230604761290386	2354.0523749251793	8708240.867884196	4599636615537.617	16.486836972495247	74	8593322.819612846	4599623440794.937	16.054617955707364	711739.0203789892	0.08282465762307474	0.16369764549955054	True	False	False	global_mass_plane_blind	0.05	0.9773637330242918
0.870026171207428	0.059996910787969725	0.003469365669250304	288.23712901271955	5438	3302	33.63949444837065	10123184.602063078	9968219.89101312	154964.71104995906	0.00016250530354300626	3.3230150165902346e-06	0.010572821061686397	0.01057281520589702	33.63949444837065	0.3966416179944796	2852.9925640776037	10123184.602063078	5080331919636.934	20.17168722605248	87	9968219.89101312	5080314163113.899	19.5589100605316	711739.0203789892	0.07140081460488845	0.14111914945379592	True	False	False	global_mass_plane_blind	0.06	1.0186004202452117
0.8645758628845215	0.07000375118603676	0.004397121540221842	227.42150537634407	6345	4185	39.641167109676445	11934499.335150436	11735430.971595451	199068.36355498433	0.00019158194909309263	3.321560963426604e-06	0.011474779005112555	0.011474772652519491	39.641167109676445	0.4691978358923471	3349.16747181639	11934499.335150436	5987768742573.461	23.787203631964374	106	11735430.971595451	5987745982301.862	23.000364493775347	711739.0203789892	0.06064873306329261	0.11986834705883304	True	False	False	global_mass_plane_blind	0.07	1.055691628079329
0.8594889044761658	0.07999955868399568	0.005408932303240631	184.87937062937064	7251	5148	46.174628047515284	12501113.82981819	12252929.819006046	248184.01081214286	0.00020067768962014825	3.693641116792137e-06	0.013059575211655464	0.01305956717196527	46.174628047515284	0.5504770482645786	3873.179239802974	12501113.82981819	6192783653846.995	25.23547660008934	116	12252929.819006046	6192755264137.175	24.24353664013323	711739.0203789892	0.0580872518566931	0.11480574306450188	True	False	False	global_mass_plane_blind	0.08	1.0877568283527155
0.8548732399940491	0.08999536618195458	0.006530014425920848	153.13901850362026	8157	6215	52.42245279777886	15295115.146007456	14991725.407211363	303389.73879609257	0.0002455291913792255	3.4273983750598244e-06	0.013404201935801982	0.013404194278905443	52.42245279777886	0.6270831969259019	4382.374732423389	15295115.146007456	7548290987201.49	30.992518402680123	130	14991725.407211363	7548256401213.768	29.77533071731458	711739.0203789892	0.047475457363741896	0.0938322090605744	True	False	False	global_mass_plane_blind	0.09000000000000001	1.113686814982127
0.8507235646247864	0.10000220658002162	0.0077141377176365026	129.63211658948515	9064	7342	58.94537959023506	16054021.41786743	15690435.759984571	363585.65788285807	0.00025771175041743196	3.671689357822297e-06	0.014711530271669965	0.014711521268680984	58.94537959023506	0.7081628999235159	4906.4385827218075	16054021.41786743	7789446809160.742	33.08727949489842	139	15690435.759984571	7789405404745.718	31.605721046206018	711739.0203789892	0.045361329109427424	0.08965376960248075	True	False	False	global_mass_plane_blind	0.1	1.1385861299233164
0.8465191125869751	0.10999801407798054	0.00903274883662776	110.70827032685821	9970	8597	66.0780004857498	17688957.05448754	17260376.52684644	428580.5276411027	0.0002839570202950635	3.7355509588388286e-06	0.015711070557816714	0.01571106077649549	66.0780004857498	0.7992783943585101	5462.805174033367	17688957.05448754	8564121616473.649	36.53605304642363	156	17260376.52684644	8564072962025.46	34.78725592011436	711739.0203789892	0.041235428397055233	0.08149919037978219	True	False	False	global_mass_plane_blind	0.11	1.1573770788439754
