signal_efficiency	background_efficiency	background_rejection	threshold
0.0	0.0		inf
1.1032900108122421e-05	0.0		0.97056365
2.2065800216244843e-05	0.0		0.96953315
2.2065800216244843e-05	1.0506861505906432e-06	951759.0	0.9652606
0.00029788830291930537	1.0506861505906432e-06	951759.0	0.9531749
0.00029788830291930537	2.1013723011812863e-06	475879.5	0.9530031
0.00038615150378428474	2.1013723011812863e-06	475879.5	0.95171905
0.00038615150378428474	3.1520584517719295e-06	317253.0	0.9515709
0.0005957766058386107	3.1520584517719295e-06	317253.0	0.9489222
0.0005957766058386107	4.202744602362573e-06	237939.75	0.9487257
0.0006509411063792229	4.202744602362573e-06	237939.75	0.94850504
0.0006509411063792229	5.253430752953216e-06	190351.8	0.9484333
0.0007281714071360797	5.253430752953216e-06	190351.8	0.9478424
0.0007281714071360797	6.304116903543859e-06	158626.5	0.94784176
0.0008826320086497937	6.304116903543859e-06	158626.5	0.94650584
0.0008826320086497937	7.354803054134503e-06	135965.57142857142	0.9464672
0.0008936649087579161	7.354803054134503e-06	135965.57142857142	0.9464382
0.0008936649087579161	8.405489204725145e-06	118969.875	0.94642365
0.0009819281096228956	8.405489204725145e-06	118969.875	0.94586897
0.0009819281096228956	9.456175355315789e-06	105751.0	0.9458436
0.000992961009731018	9.456175355315789e-06	105751.0	0.94583195
0.000992961009731018	1.0506861505906433e-05	95175.9	0.945712
0.0011474216112447317	1.0506861505906433e-05	95175.9	0.94479597
0.0011474216112447317	1.1557547656497076e-05	86523.54545454546	0.9447167
0.0012246519120015888	1.1557547656497076e-05	86523.54545454546	0.94421625
0.0012246519120015888	1.2608233807087718e-05	79313.25	0.9442092
0.001445309914164037	1.2608233807087718e-05	79313.25	0.9427937
0.001445309914164037	1.3658919957678362e-05	73212.23076923077	0.9427379
0.0015004744147046492	1.3658919957678362e-05	73212.23076923077	0.9424338
0.0015004744147046492	1.4709606108269005e-05	67982.78571428571	0.9422886
0.0015887376155696287	1.4709606108269005e-05	67982.78571428571	0.9414807
0.0015887376155696287	1.576029225885965e-05	63450.6	0.9414791
0.0017431982170833425	1.576029225885965e-05	63450.6	0.94100404
0.0017431982170833425	1.681097840945029e-05	59484.9375	0.9409957
0.0018535272181645667	1.681097840945029e-05	59484.9375	0.9406587
