feature	mean_gain
drbb1	130.63403930664063
j2_mass	148.2333953857422
mbb2	161.24162902832032
ht_candidate_jets	175.6438201904297
abs_h_delta_eta	187.04836730957032
j3_mass	200.1120574951172
j4_mass	215.53192138671875
hh_pt	228.84340209960936
ht_selected_jets	241.5654296875
mbb1	244.04585876464844
mhh	259.78443908691406
r_hh_125_125	408.69716186523436
n_selected_jets	464.49012451171876
ht_selected_bjets	1587.876220703125
n_selected_bjets	4045.135986328125
