variant	outer_fold	selected_candidate	threshold	inner_oof_auc	held_outer_auc	epsilon_B	rejection	Neff_background	finite_mc_relative_uncertainty_background	finite_mc_dominated
global_mass_plane_blind	0	depth4	0.6112717390060425	0.7917216929	0.7954271950819785	0.174232821038122	5.739446758892807	226.24605924430404	0.066482828523113	False
global_mass_plane_blind	1	depth4	0.6055284142494202	0.7891301874	0.813548781374201	0.1682392645838121	5.943915663645971	87.4839377197772	0.1069143102874215	True
global_mass_plane_blind	2	depth4	0.6119205951690674	0.7939313997	0.7968731975496297	0.1849311363873564	5.407418239757105	272.3161324306367	0.0605987010173503	False
global_mass_plane_blind	3	depth4	0.6115936636924744	0.7926551135	0.7852810857096981	0.1920276156138848	5.207584319594568	256.7527326804245	0.0624083158255013	False
global_mass_plane_blind	4	depth4	0.6142245531082153	0.7941126484	0.7651523685363916	0.2127622342299457	4.700082247299754	417.469375178992	0.048942673498812	False
global_mass_aware	0	depth4	0.6114455461502075	0.7987946579	0.802909417399205	0.1631907529105599	6.127798188099975	196.3170164690068	0.0713708760163223	False
global_mass_aware	1	depth4	0.6065226793289185	0.7961517207	0.8206168231050308	0.1584437531652927	6.31138798483758	90.17212527444578	0.1053086019297868	True
global_mass_aware	2	depth4	0.6129404902458191	0.801587532	0.8038574858471512	0.176963237072642	5.65089120510102	266.9534331270993	0.0612043436252948	False
global_mass_aware	3	depth4	0.6115982532501221	0.7996594785	0.7919147696757245	0.180932343374313	5.526927808209498	251.95635508151832	0.0629995346456219	False
global_mass_aware	4	depth4	0.6145967841148376	0.801483856	0.7734270849144914	0.2018668329049541	4.953760781845893	398.1968608944032	0.0501130786440236	False
