sample_class	bin_low	bin_high	density
signal	0.0	0.02	0.00551645005406121
signal	0.02	0.04	0.036960215362210114
signal	0.04	0.06	0.07392043072442023
signal	0.06	0.08	0.13129151128665678
signal	0.08	0.1	0.15721882654074446
signal	0.1	0.12	0.19031752686511183
signal	0.12	0.14	0.22120964716785435
signal	0.14	0.16	0.23720735232463216
signal	0.16	0.18	0.3056113329949912
signal	0.18	0.2	0.3370550983031397
signal	0.2	0.22	0.36132747854100944
signal	0.22	0.24	0.3359518082923279
signal	0.24	0.26	0.416491979081621
signal	0.26	0.28	0.48489595975198
signal	0.28	0.3	0.5317857852115018
signal	0.3	0.32	0.6034996359142959
signal	0.32	0.34	0.672455261590061
signal	0.34	0.36	0.804850062887532
signal	0.36	0.38	0.9085593239038806
signal	0.38	0.4	1.016130099958074
signal	0.4	0.42	0.9902027847039893
signal	0.42	0.44	0.9681369844877417
signal	0.44	0.46	0.9184889340011908
signal	0.46	0.48	0.9234537390498484
signal	0.48	0.5	1.0679847304662493
signal	0.5	0.52	1.1358370661312023
signal	0.52	0.54	1.1943114367042509
signal	0.54	0.56	1.372492773450428
signal	0.56	0.58	1.5065425097641236
signal	0.58	0.6	1.7354751870076552
signal	0.6	0.62	1.9539266091484793
signal	0.62	0.64	2.059842450186454
signal	0.64	0.66	2.0377766499702092
signal	0.66	0.68	1.7895363975374552
signal	0.68	0.7000000000000001	1.624042895915619
signal	0.7000000000000001	0.72	1.5578454952668932
signal	0.72	0.74	1.6091484807696539
signal	0.74	0.76	1.8413910280456305
signal	0.76	0.78	2.05046448509455
signal	0.78	0.8	2.3985524835058123
signal	0.8	0.8200000000000001	2.539221959884373
signal	0.8200000000000001	0.84	2.5850084953330956
signal	0.84	0.86	2.3626955581544142
signal	0.86	0.88	1.7294070919481879
signal	0.88	0.9	1.177210441536661
signal	0.9	0.92	0.6388049162602876
signal	0.92	0.9400000000000001	0.3034047529733663
signal	0.9400000000000001	0.96	0.09267636090822878
signal	0.96	0.98	0.003861515037842844
signal	0.98	1.0	0.0
background	0.0	0.02	0.12912932790759005
background	0.02	0.04	0.6610391916441032
background	0.04	0.06	1.0172743310018608
background	0.06	0.08	1.1930015896881456
background	0.08	0.1	1.268545923915613
background	0.1	0.12	1.323654412514093
background	0.12	0.14	1.4146963674627704
background	0.14	0.16	1.518819364986305
background	0.16	0.18	1.5955719882869515
background	0.18	0.2	1.5990392525838983
background	0.2	0.22	1.5159825123797104
background	0.22	0.24	1.4228391851298499
background	0.24	0.26	1.3842264690956416
background	0.26	0.28	1.3751380338930326
background	0.28	0.3	1.3951536050617883
background	0.3	0.32	1.4269893954246808
background	0.32	0.34	1.530481981257859
background	0.34	0.36	1.6772628364953766
background	0.36	0.38	1.7884779655353915
background	0.38	0.4	1.834970827699027
background	0.4	0.42	1.7089935582432139
background	0.42	0.44	1.453256549189447
background	0.44	0.46	1.2448529512197928
background	0.46	0.48	1.152234967045231
background	0.48	0.5	1.1264406220482277
background	0.5	0.52	1.1492930458235742
background	0.52	0.54	1.1627418285511344
background	0.54	0.56	1.2117038031686582
background	0.56	0.58	1.2917660878436725
background	0.58	0.6	1.437075982470351
background	0.6	0.62	1.4876665206212905
background	0.62	0.64	1.4450086629073104
background	0.64	0.66	1.24180596138308
background	0.66	0.68	0.9632690628615008
background	0.68	0.7000000000000001	0.6993892361406611
background	0.7000000000000001	0.72	0.577036833904384
background	0.72	0.74	0.5172002576282436
background	0.74	0.76	0.5165698459378892
background	0.76	0.78	0.5106860034945817
background	0.78	0.8	0.515939434247535
background	0.8	0.8200000000000001	0.504592023821156
background	0.8200000000000001	0.84	0.4343011203466444
background	0.84	0.86	0.310898031959771
background	0.86	0.88	0.157077579513301
background	0.88	0.9	0.07318029038863824
background	0.9	0.92	0.026424756687354653
background	0.92	0.9400000000000001	0.007407337361664028
background	0.9400000000000001	0.96	0.0008405489204725185
background	0.96	0.98	5.2534307529532115e-05
background	0.98	1.0	0.0
