signal_efficiency	background_efficiency	background_rejection	threshold
0.0	0.0		inf
1.1032900108122421e-05	0.0		0.9851157
7.723030075685695e-05	0.0		0.97931117
7.723030075685695e-05	1.0506861505906432e-06	951759.0	0.97906643
8.826320086497937e-05	1.0506861505906432e-06	951759.0	0.9788423
8.826320086497937e-05	2.1013723011812863e-06	475879.5	0.9785888
0.00104812551027163	2.1013723011812863e-06	475879.5	0.96847916
0.00104812551027163	3.1520584517719295e-06	317253.0	0.9684425
0.0015777047154615063	3.1520584517719295e-06	317253.0	0.9657163
0.0015777047154615063	4.202744602362573e-06	237939.75	0.9656866
0.0016328692160021182	4.202744602362573e-06	237939.75	0.9655439
0.0016328692160021182	5.253430752953216e-06	190351.8	0.9655128
0.002316909022705708	5.253430752953216e-06	190351.8	0.9635018
0.002316909022705708	6.304116903543859e-06	158626.5	0.96349186
0.0026589289260575033	6.304116903543859e-06	158626.5	0.96258074
0.0026589289260575033	7.354803054134503e-06	135965.57142857142	0.9624855
0.0029788830291930537	7.354803054134503e-06	135965.57142857142	0.9618772
0.0029788830291930537	8.405489204725145e-06	118969.875	0.96187586
0.0031002449303824003	8.405489204725145e-06	118969.875	0.9614827
0.0031002449303824003	9.456175355315789e-06	105751.0	0.96146345
0.0032878042322204816	9.456175355315789e-06	105751.0	0.96106935
0.0033098700324367264	9.456175355315789e-06	105751.0	0.9610583
0.003331935832652971	9.456175355315789e-06	105751.0	0.96104497
0.003331935832652971	1.0506861505906433e-05	95175.9	0.9610317
0.004060107239789051	1.0506861505906433e-05	95175.9	0.9591681
0.004060107239789051	1.1557547656497076e-05	86523.54545454546	0.959164
0.004137337540545908	1.1557547656497076e-05	86523.54545454546	0.9590409
0.004137337540545908	1.2608233807087718e-05	79313.25	0.95901483
0.0042697323418433766	1.2608233807087718e-05	79313.25	0.9588282
0.0042697323418433766	1.3658919957678362e-05	73212.23076923077	0.958784
0.0043579955427083565	1.3658919957678362e-05	73212.23076923077	0.9586107
0.0043579955427083565	1.576029225885965e-05	63450.6	0.9585844
0.00446832454378958	1.576029225885965e-05	63450.6	0.95827925
0.00446832454378958	1.8912350710631578e-05	52875.5	0.9582439
0.0049206734482226	1.8912350710631578e-05	52875.5	0.9573903
0.0049206734482226	1.996303686122222e-05	50092.57894736843	0.9573663
0.004986870848871334	1.996303686122222e-05	50092.57894736843	0.9572801
0.004986870848871334	2.1013723011812865e-05	47587.95	0.9572711
0.005053068249520069	2.1013723011812865e-05	47587.95	0.95717907
0.005053068249520069	2.2064409162403507e-05	45321.857142857145	0.9571782
0.005130298550276926	2.2064409162403507e-05	45321.857142857145	0.9570685
0.005130298550276926	2.3115095312994152e-05	43261.77272727273	0.9570682
0.005174430150709415	2.3115095312994152e-05	43261.77272727273	0.9569938
0.005174430150709415	2.4165781463584794e-05	41380.82608695652	0.95695126
0.005384055252763742	2.4165781463584794e-05	41380.82608695652	0.9565994
0.005384055252763742	2.626715376476608e-05	38070.36	0.9565559
0.0054061210529799866	2.626715376476608e-05	38070.36	0.9565343
0.0054061210529799866	2.7317839915356723e-05	36606.11538461538	0.95652515
0.005505417153953088	2.7317839915356723e-05	36606.11538461538	0.9562673
0.005505417153953088	2.836852606594737e-05	35250.33333333333	0.95626485
0.005637811955250557	2.836852606594737e-05	35250.33333333333	0.955995
0.005637811955250557	2.941921221653801e-05	33991.392857142855	0.95599365
0.005836404157196761	2.941921221653801e-05	33991.392857142855	0.9557255
0.005836404157196761	3.0469898367128652e-05	32819.275862068964	0.9556951
0.0059467331582779845	3.0469898367128652e-05	32819.275862068964	0.95549035
0.0059467331582779845	3.15205845177193e-05	31725.3	0.9554868
0.00596879895849423	3.15205845177193e-05	31725.3	0.95547366
0.005979831858602352	3.257127066830994e-05	30701.90322580645	0.9554619
0.006101193759791699	3.257127066830994e-05	30701.90322580645	0.95519215
0.006101193759791699	3.362195681890058e-05	29742.46875	0.95517385
0.006134292460116066	3.362195681890058e-05	29742.46875	0.95511186
0.006134292460116066	3.4672642969491223e-05	28841.18181818182	0.9551084
0.006178424060548556	3.4672642969491223e-05	28841.18181818182	0.9550339
0.006178424060548556	3.572332912008187e-05	27992.91176470588	0.9550303
0.00628875306162978	3.572332912008187e-05	27992.91176470588	0.9548909
0.00628875306162978	3.7824701421263156e-05	26437.75	0.9548807
0.006354950462278515	3.7824701421263156e-05	26437.75	0.9547651
0.006354950462278515	3.992607372244444e-05	25046.289473684214	0.9547437
0.006399082062711004	3.992607372244444e-05	25046.289473684214	0.95467424
0.006399082062711004	4.097675987303509e-05	24404.076923076922	0.95465183
0.006520443963900351	4.097675987303509e-05	24404.076923076922	0.9543165
0.006531476864008473	4.202744602362573e-05	23793.975	0.95428056
0.0066528387651978195	4.202744602362573e-05	23793.975	0.9541592
0.0066528387651978195	4.307813217421637e-05	23213.634146341465	0.95414
0.006741101966062799	4.307813217421637e-05	23213.634146341465	0.95396954
0.006741101966062799	4.4128818324807014e-05	22660.928571428572	0.9539631
0.006862463867252146	4.4128818324807014e-05	22660.928571428572	0.95379156
0.006862463867252146	4.5179504475397656e-05	22133.93023255814	0.953747
0.00692866126790088	4.5179504475397656e-05	22133.93023255814	0.9536561
0.00692866126790088	4.6230190625988305e-05	21630.886363636364	0.95362663
0.007005891568657737	4.6230190625988305e-05	21630.886363636364	0.95357066
0.007005891568657737	4.7280876776578947e-05	21150.2	0.9535128
0.0070831218694145945	4.7280876776578947e-05	21150.2	0.9534403
0.0070831218694145945	4.833156292716959e-05	20690.41304347826	0.953426
0.007116220569738961	4.833156292716959e-05	20690.41304347826	0.9533786
0.007116220569738961	4.938224907776023e-05	20250.191489361703	0.953377
0.007160352170171452	4.938224907776023e-05	20250.191489361703	0.9532858
