feature	mean_gain
drbb2	85.20037384033203
abs_h_delta_phi	91.74307403564453
j1_mass	98.73162689208985
drbb1	129.53948822021485
j2_mass	142.08644409179686
abs_h_delta_eta	172.27454528808593
j3_mass	188.21622009277343
j4_mass	206.17178039550782
ht_candidate_jets	210.22589111328125
mhh	220.5720672607422
hh_pt	227.50614318847656
ht_selected_jets	274.55507507324216
n_selected_jets	459.8741149902344
ht_selected_bjets	906.91689453125
n_selected_bjets	5051.17822265625
