sample_class	bin_low	bin_high	density
signal	0.0	0.02	0.006619740064873453
signal	0.02	0.04	0.04027008539464684
signal	0.04	0.06	0.07723030075685695
signal	0.06	0.08	0.12136190118934662
signal	0.08	0.1	0.17542311171914646
signal	0.1	0.12	0.19693726692998528
signal	0.12	0.14	0.2223129371786666
signal	0.14	0.16	0.2559632825084403
signal	0.16	0.18	0.27582250270306063
signal	0.18	0.2	0.3326419382598907
signal	0.2	0.22	0.34808799841126253
signal	0.22	0.24	0.38559985877887876
signal	0.24	0.26	0.47000154460601473
signal	0.26	0.28	0.49482556984929016
signal	0.28	0.3	0.5521966504115282
signal	0.3	0.32	0.6073611509521387
signal	0.32	0.34	0.7038990268982098
signal	0.34	0.36	0.8136763829740301
signal	0.36	0.38	0.8440168582713644
signal	0.38	0.4	0.8655310134822032
signal	0.4	0.42	0.9664820494715258
signal	0.42	0.44	1.0028906198283272
signal	0.44	0.46	0.9946159447472352
signal	0.46	0.48	1.0354376751472911
signal	0.48	0.5	1.1054965908338656
signal	0.5	0.52	1.2064476268231856
signal	0.52	0.54	1.2467177122178326
signal	0.54	0.56	1.3250513029855016
signal	0.56	0.58	1.4921997396235644
signal	0.58	0.6	1.5495708201857927
signal	0.6	0.62	1.6902402965643533
signal	0.62	0.64	1.7724354023698654
signal	0.64	0.66	1.825393322888853
signal	0.66	0.68	1.8127054877645121
signal	0.68	0.7000000000000001	1.8535272181645652
signal	0.7000000000000001	0.72	1.788984752532059
signal	0.72	0.74	1.7608508572563368
signal	0.74	0.76	1.7796067874401449
signal	0.76	0.78	1.8132571327699183
signal	0.78	0.8	1.8055341026942326
signal	0.8	0.8200000000000001	1.7950528475915164
signal	0.8200000000000001	0.84	1.8557337981861999
signal	0.84	0.86	1.8866259184889325
signal	0.86	0.88	1.766367307310398
signal	0.88	0.9	1.6119067057966845
signal	0.9	0.92	1.3978684436991096
signal	0.92	0.9400000000000001	1.1623160263906962
signal	0.9400000000000001	0.96	0.7210000220658036
signal	0.96	0.98	0.18314614179483202
signal	0.98	1.0	0.0027582250270306026
background	0.0	0.02	0.16280381903402016
background	0.02	0.04	0.7289660512797883
background	0.04	0.06	1.0430686759988612
background	0.06	0.08	1.2047167402672312
background	0.08	0.1	1.309732821018766
background	0.1	0.12	1.3958365510596702
background	0.12	0.14	1.4816776095629238
background	0.14	0.16	1.4894001527697671
background	0.16	0.18	1.5359980835484621
background	0.18	0.2	1.5287483491093845
background	0.2	0.22	1.4896628243074146
background	0.22	0.24	1.4706979392892536
background	0.24	0.26	1.4828333643285736
background	0.26	0.28	1.4740076006636122
background	0.28	0.3	1.4701725962139602
background	0.3	0.32	1.530587049872918
background	0.32	0.34	1.5312174615632723
background	0.34	0.36	1.5781831324946787
background	0.36	0.38	1.5938383561384748
background	0.38	0.4	1.6053959037949719
background	0.4	0.42	1.5439307639854236
background	0.42	0.44	1.4718536940549014
background	0.44	0.46	1.374665225125267
background	0.46	0.48	1.2752703152793956
background	0.48	0.5	1.242016098613198
background	0.5	0.52	1.2135425039321919
background	0.52	0.54	1.226571012199516
background	0.54	0.56	1.2496861075125099
background	0.56	0.58	1.2495810388974578
background	0.58	0.6	1.2625570128572452
background	0.6	0.62	1.2319295115675282
background	0.62	0.64	1.180971233263882
background	0.64	0.66	1.108526423180657
background	0.66	0.68	1.01501535577809
background	0.68	0.7000000000000001	0.8767450583603615
background	0.7000000000000001	0.72	0.758700469341507
background	0.72	0.74	0.6443858161572409
background	0.74	0.76	0.5522931750579712
background	0.76	0.78	0.4814769285081618
background	0.78	0.8	0.4265785771398008
background	0.8	0.8200000000000001	0.3821870872773461
background	0.8200000000000001	0.84	0.31993393285485233
background	0.84	0.86	0.2743866882267462
background	0.86	0.88	0.22043395439391678
background	0.88	0.9	0.15586929044012177
background	0.9	0.92	0.09519216524351218
background	0.92	0.9400000000000001	0.045967519088340604
background	0.9400000000000001	0.96	0.011662616271556193
background	0.96	0.98	0.0005253430752953211
background	0.98	1.0	0.0
