qcd_threshold,top_threshold,signal_xsec_pb,background_xsec_pb,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.5,0.5,0.00044586855986055774,3.7315442544167317,200.64085193725097,1679194.9144875293,0.00011948633848649084,0.15483488220937897,0.0011948633848649084,278,1461,149.80693528193444,550.0900770548137
0.5,0.525,0.0004328584131437214,3.526762093456991,194.7862859146746,1587042.942055646,0.00012273535942409607,0.15461941926104344,0.0012273535942409607,271,1391,145.499476101547,525.9931525291122
0.5,0.55,0.0004073250256861443,3.3435164282003,183.29626155876494,1504582.392690135,0.00012182534000749427,0.14943269182645122,0.0012182534000749427,260,1314,137.20361982205753,503.6063433421187
0.5,0.575,0.0004005764993396783,3.0887266583500392,180.25942470285523,1389926.9962575177,0.00012968985075346922,0.15289806371115205,0.001296898507534692,255,1208,134.89053743271936,447.8749997431651
0.5,0.6,0.0003778493180832226,2.8379852917556887,170.03219313745018,1277093.38129006,0.00013313998461544888,0.1504595745655661,0.0013313998461544887,243,1112,127.37971259302047,395.8649767092944
0.5,0.625,0.0003637030574221631,2.594452090064597,163.6663758399734,1167503.4405290687,0.00014018491951150563,0.1514713099034484,0.0014018491951150562,229,1005,122.32830386141225,346.46397169429946
0.5,0.65,0.0003533368149144163,2.2588778506246774,159.00156671148736,1016495.0327811048,0.0001564213907435072,0.15770620214629288,0.001564213907435072,220,879,118.69972075141155,307.37926426960837
0.5,0.675,0.0002984900218459495,1.8923973824698699,134.32050983067728,851578.8221114414,0.0001577311534094251,0.14555593063195585,0.0015773115340942509,193,751,100.6862083963515,264.15668744954274
0.5,0.7,0.00025271105534897445,1.5951636491902814,113.7199749070385,717823.6421356266,0.0001584232786882103,0.13422328887757906,0.0015842327868821028,167,623,85.45277602201101,205.61016361958352
0.5,0.725,0.00022258613977792533,1.2471306447631028,100.1637629000664,561208.7901433962,0.00017847860664205428,0.13370523115581132,0.0017847860664205427,146,495,75.20279233206192,163.31846828750562
0.5,0.75,0.0001899796219898185,0.9746152416846268,85.49082989541832,438576.85875808203,0.00019492781752667633,0.1290912115136357,0.0019492781752667632,128,383,64.38346462901572,123.41150658724185
0.5,0.775,0.0001409075433156264,0.7004047306308373,63.408394492031874,315182.1287838768,0.00020118017076885595,0.11294472821732743,0.0020118017076885594,100,275,48.05039420095873,82.93933042552473
0.5,0.8,0.00010797642154345579,0.3928764346755748,48.58938969455511,176794.39560400866,0.0002748355768210414,0.1155599106268494,0.0027483557682104138,80,189,37.02092224122591,100.73675624040048
0.5,0.825,7.439609180315774e-05,0.23225772368518982,33.47824131142098,104515.97565833542,0.00032031697642915326,0.10355505315067892,0.003203169764291532,56,118,25.560190036014976,56.835022648557306
0.5,0.85,5.463741873985541e-05,0.13072127284800983,24.586838432934936,58824.572781604424,0.0004179688397265116,0.10137323281989688,0.004179688397265116,44,69,18.94563657278365,31.25828640003789
0.5,0.875,3.158563349933601e-05,0.0706569687194601,14.213535074701204,31795.635923757047,0.00044702785969697,0.07971101657344165,0.0044702785969697,30,36,11.238501348027969,15.632884604184554
0.5,0.9,1.6952466862180903e-05,0.010790380856995982,7.628610087981406,4855.671385648192,0.001571072150913905,0.10947646714891954,0.015710721509139047,13,12,5.838737172936797,5.123039752433487
