category,sample,group,selected_test_rows,xsec_pb,expected_events_450fb,fraction_within_category_group
CAT0_tight,VBF_HH4b_SMnorm,signal,10,1.6230199203187252e-06,0.7303589641434264,0.14734031294257247
CAT0_tight,Zbbbb_100k,background,1,0.00019786443273927393,89.03899473267327,0.024546361136577877
CAT0_tight,ggF_HH4b_SMnorm,signal,3,9.392430555555556e-06,4.22659375,0.8526596870574276
CAT0_tight,qcd_bbbb_iht600plus_20000,background,2,0.0005014776797599445,225.664955891975,0.0622115458493792
CAT0_tight,ttbar_200k,background,1,0.007361503714641543,3312.6766715886943,0.9132420930140429
CAT1_qcdtight_topmedium,VBF_HH4b_SMnorm,signal,14,2.2722278884462157e-06,1.0225025498007971,0.0367926716845666
CAT1_qcdtight_topmedium,Zbbbb_100k,background,6,0.0011871865964356435,534.2339683960396,0.014814898294723586
CAT1_qcdtight_topmedium,ggF_HH4b_SMnorm,signal,19,5.948539351851853e-05,26.76842708333334,0.9632073283154333
CAT1_qcdtight_topmedium,qcd_bbbb_iht200to400_combined120k,background,8,0.024275645860858154,10924.04063738617,0.30293571840106015
CAT1_qcdtight_topmedium,qcd_bbbb_iht400to600_20000,background,12,0.016610598479294192,7474.769315682386,0.2072836130597047
CAT1_qcdtight_topmedium,qcd_bbbb_iht600plus_20000,background,5,0.0012536941993998613,564.1623897299376,0.015644846490482343
CAT1_qcdtight_topmedium,ttbar_200k,background,5,0.036807518573207715,16563.383357943472,0.4593209237540293
CAT2_qcdmedium_toptight,VBF_HH4b_SMnorm,signal,2,3.2460398406374503e-07,0.14607179282868527,0.0939406879072621
CAT2_qcdmedium_toptight,ggF_HH4b_SMnorm,signal,1,3.1308101851851853e-06,1.4088645833333333,0.9060593120927379
CAT2_qcdmedium_toptight,qcd_bbbb_iht200to400_combined120k,background,3,0.009103367197821809,4096.515239019814,0.7211149465308874
CAT2_qcdmedium_toptight,qcd_bbbb_iht400to600_20000,background,2,0.0027684330798823653,1245.7948859470644,0.21929890654651246
CAT2_qcdmedium_toptight,qcd_bbbb_iht600plus_20000,background,3,0.0007522165196399167,338.4974338379625,0.05958614692260011
CAT3_medium,VBF_HH4b_SMnorm,signal,17,2.759133864541833e-06,1.2416102390438248,0.055492004549082444
CAT3_medium,Zbbbb_100k,background,14,0.002770102058349835,1246.5459262574257,0.01750983657470326
CAT3_medium,ggF_HH4b_SMnorm,signal,15,4.6962152777777796e-05,21.132968750000007,0.9445079954509175
CAT3_medium,qcd_bbbb_iht200to400_combined120k,background,37,0.11227486210646898,50523.687947911036,0.7096902733261465
CAT3_medium,qcd_bbbb_iht400to600_20000,background,9,0.012457948859470644,5606.07698676179,0.0787467912699531
CAT3_medium,qcd_bbbb_iht600plus_20000,background,5,0.0012536941993998613,564.1623897299376,0.007924610748537522
CAT3_medium,ttbar_200k,background,4,0.029446014858566173,13250.706686354777,0.18612848808065952
CAT4_loose,VBF_HH4b_SMnorm,signal,34,5.518267729083666e-06,2.4832204780876497,0.06585947064991787
CAT4_loose,Zbbbb_100k,background,50,0.009893221636963696,4451.949736633664,0.01924949501945557
CAT4_loose,ggF_HH4b_SMnorm,signal,25,7.827025462962963e-05,35.221614583333334,0.9341405293500821
CAT4_loose,qcd_bbbb_iht200to400_combined120k,background,112,0.33985904205201417,152936.5689234064,0.6612724527320923
CAT4_loose,qcd_bbbb_iht400to600_20000,background,29,0.0401422796582943,18064.025846232435,0.078105862853092
CAT4_loose,qcd_bbbb_iht600plus_20000,background,25,0.006268470996999306,2820.8119486496876,0.012196724753997606
CAT4_loose,ttbar_200k,background,16,0.11778405943426469,53002.82674541911,0.2291754646413626
