seed,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
10.0,0.775,0.5,100.89018076434179,357999.52153481264,0.00028181652403278705,0.16861945336184184,0.0028181652403278705,167.0,326.0,77.64092520732599,136.33086894974565
11.0,0.9,0.5,32.6435466707671,32430.6145052882,0.00100656577646545,0.1812674182009741,0.0100656577646545,45.0,28.0,25.474992196421606,14.111916978069072
12.0,0.825,0.525,76.3431695286681,150966.50282084732,0.0005056960855698227,0.19648522079444253,0.005056960855698228,118.0,148.0,56.90873288781288,72.86720628257129
13.0,0.825,0.5,87.51399109925943,176392.94474800074,0.0004961309037857725,0.20837081249055883,0.0049613090378577245,129.0,168.0,66.39556496553021,84.683382075168
14.0,0.85,0.55,61.53125319622013,124978.07235438791,0.0004923363917931304,0.17405193242574626,0.004923363917931304,90.0,119.0,44.93769087634477,56.769332230464734
15.0,0.825,0.5,74.43085290046399,175971.79125596723,0.00042297036570024705,0.1774318039999891,0.00422970365700247,117.0,161.0,57.165564643116596,84.52506457944234
16.0,0.85,0.5,72.44247393580709,125294.52733216449,0.0005781774789233775,0.2046572914586173,0.005781774789233775,108.0,115.0,57.54929352505198,55.87378853729034
17.0,0.8,0.5,89.15704833516786,264733.5895126554,0.0003367802646399949,0.17328108475202553,0.0033678026463999484,138.0,228.0,71.78224872747839,84.2822762419379
18.0,0.85,0.575,52.108988969840915,90856.81788482907,0.0005735286595211241,0.17287567380309443,0.0057352865952112414,82.0,91.0,40.02692820165462,43.784703307783154
19.0,0.9,0.675,28.211413672248803,19389.11143196815,0.0014550132310722976,0.20260301123225175,0.014550132310722975,45.0,21.0,21.806596847294852,10.477925199483098
20.0,0.9,0.725,31.214782279630235,22107.966591040138,0.0014119246178108883,0.2099355128133804,0.014119246178108882,38.0,27.0,24.776545191439205,12.145845271372595
21.0,0.8,0.55,99.47500312500001,202456.13344843005,0.0004913410200552825,0.22107950946535032,0.004913410200552825,145.0,192.0,72.96553233510897,95.95802747146399
22.0,0.825,0.55,79.35031473843947,191338.43202944094,0.00041471184799000526,0.1814042878869372,0.004147118479900052,121.0,180.0,61.27266631900079,95.71678016005151
23.0,0.85,0.825,26.56619420965608,26021.418657562885,0.0010209356591684082,0.16468872152345823,0.010209356591684081,46.0,30.0,21.14258128922189,17.344668943386626
24.0,0.775,0.55,107.01755739130438,229486.2658877929,0.00046633534681169336,0.22339666457002938,0.0046633534681169335,149.0,232.0,87.63012481055911,115.45127626700216
25.0,0.825,0.5,77.9347351403876,168062.4778451228,0.0004637247774735774,0.19010593812513704,0.0046372477747357735,114.0,142.0,61.77137370709166,73.97371901005125
26.0,0.9,0.6,34.479213478045565,31915.87637600565,0.0010803154227018823,0.19299851316257138,0.010803154227018823,50.0,29.0,28.013910558670663,14.309982070428696
27.0,0.9,0.525,34.61034528722352,26735.576590950204,0.0012945426918130826,0.21167089916354248,0.012945426918130826,50.0,22.0,27.988390780884856,10.77981253887848
28.0,0.8,0.6,83.60698136643911,171909.83621880857,0.00048634204537326945,0.20164719270359016,0.004863420453732694,120.0,161.0,69.28292039572182,84.14191615438683
29.0,0.775,0.625,88.38354580352231,201487.25180114622,0.0004386557710894318,0.1969008695665466,0.004386557710894318,128.0,207.0,70.58025875814494,112.04371180746676
