seed,luminosity_fb,category,signal_events,background_events,S_over_B,S_over_sqrtB,asimov_Z_stat_only,S_over_sqrt_B_plus_10pctB_syst,n_signal_rows,n_background_rows,neff_background,combined_category_S_over_sqrtB,combined_category_asimov_Z,combined_category_syst10_Z
0,138.0,CAT0_very_high_QCD_high_top,13.499338714717341,18184.429036466245,0.0007423570290629619,0.1001065881077374,0.100094206139498,0.007403242206407859,71,52,27.70007351062545,,,
0,138.0,CAT1_high_QCD_medium_top,8.807557216915386,31389.27086032324,0.00028059132867747945,0.049712414766305724,0.04971009018550946,0.002801454395812326,39,88,48.91993746021381,,,
0,138.0,CAT2_nominal_loose_mid,9.690616961721679,35082.25124018467,0.00027622563031592576,0.051737769360514295,0.05173538775409555,0.0027583278707542054,43,109,61.734675445972854,,,
0,138.0,CAT3_lower_QCD_medium_top,7.1566388830405065,42045.45878205892,0.0001702119346618782,0.034901939057289465,0.03490094894064915,0.0017000988083865029,36,144,78.200180249586,,,
0,138.0,CAT4_loose_low_purity,5.2753182376902155,40289.98981874541,0.0001309337198004406,0.026281496152081692,0.026280922491779064,0.0013077153250565274,23,122,67.83355667347274,,,
0,138.0,INCLUSIVE_union_of_categories,44.42947001408513,166991.3997377785,0.0002660584322537051,0.10872366411140903,0.10871884365294476,0.0026597880569844625,212,515,282.95988753620884,0.13068401712842243,0.1306723254518382,0.008652454557569156
0,350.0,CAT0_very_high_QCD_high_top,34.23745326196427,46119.928715675254,0.000742357029062962,0.15942526175683017,0.1594055427896085,0.007415535239302098,71,52,27.70007351062545,,,
0,350.0,CAT1_high_QCD_medium_top,22.33800743420569,79610.46957328357,0.0002805913286774795,0.07916976181580432,0.07916605979263354,0.0028041526686984567,39,88,48.91993746021381,,,
0,350.0,CAT2_nominal_loose_mid,24.577651714511504,88976.72415988865,0.00027622563031592576,0.08239525069156738,0.08239145785196055,0.0027607053750065575,43,109,61.734675445972854,,,
0,350.0,CAT3_lower_QCD_medium_top,18.150895717856358,106637.03314290306,0.00017021193466187822,0.05558326255251963,0.055581685737139105,0.0017013218173290055,36,144,78.200180249586,,,
0,350.0,CAT4_loose_low_purity,13.37943031298243,102184.75678667314,0.0001309337198004406,0.041854731867371486,0.04185381828171226,0.0013086969963662324,23,122,67.83355667347274,,,
0,350.0,INCLUSIVE_union_of_categories,112.68343844152027,423528.91237842373,0.0002660584322537051,0.17314843046562037,0.17314075361972261,0.0026602702810168883,212,515,282.95988753620884,0.20812150360883694,0.20810288396909019,0.008664993537026306
0,450.0,CAT0_very_high_QCD_high_top,44.01958276538264,59297.051205868185,0.000742357029062962,0.18077125513283526,0.18074889592565013,0.007417318551421837,71,52,27.70007351062545,,,
0,450.0,CAT1_high_QCD_medium_top,28.72029527255017,102356.31802279317,0.00028059132867747945,0.08977007190892955,0.08976587420930393,0.0028045436307417952,39,88,48.91993746021381,,,
0,450.0,CAT2_nominal_loose_mid,31.59983791865765,114398.64534842827,0.00027622563031592576,0.09342743251830428,0.09342313184249444,0.0027610497999390076,43,109,61.734675445972854,,,
0,450.0,CAT3_lower_QCD_medium_top,23.33686592295817,137104.75689801824,0.00017021193466187817,0.06302549561638979,0.06302370767588732,0.001701498949177625,36,144,78.200180249586,,,
0,450.0,CAT4_loose_low_purity,17.202124688120268,131380.40158286548,0.00013093371980044057,0.04745880501958072,0.047457769110846086,0.0013088391822402745,23,122,67.83355667347274,,,
0,450.0,INCLUSIVE_union_of_categories,144.87870656766893,544537.1730579734,0.00026605843225370517,0.1963318658199391,0.19632316109484504,0.0026603400584111502,212,515,282.95988753620884,0.2359876033002061,0.23596649061329927,0.008666812225193533
0,4000.0,CAT0_very_high_QCD_high_top,391.28518013673454,527084.8996077172,0.000742357029062962,0.5389557531399699,0.5388890908636945,0.007422866180708432,71,52,27.70007351062545,,,
0,4000.0,CAT1_high_QCD_medium_top,255.2915135337793,909833.9379803838,0.00028059132867747945,0.2676426441778811,0.26763012905563377,0.002805759100285808,39,88,48.91993746021381,,,
0,4000.0,CAT2_nominal_loose_mid,280.88744816584574,1016876.8475415846,0.00027622563031592576,0.2785467867656036,0.2785339646275663,0.002762120492584179,43,109,61.734675445972854,,,
0,4000.0,CAT3_lower_QCD_medium_top,207.43880820407264,1218708.9502046064,0.0001702119346618782,0.18790572335181677,0.18790039274307854,0.001702049518026641,36,144,78.200180249586,,,
0,4000.0,CAT4_loose_low_purity,152.90777500551349,1167825.791847693,0.0001309337198004406,0.14149481887292098,0.14149173038972185,0.00130928114284939,23,122,67.83355667347274,,,
0,4000.0,INCLUSIVE_union_of_categories,1287.810725045946,4840330.427181985,0.00026605843225370517,0.585348530830335,0.5853225783543305,0.0026605568394639633,212,515,282.95988753620884,0.7035790971020194,0.7035161512311324,0.008672469414989644
1,138.0,CAT0_very_high_QCD_high_top,11.631008818872091,18509.6220955078,0.0006283763525185576,0.08549064801318342,0.08548169697263508,0.006266857679914453,72,55,25.744101640880118,,,
1,138.0,CAT1_high_QCD_medium_top,9.32487267829158,32348.33064744551,0.00028826441710147255,0.05184620513743672,0.0518437144833104,0.002878198844411073,41,83,45.6336865387873,,,
1,138.0,CAT2_nominal_loose_mid,6.186111235934224,34018.70639898259,0.00018184439947191037,0.03353967326562523,0.03353865681818825,0.0018157771609171173,26,117,64.84157539057931,,,
1,138.0,CAT3_lower_QCD_medium_top,5.923804743472023,40302.23300201266,0.00014698452919906926,0.029507755781937206,0.02950703291489177,0.0014680251501105557,32,128,38.826181869032666,,,
1,138.0,CAT4_loose_low_purity,7.361530220637899,42234.507819912185,0.0001743013142719087,0.03582072573957094,0.03581968517444824,0.0017409533057681816,25,103,26.0637341676479,,,
1,138.0,INCLUSIVE_union_of_categories,40.42732769720781,167413.39996386075,0.00024148203014773482,0.09880522843336527,0.09880125221535649,0.0024140994096556435,196,486,170.52443488995684,0.11521901584125815,0.11521044912399966,0.007486026764619701
1,350.0,CAT0_very_high_QCD_high_top,29.498935410182842,46944.693720490795,0.0006283763525185576,0.1361485711868884,0.13613431616124128,0.006277081468364998,72,55,25.744101640880118,,,
1,350.0,CAT1_high_QCD_medium_top,23.650039401464152,82042.86758410092,0.00028826441710147255,0.08256794064580951,0.08256397414177763,0.002880888983914111,41,83,45.6336865387873,,,
1,350.0,CAT2_nominal_loose_mid,15.68941255490564,86279.32782350658,0.00018184439947191035,0.05341377915963134,0.053412160411061185,0.0018173910977809851,26,117,64.84157539057931,,,
1,350.0,CAT3_lower_QCD_medium_top,15.024142465327596,102215.80833843791,0.00014698452919906926,0.04699272823412066,0.046991577028460296,0.0014691268279352783,32,128,38.826181869032666,,,
1,350.0,CAT4_loose_low_purity,18.67054766103815,107116.50534035699,0.00017430131427190868,0.05704648100886908,0.05704482385151058,0.0017422001057008933,25,103,26.0637341676479,,,
1,350.0,INCLUSIVE_union_of_categories,102.53307749291837,424599.2028068932,0.00024148203014773484,0.15735277471428633,0.15734644236783166,0.0024145359870200674,196,486,170.52443488995684,0.18349263626973206,0.183478993300109,0.007496517747947103
1,450.0,CAT0_very_high_QCD_high_top,37.92720267023508,60357.46335491674,0.0006283763525185576,0.15437796887883456,0.15436180519907183,0.0062785645276169175,72,55,25.744101640880118,,,
1,450.0,CAT1_high_QCD_medium_top,30.407193516168196,105483.68689384405,0.00028826441710147255,0.09362324452095164,0.09361874692810081,0.0028812787484154266,41,83,45.6336865387873,,,
