seed,luminosity_fb,category,sample,group,expected_events,rows,fraction_within_group
0,350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,268.416871498599,3,0.0033716277888741013
0,350.0,CAT1_high_QCD_medium_top,ttbar_200k,background,36979.82468605044,15,0.46450956619480205
0,350.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,1.2271427459016393,21,0.04992921049398268
0,350.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,1285.5519268013031,19,0.014448182251475148
0,350.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,23.350508968609866,22,0.9500707895060174
0,350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,47674.601762999744,45,0.5358098110841869
0,350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,9090.62636375427,18,0.10216858902805495
0,350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,1342.0843574929952,15,0.015083544265816167
0,350.0,CAT2_nominal_loose_mid,ttbar_200k,background,29583.859748840343,12,0.3324898733704669
0,350.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.1687073770491803,20,0.06438841339931438
0,350.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,2638.7644813289908,39,0.024745291607961493
0,350.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,16.982188340807177,16,0.9356115866006856
0,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,63566.135683999666,60,0.5960981266125007
0,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,9595.66116174062,19,0.08998432232151081
0,350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,1252.6120669934621,14,0.011746501473975286
0,350.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,29583.859748840343,12,0.2774257579840519
0,350.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,0.6427890573770492,11,0.04804308123293809
0,350.0,CAT4_loose_low_purity,Zbbbb_100k,background,2368.121970423453,35,0.023174904407389087
0,350.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,12.736641255605383,12,0.951956918767062
0,350.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,56150.08652086637,53,0.549495720169776
0,350.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,6060.417575836182,12,0.05930843079157357
0,350.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,626.3060334967311,7,0.0061291532435140406
0,350.0,CAT4_loose_low_purity,ttbar_200k,background,36979.82468605044,15,0.3618917913877476
0,450.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,3.080378729508197,41,0.06997746311967847
0,450.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,1130.8990634267102,13,0.01907175888899503
0,450.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,40.93920403587444,30,0.9300225368803215
0,450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,24518.366620971297,18,0.4134837419798187
0,450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,4545.313181877136,7,0.0766532751535429
0,450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,575.1790103541407,5,0.009699959756130664
0,450.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,28527.293329238895,9,0.4810912642215126
0,450.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.427492581967213,19,0.049703269705989386
0,450.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,1913.8291842605865,22,0.01869771423229982
0,450.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,27.292802690582956,20,0.9502967302940105
0,450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,40863.9443682855,30,0.39923226194191286
0,450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,11687.948181969778,18,0.11418882984211147
0,450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,345.1074062124844,3,0.003371627788874101
0,450.0,CAT1_high_QCD_medium_top,ttbar_200k,background,47545.48888206484,15,0.4645095661948019
0,450.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,1.5777549590163935,21,0.04992921049398269
0,450.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,1652.852477315961,19,0.014448182251475147
0,450.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,30.022082959641256,22,0.9500707895060173
0,450.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,61295.91655242824,45,0.5358098110841869
0,450.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,11687.948181969778,18,0.10216858902805495
0,450.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,1725.5370310624223,15,0.015083544265816165
0,450.0,CAT2_nominal_loose_mid,ttbar_200k,background,38036.39110565187,12,0.3324898733704669
0,450.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.5026237704918033,20,0.06438841339931439
0,450.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,3392.697190280131,39,0.02474529160796149
0,450.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,21.83424215246637,16,0.9356115866006857
0,450.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,81727.888736571,60,0.5960981266125006
0,450.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,12337.278636523653,19,0.0899843223215108
0,450.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,1610.5012289915942,14,0.011746501473975284
0,450.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,38036.39110565187,12,0.27742575798405184
0,450.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,0.8264430737704918,11,0.04804308123293809
0,450.0,CAT4_loose_low_purity,Zbbbb_100k,background,3044.728247687297,35,0.023174904407389084
0,450.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,16.375681614349777,12,0.9519569187670619
0,450.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,72192.96838397105,53,0.549495720169776
0,450.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,7791.965454646519,12,0.05930843079157356
0,450.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,805.2506144957971,7,0.00612915324351404
0,450.0,CAT4_loose_low_purity,ttbar_200k,background,47545.48888206484,15,0.36189179138774746
0,4000.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,27.381144262295084,41,0.06997746311967847
0,4000.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,10052.436119348537,13,0.019071758888995035
0,4000.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,363.90403587443944,30,0.9300225368803215
0,4000.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,217941.036630856,18,0.41348374197981874
0,4000.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,40402.783838907875,7,0.0766532751535429
0,4000.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,5112.702314259029,5,0.009699959756130666
0,4000.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,253575.94070434576,9,0.4810912642215127
