luminosity_fb,category,S_mean,B_mean,S_over_B_mean,S_over_sqrtB_mean,S_over_sqrtB_std,asimov_Z_mean,syst10_Z_mean,median_signal_rows,median_background_rows,median_neff_background,combined_category_S_over_sqrtB_mean,combined_category_S_over_sqrtB_std,combined_category_asimov_Z_mean,combined_category_syst10_Z_mean
138.0,CAT0_very_high_QCD_high_top,13.672435062012118,21511.627173088014,0.0006473180712754198,0.09377595606749269,0.01304660328873476,0.09376563267003646,0.006457523236568155,70.5,58.0,27.236186048245457,,,,
138.0,CAT1_high_QCD_medium_top,8.910391655457119,32807.51931253638,0.00028137187617178436,0.04982181095960848,0.008843883139096046,0.04981938790735506,0.0028091140839188477,45.0,97.0,47.870261078702626,,,,
138.0,CAT2_nominal_loose_mid,7.373762155017263,35886.09172480791,0.00020958409789137303,0.03920183828269288,0.006809952135079475,0.03920042290679628,0.0020928026053907674,35.5,116.0,63.95761312190284,,,,
138.0,CAT3_lower_QCD_medium_top,6.298807099311637,40667.75117592021,0.00015743586718038602,0.03141747278465283,0.008502635201183452,0.031416588116420605,0.0015723556699891255,30.0,132.5,67.01606346462279,,,,
138.0,CAT4_loose_low_purity,5.646728440976242,36566.05159409479,0.00015680192834550396,0.02967231610720311,0.007949683150196894,0.029671484968063704,0.0015657913547166477,22.5,107.5,42.75086719260841,,,,
138.0,INCLUSIVE_union_of_categories,41.90212441277438,167439.04098044732,0.0002519388929844482,0.10266545217357978,0.007119948865873708,0.10266111515396033,0.0025186271734003907,201.5,505.5,223.99954176307318,0.12237881954317227,0.010888739952080588,0.12236880515450162,0.007756051010724319
350.0,CAT0_very_high_QCD_high_top,34.676465736987254,54558.47471435366,0.0006473180712754198,0.1493433811415804,0.020777435168458168,0.14932694056186038,0.006466993274695844,70.5,58.0,27.236186048245457,,,,
350.0,CAT1_high_QCD_medium_top,22.59881941601443,83207.47651730242,0.00028137187617178436,0.07934398128609255,0.014084371578819472,0.07934012244176984,0.0028119004046591968,45.0,97.0,47.870261078702626,,,,
350.0,CAT2_nominal_loose_mid,18.7015706830148,91015.45002668674,0.00020958409789137303,0.06243108917907656,0.010845224297506707,0.062428835114910916,0.0020946413775992144,35.5,116.0,63.95761312190284,,,,
350.0,CAT3_lower_QCD_medium_top,15.97523539680488,103142.84718530488,0.00015743586718038602,0.05003405786880706,0.01354091542019839,0.05003264898586409,0.001573567982555459,30.0,132.5,67.01606346462279,,,,
350.0,CAT4_loose_low_purity,14.321412712620903,92739.985927052,0.00015680192834550396,0.04725479962648567,0.012660308787469743,0.04725347599157269,0.0015671396712633678,22.5,107.5,42.75086719260841,,,,
350.0,INCLUSIVE_union_of_categories,106.27350394544226,424664.23437069973,0.0002519388929844482,0.16350039388557702,0.011338911185500957,0.16349348694269525,0.0025190884971355546,201.5,505.5,223.99954176307318,0.19489501847934962,0.017340918813397534,0.1948790700131639,0.00776619953928738
450.0,CAT0_very_high_QCD_high_top,44.58402737612648,70146.61034702613,0.0006473180712754198,0.16933947705178082,0.02355939700178904,0.16932083518663438,0.006468366690343763,70.5,58.0,27.236186048245457,,,,
450.0,CAT1_high_QCD_medium_top,29.055624963447126,106981.04123653166,0.00028137187617178436,0.08996761821975588,0.01597017624436392,0.08996324270157725,0.0028123041685259647,45.0,97.0,47.870261078702626,,,,
450.0,CAT2_nominal_loose_mid,24.044876592447597,117019.86432002582,0.00020958409789137303,0.07079020116288522,0.012297328458821968,0.07078764529436857,0.0020949077737575385,35.5,116.0,63.95761312190284,,,,
450.0,CAT3_lower_QCD_medium_top,20.539588367320555,132612.232095392,0.00015743586718038602,0.05673328894469052,0.015353954882573405,0.05673169142159486,0.0015737435860042445,30.0,132.5,67.01606346462279,,,,
450.0,CAT4_loose_low_purity,18.413244916226876,119237.12476335256,0.00015680192834550396,0.05358190631394385,0.014355440816970273,0.053580405453029244,0.001567335008578083,22.5,107.5,42.75086719260841,,,,
450.0,INCLUSIVE_union_of_categories,136.63736221556866,545996.8727623282,0.0002519388929844482,0.18539202063528962,0.012857116772178913,0.18538418889820943,0.0025191552506153903,201.5,505.5,223.99954176307318,0.22099017885501296,0.019662753722404797,0.2209720949941687,0.007767671124108753
4000.0,CAT0_very_high_QCD_high_top,396.3024655655687,623525.425306899,0.0006473180712754198,0.5048727759493967,0.07024055093987341,0.5048171966458054,0.006472638585550024,70.5,58.0,27.236186048245457,,,,
4000.0,CAT1_high_QCD_medium_top,258.27222189730776,950942.5887691705,0.00028137187617178436,0.2682316134841637,0.04761386626006669,0.2682185682093905,0.0028135595096225614,45.0,97.0,47.870261078702626,,,,
4000.0,CAT2_nominal_loose_mid,213.73223637731198,1040176.5717335629,0.00020958409789137303,0.211055602588128,0.036663549834091536,0.2110479824604568,0.0020957359297062764,35.5,116.0,63.95761312190284,,,,
4000.0,CAT3_lower_QCD_medium_top,182.57411882062718,1178775.3964034845,0.000157435867180386,0.16914598755662041,0.04577664912119859,0.1691412246629768,0.0015742894378339306,30.0,132.5,67.01606346462279,,,,
4000.0,CAT4_loose_low_purity,163.6732881442389,1059885.5534520228,0.00015680192834550396,0.1597503798426715,0.04279965535162752,0.15974590513998985,0.0015679422563398596,22.5,107.5,42.75086719260841,,,,
4000.0,INCLUSIVE_union_of_categories,1214.5543308050544,4853305.53566514,0.0002519388929844482,0.552732214168735,0.038332516129659634,0.5527088644400457,0.0025193626376651904,201.5,505.5,223.99954176307318,0.6588654163728608,0.05862300526417884,0.65881150071668,0.007772247993429389
