luminosity_fb,category,sample,group,expected_events_mean,rows_median,fraction_within_group_mean
138.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,11648.674162809411,11.0,0.5418189434067606
138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,6717.967229611689,15.0,0.31421338183441694
138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht100to200_20000,background,3998.880291465477,1.0,0.15791466497010806
138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,1922.730303375792,9.0,0.09059879869213192
138.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,370.4131709352346,13.0,0.017510760189241307
138.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,252.01026263606545,6.5,0.01217091613193291
138.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,12.76812551349646,29.5,0.9328539753710035
138.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,0.904309548515657,39.5,0.06714602462899663
138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,13972.193770856937,32.5,0.4341609353376583
138.0,CAT1_high_QCD_medium_top,ttbar_200k,background,13488.114276140459,14.5,0.40469504316261923
138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,4062.849629737401,1.0,0.0943871615386028
138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,3566.8558354506067,18.0,0.11153725640553484
138.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,580.4340032085994,21.5,0.018373529860535722
138.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,387.3515009322979,10.5,0.012355802925931374
138.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,8.355576150857702,21.0,0.935311444992848
138.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,0.5548155045994163,24.0,0.06468855500715193
