qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background,run
0.95,0.575,45.669918100033016,87898.78618242453,0.000519573933651939,0.15404187416672144,0.005195739336519389,68,146,37.22627626301155,23.392918189532775,mass_aware
0.95,0.6,45.669918100033016,87898.78618242453,0.000519573933651939,0.15404187416672144,0.005195739336519389,68,146,37.22627626301155,23.392918189532775,mass_aware
0.95,0.5,46.9704084846484,93233.09727643029,0.0005037954316307233,0.1538293769616026,0.005037954316307232,69,152,38.22277587624111,25.26551633491229,mass_aware
0.95,0.55,45.669918100033016,92298.3230903597,0.0004948076689900677,0.15032573205557534,0.004948076689900676,68,149,37.22627626301155,24.802444492651258,mass_aware
0.95,0.625,44.369427715417636,87588.63254637166,0.0005065660511588342,0.14992013136992793,0.005065660511588342,67,143,36.22999455164076,23.230379462599092,mass_aware
0.95,0.525,45.669918100033016,93040.1683342847,0.0004908623760862646,0.1497252300524107,0.0049086237608626454,68,150,37.22627626301155,25.162427892297966,mass_aware
0.875,0.5,83.22218127434797,309383.4473927099,0.00026899364518590907,0.1496203124622769,0.0026899364518590905,126,436,67.97788315772827,76.67857556053451,mass_aware
0.55,0.5,128.45706868933644,743344.9019442288,0.00017280951056952864,0.1489919567272024,0.0017280951056952865,204,1204,105.58034387325343,243.32768149733218,mass_aware
0.825,0.5,91.8905832816111,382920.96043840307,0.00023997271702339386,0.14849657551254394,0.002399727170233939,143,592,75.32397757415077,110.43465508795032,mass_aware
0.675,0.5,114.35067068009246,593456.6725602518,0.00019268579488165212,0.14843769694805847,0.0019268579488165211,180,958,93.87581219623142,201.82531511656785,mass_aware
0.775,0.5,102.84525344007926,481652.8647427227,0.000213525675789377,0.14818941339556843,0.0021352567578937698,158,743,84.16312670350187,142.49454425629318,mass_aware
0.6,0.5,122.94039453284915,693788.263787099,0.0001772016059507394,0.1475982227109743,0.0017720160595073935,196,1111,101.09874866807948,219.0657667859823,mass_aware
0.85,0.5,86.21655281611095,341801.30765353766,0.0002522417289974303,0.14747003882326096,0.002522417289974303,133,507,70.59254253633314,91.2706321260655,mass_aware
0.525,0.5,131.13672761307365,797040.6499192787,0.000164529535132687,0.14688725211195425,0.00164529535132687,207,1265,107.69607378025637,236.96295487860368,mass_aware
0.625,0.5,119.86734483657975,667705.5835356708,0.00017952125576343347,0.14669265922360025,0.0017952125576343348,188,1055,98.35757453166491,204.56506220789944,mass_aware
0.65,0.5,115.8085173737207,623488.8695259582,0.000185742718168763,0.14666488606373818,0.00185742718168763,183,999,95.12128122924773,199.65109300685393,mass_aware
0.55,0.575,124.31956307197098,719955.5097979864,0.0001726767298535628,0.1465165369782254,0.0017267672985356278,198,1170,102.21914216065421,233.0082095068918,mass_aware
0.7,0.5,110.29184321723342,569104.7389434632,0.00019379884873562824,0.14619997346248134,0.0019379884873562821,175,916,90.63961803192622,188.52896429315007,mass_aware
0.95,0.675,42.99025917629581,86653.85836030109,0.0004961147719186965,0.14604144146773423,0.004961147719186965,65,140,35.10946709991704,22.77642664053864,mass_aware
0.95,0.65,42.99025917629581,86757.24290565205,0.0004955235751676369,0.1459544001543681,0.004955235751676368,65,141,35.10946709991704,22.830066863611957,mass_aware
