category,analysis_sample,n_test_rows,background_events_450fb,neff_sample,mean_qcd_score,mean_top_score,run,fraction_of_category_background
CAT0_high_purity_diagnostic,qcd_bbbb_iht200to400_combined220k_bdtv2,164,121662.62000369685,164.0,0.9170411,0.9836569,mass_aware,0.4598794474351776
CAT0_high_purity_diagnostic,ttbar_200k,22,78194.75661050326,22.000000000000014,0.9330368,0.9603529,mass_aware,0.2955728017469437
CAT0_high_purity_diagnostic,qcd_bbbb_iht100to200_20000,3,41503.373335722456,3.0,0.9280796,0.9908646,mass_aware,0.15688095814267325
CAT0_high_purity_diagnostic,qcd_bbbb_iht400to600_combined120k_bdtv2,132,13646.759986326226,132.0,0.93207425,0.9782122,mass_aware,0.05158416316861742
CAT0_high_purity_diagnostic,Zbbbb_100k,58,5193.575014088852,58.000000000000036,0.92353785,0.97939104,mass_aware,0.01963148917572013
CAT0_high_purity_diagnostic,qcd_bbbb_iht600plus_20000,37,4352.203269497052,37.00000000000001,0.93429774,0.9814586,mass_aware,0.016451140330867937
CAT1_tight,ttbar_200k,10,35543.071186592395,10.000000000000002,0.93365276,0.69051903,mass_aware,0.4601162780244063
CAT1_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,31,22997.202561674403,31.000000000000004,0.9301923,0.6887126,mass_aware,0.2977060477441942
CAT1_tight,qcd_bbbb_iht100to200_20000,1,13834.457778574151,1.0,0.8903701,0.794129,mass_aware,0.17909142370242112
CAT1_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,29,2998.1518151777314,28.999999999999982,0.92892724,0.6746665,mass_aware,0.038812021811780624
CAT1_tight,Zbbbb_100k,17,1522.2547455088015,17.0,0.9322877,0.7080313,mass_aware,0.019706068280692376
CAT1_tight,qcd_bbbb_iht600plus_20000,3,352.88134617543665,3.0,0.94314736,0.7563667,mass_aware,0.004568160436505331
CAT2_medium_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,91,67507.91719717324,90.99999999999999,0.82343024,0.9644676,mass_aware,0.6337672822261271
CAT2_medium_tight,ttbar_200k,5,17771.535593296197,5.000000000000001,0.8243437,0.8903847,mass_aware,0.16683995420939798
CAT2_medium_tight,qcd_bbbb_iht100to200_20000,1,13834.457778574151,1.0,0.8172514,0.9994223,mass_aware,0.12987849531471218
CAT2_medium_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,40,4135.38181403825,39.999999999999986,0.82790786,0.9506489,mass_aware,0.038823145522257595
CAT2_medium_tight,Zbbbb_100k,26,2328.15431666052,25.99999999999999,0.82795554,0.955745,mass_aware,0.021856814654248404
CAT2_medium_tight,qcd_bbbb_iht600plus_20000,8,941.0169231344977,8.0,0.83404803,0.97280926,mass_aware,0.008834308073256856
CAT3_medium,qcd_bbbb_iht200to400_combined220k_bdtv2,124,91988.81024669761,124.00000000000003,0.7512302,0.94619584,mass_aware,0.7615915458972554
CAT3_medium,ttbar_200k,5,17771.535593296197,5.000000000000001,0.761749,0.8975503,mass_aware,0.14713367016237108
CAT3_medium,qcd_bbbb_iht400to600_combined120k_bdtv2,67,6926.7645385140695,67.0,0.75002044,0.9204849,mass_aware,0.05734790241123489
