run,category,n_signal_test_rows,n_background_test_rows,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,neff_signal,neff_background
mass_aware,CAT0_high_purity_diagnostic,110,416,67.30158404093761,264553.28821983474,0.00025439708005070154,0.13084848666607277,0.0025439708005070153,55.53243200436398,74.0816349625164
mass_aware,CAT1_tight,23,91,18.914968775173328,77248.01943370292,0.0002448602425516792,0.06805529988286275,0.002448602425516792,15.074685754064552,17.79828891475967
mass_aware,CAT2_medium_tight,14,171,8.432367543743812,106518.46362287688,7.91634356800167e-05,0.02583670229885044,0.0007916343568001669,6.972993318180682,37.15372063482187
mass_aware,CAT3_medium,28,238,15.642922857378675,120784.96766704868,0.00012951051078226365,0.04501025360278099,0.0012951051078226364,13.07913890179355,110.08108492982944
mass_aware,CAT4_loose,34,398,22.22405293496204,269269.57698343653,8.253458554038245e-05,0.04282817995216014,0.0008253458554038244,18.177228336781024,61.25528831398975
topology_only,CAT0_high_purity_diagnostic,62,335,37.8669757923407,220782.65398688772,0.00017151245855840478,0.08058944171736117,0.0017151245855840478,31.25269791722756,48.44938331761897
topology_only,CAT1_tight,35,169,18.637294399141634,124689.57794002334,0.0001494695443440054,0.052779805812874905,0.0014946954434400537,15.700965200352886,36.366368652883644
topology_only,CAT2_medium_tight,20,168,12.569873161109278,86717.65273936279,0.00014495172279269472,0.042685182089203334,0.0014495172279269468,10.333953927095878,68.91941316970887
topology_only,CAT3_medium,16,316,8.589723852756688,200731.8333650165,4.279203606503652e-05,0.019172161403865465,0.00042792036065036524,7.226893176259863,44.59498863875043
topology_only,CAT4_loose,33,533,28.254435931000337,402205.74578310724,7.024871282230954e-05,0.04455151799516137,0.0007024871282230953,22.430157484188875,80.30154912268861
