qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background,run
0.5,0.5,132.51589615219547,838374.3159268998,0.00015806292444167611,0.14472681189339268,0.001580629244416761,209,1314,108.81650121505362,242.235470674748,mass_aware
0.5,0.525,128.6144249983493,834414.6099433592,0.00015413731191389347,0.1407987277733596,0.0015413731191389346,206,1300,105.83078488086393,240.1430514447278,mass_aware
0.5,0.55,128.45706868933644,824525.8428404527,0.00015579507883804817,0.14146723699768698,0.0015579507883804818,204,1287,105.58034387325343,235.8740532523381,mass_aware
0.5,0.575,128.37839053483,813204.9198053108,0.00015786720838526782,0.14236129435604084,0.0015786720838526782,203,1275,105.45522731656253,231.6977067374938,mass_aware
0.5,0.6,125.77740976559923,806611.8407406253,0.000155933006946825,0.1400458843048693,0.00155933006946825,201,1263,103.46475669609912,229.10921033665545,mass_aware
0.5,0.625,124.47691938098384,797206.2998012055,0.00015614141460249862,0.13941306351094934,0.001561414146024986,200,1251,102.46968126356911,225.9013162083735,mass_aware
0.5,0.65,121.79726045724664,786123.334588821,0.00015493403528207472,0.13737008789741345,0.0015493403528207474,197,1235,100.35438118518982,221.83785503372636,mass_aware
0.5,0.675,121.63990414823377,781051.9558531655,0.0001557385564899623,0.13763728812942846,0.001557385564899623,195,1223,100.10362641230454,219.24980683115953,mass_aware
0.5,0.7,120.10337930009905,777712.5571417307,0.00015443158040485562,0.13619014163028878,0.0015443158040485561,191,1215,98.73276220451949,217.553840486967,mass_aware
0.5,0.725,118.64553260647082,771954.6937563752,0.00015369494293652772,0.13503784048786277,0.0015369494293652772,188,1202,97.48721049221666,214.6459578324352,mass_aware
0.5,0.75,117.26636406734897,763417.7474558861,0.00015360707090992167,0.1342123045798781,0.0015360707090992167,186,1190,96.3667988473415,211.14096478212775,mass_aware
0.5,0.775,114.66538329811821,754822.8479121423,0.00015191032387968298,0.13198051187431092,0.0015191032387968297,184,1171,94.37647109030478,207.5808254398611,mass_aware
0.5,0.8,109.22738729613735,716395.7657701878,0.0001524679409274682,0.12904911791224752,0.001524679409274682,177,1156,90.0204840784193,219.84919744341735,mass_aware
0.5,0.825,109.22738729613735,701590.1366111067,0.00015568546590996672,0.1304036682050299,0.0015568546590996673,177,1135,90.0204840784193,213.6309598011122,mass_aware
0.5,0.85,105.24723798778476,681374.8945312661,0.00015446304058529603,0.12750218975687244,0.0015446304058529604,173,1107,86.91080639837604,205.42855156613697,mass_aware
0.5,0.875,101.1097323704193,671719.1892620522,0.000150523811120385,0.12336702256988158,0.00150523811120385,167,1081,83.55007409081786,200.1970876276607,mass_aware
0.5,0.9,98.43007344668209,645249.6850137827,0.00015254571328396634,0.12253605902964775,0.0015254571328396633,164,1051,81.43553555871019,189.6876957406287,mass_aware
0.5,0.925,91.77026521459229,624920.3242534932,0.00014685114510272596,0.11608862361637222,0.0014685114510272594,157,1016,76.21356684525449,181.53209644165338,mass_aware
0.5,0.95,90.39109667547046,597087.597538739,0.00015138665925749011,0.11697865682388515,0.001513866592574901,155,967,75.09356868466267,168.80113063493454,mass_aware
0.525,0.5,131.13672761307365,797040.6499192787,0.000164529535132687,0.14688725211195425,0.00164529535132687,207,1265,107.69607378025637,236.96295487860368,mass_aware
0.525,0.525,127.23525645922749,793080.9439357382,0.00016043161474516165,0.14287252236265943,0.0016043161474516164,204,1251,104.7104128681284,234.81580657598406,mass_aware
0.525,0.55,127.07790015021462,784023.5664735511,0.0001620842862183296,0.14351770183490153,0.0016208428621832958,202,1240,104.4599398798229,230.90688805337956,mass_aware
0.525,0.575,126.99922199570818,772702.6434384093,0.00016435717293599637,0.144475718002319,0.0016435717293599638,201,1228,104.33480847227047,226.67671320352156,mass_aware
0.525,0.6,124.3982412264774,766109.5643737238,0.00016237656728404113,0.1421244503473188,0.001623765672840411,199,1216,102.34437590097758,224.04702190544194,mass_aware
0.525,0.625,123.09775084186201,756704.0234343039,0.0001626762208600166,0.14150998870511594,0.001626762208600166,198,1204,101.34932195378171,220.80896834627003,mass_aware
0.525,0.65,120.41809191812482,745621.0582219197,0.0001615003902991762,0.1394545404203794,0.0016150039029917621,195,1188,99.23405025155499,216.69203738927604,mass_aware
0.525,0.675,120.26073560911195,740549.679486264,0.00016239387976312342,0.13974837186432942,0.0016239387976312342,193,1176,98.98325799993448,214.03519552673464,mass_aware
