stat,seed,auc_all,auc_vs_ttbar,auc_vs_qcdlike,threshold,selected_signal_rows,selected_background_rows,S_over_sqrtB_rows,S_over_B_rows
mean,14.5,0.7254777220140901,0.6548036183830669,0.7510591591601322,0.6973333333333335,194.96666666666667,38.8,34.54755086507372,7.058503508856149
std,8.803408430829505,0.013846151305380566,0.02805176172512724,0.018458240338134542,0.10211330195807797,68.98299807190541,32.72708463895795,3.002131384766787,3.0014662096187936
min,0.0,0.7050258005230792,0.6018557669720461,0.7184316740342112,0.445,113.0,10.0,29.815178716381425,2.645669291338583
max,29.0,0.758959496713084,0.7088939073611378,0.7879029843297733,0.805,351.0,127.0,42.05829288023944,13.3
