campaign,shard,seed,generated_events,candidate_path,hh_candidate,rhh_lt80,rhh_lt50,rhh_lt30,mhh_gt600,mhh_gt800,rhh_lt50_and_mhh_gt400
ttbar_100k,0,105000,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard000_hh4b_candidates.parquet,29,22,15,6,3,3,4
ttbar_100k,1,105001,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_hh4b_candidates.parquet,46,37,27,13,7,3,6
ttbar_100k,2,105002,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard002_hh4b_candidates.parquet,36,26,18,7,6,2,7
ttbar_100k,3,105003,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard003_hh4b_candidates.parquet,39,26,19,9,9,5,2
ttbar_100k,4,105004,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard004_hh4b_candidates.parquet,26,16,12,8,6,2,3
ttbar_100k,5,105005,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard005_hh4b_candidates.parquet,44,31,23,13,10,4,7
ttbar_100k,6,105006,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard006_hh4b_candidates.parquet,39,32,18,10,8,2,10
ttbar_100k,7,105007,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard007_hh4b_candidates.parquet,39,28,21,13,8,5,5
ttbar_100k,8,105008,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard008_hh4b_candidates.parquet,33,25,17,10,4,3,5
ttbar_100k,9,105009,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard009_hh4b_candidates.parquet,44,34,20,13,10,3,2
ttbar_200k,0,109000,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard000_hh4b_candidates.parquet,37,28,23,7,6,2,10
ttbar_200k,1,109001,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard001_hh4b_candidates.parquet,39,28,21,11,10,2,8
ttbar_200k,2,109002,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard002_hh4b_candidates.parquet,33,23,17,11,11,6,5
ttbar_200k,3,109003,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard003_hh4b_candidates.parquet,43,33,27,12,9,2,7
ttbar_200k,4,109004,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard004_hh4b_candidates.parquet,37,25,19,9,9,3,8
ttbar_200k,5,109005,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard005_hh4b_candidates.parquet,46,32,28,16,6,2,9
ttbar_200k,6,109006,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard006_hh4b_candidates.parquet,24,19,15,10,2,0,5
ttbar_200k,7,109007,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard007_hh4b_candidates.parquet,38,31,24,10,8,5,8
ttbar_200k,8,109008,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard008_hh4b_candidates.parquet,35,26,17,7,5,3,7
ttbar_200k,9,109009,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard009_hh4b_candidates.parquet,34,24,17,10,7,2,7
ttbar_200k,10,109010,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard010_hh4b_candidates.parquet,32,22,16,5,6,3,5
ttbar_200k,11,109011,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard011_hh4b_candidates.parquet,34,21,13,9,7,2,7
ttbar_200k,12,109012,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard012_hh4b_candidates.parquet,32,25,17,8,5,2,7
ttbar_200k,13,109013,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard013_hh4b_candidates.parquet,34,27,22,10,2,1,7
ttbar_200k,14,109014,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard014_hh4b_candidates.parquet,48,37,23,10,9,4,5
ttbar_200k,15,109015,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard015_hh4b_candidates.parquet,44,36,27,10,8,6,12
ttbar_200k,16,109016,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard016_hh4b_candidates.parquet,29,26,18,9,2,2,3
ttbar_200k,17,109017,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard017_hh4b_candidates.parquet,36,29,17,11,7,2,6
ttbar_200k,18,109018,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard018_hh4b_candidates.parquet,40,36,27,10,7,6,8
ttbar_200k,19,109019,10000,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard019_hh4b_candidates.parquet,42,33,19,10,7,5,6
