baseline	sample_class	population_kind	process_or_mode	selected_rows	selected_sources	physical_yield	physical_sumw2	physical_effective_events	fraction_of_selected_class_yield	display_group
cut	background	hard_qcd	qcd_hardqcd	55	41	822051.9325452246	19388797873.293003	34.853598671641905	0.8721103114306237	Transferred QCD
cut	background	ordinary	bbh_hbb_4fs	422	3	613.5485189425921	892.047961601506	421.9972482430397	0.000650910202566	Other
cut	background	ordinary	ggh_hbb	9	5	603.2473042726432	40434.19163640021	8.99998974592111	0.0006399817013628	ggh_hbb
cut	background	ordinary	schannel_single_top	2	1	102.14422303205556	5216.721149411155	2.0	0.0001083642366529	Other
cut	background	ordinary	tchannel_antitop	7	4	966.3281187771356	133398.66712082332	6.999995227040727	0.0010251721129121	tchannel_antitop
cut	background	ordinary	tchannel_top	4	2	926.4028541185572	214555.9873330716	3.999992071005341	0.0009828156222613	tchannel_top
cut	background	ordinary	ttbar_inclusive	960	81	108312.88801479652	12220515.704070874	959.9989062816568	0.114908538936301	ttbar_inclusive
cut	background	ordinary	tth_hbb	966	2	985.776712872318	1005.9588674298496	965.999464892751	0.0010458050179412	Other
cut	background	ordinary	tttt	1320	3	46.22393871113022	1.6186857588297343	1319.9921592657145	4.90387188314238e-05	Other
cut	background	ordinary	ttw	73	4	59.43352061953014	48.38865392071343	72.99941385061027	6.305269062069299e-05	Other
cut	background	ordinary	ttz_zbb	903	3	264.814649524802	77.66001805713228	902.9974542544328	0.0002809403850598	Other
cut	background	ordinary	tw_antitop	12	4	662.807123190277	36609.4965720292	11.99998152630758	0.0007031683811437	tw_antitop
cut	background	ordinary	tw_top	10	5	552.7428705946713	30552.480018098195	9.999996098917526	0.0005864018292893	Other
cut	background	ordinary	vbf_hbb	4	2	17.95928962744521	80.63413591984936	3.9999942982344745	1.905291022377391e-05	Other
cut	background	ordinary	wh_hbb	5	3	9.200586783169328	16.93017585141286	4.999995150526794	9.76085121528846e-06	Other
cut	background	ordinary	wwz_zbb	7	4	3.554618991913133	1.805055856242356	6.999958551960207	3.7710754677704335e-06	Other
cut	background	ordinary	wz_zbb	1	1	8.184177144942003	66.98075553979105	1.0	8.68254789764891e-06	Other
cut	background	ordinary	wzz_zbb	13	4	3.32727930162408	0.8516007516762742	12.99997390705034	3.529892058001343e-06	Other
cut	background	ordinary	zbbbb	1681	19	6408.601367530968	24432.214949994708	1680.9843713301436	0.0067988494561013	zbbbb
cut	background	ordinary	zzz_zbb	9	3	1.7456981843370236	0.3386095377280443	8.999930041088103	1.8520014696544487e-06	Other
cut	signal	ordinary	ggf_hh4b	3123	80	44.99162046935067	0.6481803550635904	3122.967082610061	0.8966475594080243	Other
cut	signal	ordinary	vbf_hh4b	2635	7	5.185977180114405	0.0102067075965637	2634.96911792808	0.1033524405919758	Other
bdt	background	hard_qcd	qcd_hardqcd	52	33	489184.57119942777	11654712937.306414	20.532598785300877	0.8542372564148292	Transferred QCD
bdt	background	ordinary	bbh_hbb_4fs	317	3	460.8913187354436	670.1015297773667	316.997944708872	0.0008048302395487	Other
bdt	background	ordinary	ggh_hbb	13	7	871.0827849214918	58368.17039688964	12.99998291923532	0.0015211259964251	ggh_hbb
bdt	background	ordinary	schannel_single_top	2	1	102.14422303205556	5216.721149411155	2.0	0.0001783690778055	Other
bdt	background	ordinary	tchannel_antitop	4	3	552.1637628806984	76221.22946314747	3.9999987298287047	0.0009642145023879	tchannel_antitop
bdt	background	ordinary	tchannel_top	5	4	1159.2099528141348	268754.1203129172	4.99998925835543	0.0020242672970505	tchannel_top
bdt	background	ordinary	ttbar_inclusive	652	81	73562.4919258485	8299764.541761604	651.9992454137696	0.1284583058776739	ttbar_inclusive
bdt	background	ordinary	tth_hbb	614	2	626.577590785359	639.413184183265	613.9996593530674	0.0010941594514543	Other
bdt	background	ordinary	tttt	259	3	9.072122816549973	0.3177756741296123	258.9984668398412	1.584217034005484e-05	Other
bdt	background	ordinary	ttw	42	4	34.21637861334714	27.875439295595555	41.99971713439167	5.975026015119524e-05	Other
bdt	background	ordinary	ttz_zbb	582	3	170.70608865618323	50.06983446702246	581.9985029805833	0.0002980950533035	Other
bdt	background	ordinary	tw_antitop	8	4	441.9549822282784	24415.557452048524	7.999989625467662	0.0007717627122864	tw_antitop
bdt	background	ordinary	tw_top	5	4	276.34304089713925	15273.09781253664	4.999999161243817	0.0004825633002007	Other
bdt	background	ordinary	vbf_hbb	6	3	26.953866913531616	121.0853528106802	5.999990293857353	4.7068118410870726e-05	Other
bdt	background	ordinary	wh_hbb	7	3	12.888110391388397	23.729068144741344	6.999996310323889	2.250582849356217e-05	Other
bdt	background	ordinary	wwz_zbb	9	4	4.572227064963353	2.322818951410848	8.999952545111547	7.984239351832792e-06	Other
bdt	background	ordinary	wz_zbb	1	1	8.184177144942003	66.98075553979105	1.0	1.4291597572602237e-05	Other
bdt	background	ordinary	wzz_zbb	18	4	4.609285433800297	1.1803082511674037	17.999969236197717	8.048952429853346e-06	Other
bdt	background	ordinary	zbbbb	1350	19	5146.379046305585	19618.87212480334	1349.9867433647728	0.0089868507222289	zbbbb
bdt	background	ordinary	zzz_zbb	8	3	1.550861663402841	0.3006482678383081	7.999952623396301	2.708188055023701e-06	Other
