figure	panel	series	bin_low	bin_high	value	statistical_uncertainty	normalization
fig15	mhh	signal	100.0	107.87696681447704	0.0	0.0	unit_area
fig15	mhh	signal	107.87696681447704	116.37439969091794	0.0	0.0	unit_area
fig15	mhh	signal	116.37439969091794	125.54117253511842	0.0	0.0	unit_area
fig15	mhh	signal	125.54117253511842	135.4300090342152	0.00020666986598526165	0.00018348432308425955	unit_area
fig15	mhh	signal	135.4300090342152	146.0977859026836	0.0003625295257605586	0.00025634743606825353	unit_area
fig15	mhh	signal	146.0977859026836	157.6058600149237	0.002207176284491319	0.0006304965414494006	unit_area
fig15	mhh	signal	157.6058600149237	170.0204213059706	0.002851831501933669	0.0007064969860544356	unit_area
fig15	mhh	signal	170.0204213059706	183.41287347007594	0.0060414720376701925	0.0010311437553813087	unit_area
fig15	mhh	signal	183.41287347007594	197.86024464679258	0.014061738339939263	0.0015591150988893024	unit_area
fig15	mhh	signal	197.86024464679258	213.44563045666376	0.02431712875668429	0.002063424663371442	unit_area
fig15	mhh	signal	213.44563045666376	230.25867193468648	0.04920234235605628	0.0029496016197960765	unit_area
fig15	mhh	signal	230.25867193468648	248.3960711104373	0.0795503398784237	0.0037371049563414043	unit_area
fig15	mhh	signal	248.3960711104373	267.9621472002715	0.09533829142612037	0.004072068740893977	unit_area
fig15	mhh	signal	267.9621472002715	289.06943661059705	0.10284998269020826	0.00422551310118365	unit_area
fig15	mhh	signal	289.06943661059705	311.8393402032098	0.08891397198634246	0.0038761046372092953	unit_area
fig15	mhh	signal	311.8393402032098	336.40282154550084	0.08431950523004164	0.003761001928498244	unit_area
fig15	mhh	signal	336.40282154550084	362.90116016160437	0.07444029337988191	0.003502520699830898	unit_area
fig15	mhh	signal	362.90116016160437	391.48676411688655	0.055558327383970194	0.0029948888816528412	unit_area
fig15	mhh	signal	391.48676411688655	422.32404660944377	0.05738667202738761	0.0030544993951060104	unit_area
fig15	mhh	signal	422.32404660944377	455.59037161042664	0.05058170739378602	0.00281640748556435	unit_area
fig15	mhh	signal	455.59037161042664	491.4770739921326	0.037206070333367765	0.0023916881453083854	unit_area
fig15	mhh	signal	491.4770739921326	530.1905600112557	0.0346174556044206	0.002285833839140106	unit_area
fig15	mhh	signal	530.1905600112557	571.9534944768324	0.027200204133395165	0.0020030594345786363	unit_area
fig15	mhh	signal	571.9534944768324	617.0060814310149	0.023237430789117854	0.0018441392882447142	unit_area
fig15	mhh	signal	617.0060814310149	665.6074457086418	0.020397300737414525	0.001737398721672588	unit_area
fig15	mhh	signal	665.6074457086418	718.0371233217998	0.01621059426961641	0.0015303254694265399	unit_area
fig15	mhh	signal	718.0371233217998	774.5966692414836	0.012510523744074234	0.0013073891923351864	unit_area
fig15	mhh	signal	774.5966692414836	835.6113918236798	0.01053076769493178	0.001231721426115268	unit_area
fig15	mhh	signal	835.6113918236798	901.4322238556217	0.007382436825087369	0.000961676463684877	unit_area
fig15	mhh	signal	901.4322238556217	972.4377409837315	0.006397395259514937	0.000918020182313748	unit_area
fig15	mhh	signal	972.4377409837315	1049.0363391324713	0.004696711525552957	0.0008119029074946198	unit_area
fig15	mhh	signal	1049.0363391324713	1131.6685834377408	0.0024744990903772745	0.0005387763117136575	unit_area
fig15	mhh	signal	1131.6685834377408	1220.8097422049943	0.001999760067689596	0.0005267543092349611	unit_area
fig15	mhh	signal	1220.8097422049943	1316.9725204663857	0.0015470176203280783	0.0004885412581683114	unit_area
fig15	mhh	signal	1316.9725204663857	1420.710008859305	0.0011983945900418578	0.00037880779149780354	unit_area
fig15	mhh	signal	1420.710008859305	1532.618864787108	0.0015721568549490503	0.0004891386077973368	unit_area
fig15	mhh	signal	1532.618864787108	1653.342744158803	0.001035882053088148	0.00041134758857301726	unit_area
fig15	mhh	signal	1653.342744158803	1783.5760034457562	0.00038910568717846837	0.0002587345757994398	unit_area
fig15	mhh	signal	1783.5760034457562	1924.0676933481543	0.0003053390588775103	0.00018973918667781193	unit_area
fig15	mhh	signal	1924.0676933481543	2075.6258670412644	0.0005133076772883604	0.0002645450457837941	unit_area
fig15	mhh	signal	2075.6258670412644	2239.1222277808088	0.0003628354692424921	0.00025656421888759433	unit_area
fig15	mhh	signal	2239.1222277808088	2415.497142598682	0.0	0.0	unit_area
fig15	mhh	signal	2415.497142598682	2605.7650509258215	0.0	0.0	unit_area
fig15	mhh	signal	2605.7650509258215	2811.020299250489	2.483084976256029e-05	2.4830849762640592e-05	unit_area
fig15	mhh	signal	2811.020299250489	3032.443435370667	0.0	0.0	unit_area
fig15	mhh	signal	3032.443435370667	3271.3079984426017	0.0	0.0	unit_area
fig15	mhh	signal	3271.3079984426017	3528.9878438792625	0.0	0.0	unit_area
fig15	mhh	signal	3528.9878438792625	3806.965045228561	0.0	0.0	unit_area
fig15	mhh	signal	3806.965045228561	4106.838418479956	0.0	0.0	unit_area
fig15	mhh	signal	4106.838418479956	4430.3327178278205	0.0	0.0	unit_area
fig15	mhh	signal	4430.3327178278205	4779.308555782037	0.0	0.0	unit_area
fig15	mhh	signal	4779.308555782037	5155.773104682456	0.0	0.0	unit_area
fig15	mhh	signal	5155.773104682456	5561.891641168025	0.0	0.0	unit_area
fig15	mhh	signal	5561.891641168025	6000.0	0.0	0.0	unit_area
fig15	mhh	ordinary	100.0	107.87696681447704	0.0	0.0	unit_area
fig15	mhh	ordinary	107.87696681447704	116.37439969091794	0.0	0.0	unit_area
fig15	mhh	ordinary	116.37439969091794	125.54117253511842	3.7232942578418506e-06	3.0099624402392374e-06	unit_area
fig15	mhh	ordinary	125.54117253511842	135.4300090342152	0.0003207558599475743	0.0003199268936331096	unit_area
fig15	mhh	ordinary	135.4300090342152	146.0977859026836	0.0016167874338293903	0.0007158426529354788	unit_area
fig15	mhh	ordinary	146.0977859026836	157.6058600149237	0.002475322310862648	0.0008488003145650437	unit_area
fig15	mhh	ordinary	157.6058600149237	170.0204213059706	0.0045027506487901065	0.0011223959435400599	unit_area
fig15	mhh	ordinary	170.0204213059706	183.41287347007594	0.007744577268391912	0.0014562176765140107	unit_area
fig15	mhh	ordinary	183.41287347007594	197.86024464679258	0.01461610133204395	0.002050610181769963	unit_area
fig15	mhh	ordinary	197.86024464679258	213.44563045666376	0.018412385863657336	0.0022432509023548814	unit_area
fig15	mhh	ordinary	213.44563045666376	230.25867193468648	0.02783430629012287	0.002809034138814524	unit_area
fig15	mhh	ordinary	230.25867193468648	248.3960711104373	0.03880703812884557	0.003316668020936607	unit_area
fig15	mhh	ordinary	248.3960711104373	267.9621472002715	0.052954100923949116	0.003958826090921868	unit_area
fig15	mhh	ordinary	267.9621472002715	289.06943661059705	0.05930645318855282	0.004171007617459057	unit_area
fig15	mhh	ordinary	289.06943661059705	311.8393402032098	0.069741818759075	0.004548085871257976	unit_area
fig15	mhh	ordinary	311.8393402032098	336.40282154550084	0.06341024822816843	0.004329235364791619	unit_area
fig15	mhh	ordinary	336.40282154550084	362.90116016160437	0.07867076837342266	0.004855307609972433	unit_area
fig15	mhh	ordinary	362.90116016160437	391.48676411688655	0.07322134763915511	0.004653781322591179	unit_area
fig15	mhh	ordinary	391.48676411688655	422.32404660944377	0.07799723569045945	0.004850352209328594	unit_area
fig15	mhh	ordinary	422.32404660944377	455.59037161042664	0.06283464428572459	0.0043014666300352925	unit_area
fig15	mhh	ordinary	455.59037161042664	491.4770739921326	0.05135187473919532	0.003909520530896238	unit_area
