model	target_signal_efficiency	operating_threshold	signal_yield	background_yield	background_rejection	background_effective_events	selected_transferred_qcd_rows	selected_transferred_qcd_sources	selected_direct_qcd_closure_rows	systematic_supported	transferred_qcd_yield	direct_qcd_closure_yield	multijet_systematic_absolute	nominal_asimov_ZA	systematic_aware_asimov_ZA
cut	0.1	-9.36631541987052	8.187243584557045	45210.99866932909	0.975648206870901	3.7772821045924325	3	3	2	False	32858.6151285959	454473.9526897271	89228.98059594195	0.03850370794611956	nan
cut	0.11	-9.909188958427057	8.982183068786554	46072.90648568863	0.9746732633038422	3.922028976896933	3	3	2	False	32858.6151285959	454473.9526897271	89228.98059594195	0.041845136287710076	nan
cut	0.12000000000000001	-10.299213858118872	9.837199271154846	46817.2403490507	0.9737832752132716	4.0492046666432335	3	3	2	False	32858.6151285959	454473.9526897271	89228.98059594195	0.045462504368855065	nan
cut	0.13	-10.77314393421523	10.797458448944724	48268.822750680396	0.9715133374166129	4.3029521212606285	3	3	2	False	32858.6151285959	454473.9526897271	89228.98059594195	0.04914416922271989	nan
cut	0.14	-11.2071354981405	11.617562697372648	49341.00630627758	0.9677780431290149	4.495284389740963	3	3	3	False	32858.6151285959	636366.7959247864	89463.2357241343	0.05229907193053837	nan
cut	0.15000000000000002	-11.667423851763909	12.449983300701305	50681.37124718511	0.9660932788417348	4.741605992338038	3	3	3	False	32858.6151285959	636366.7959247864	89463.2357241343	0.05530021389401907	nan
cut	0.16	-12.148683395388638	13.25503196424862	51527.03421938933	0.9638493331759778	4.900426405390535	3	3	3	False	32858.6151285959	636366.7959247864	89463.2357241343	0.05839082184148214	nan
cut	0.17	-12.574372918383924	14.03314081537822	53027.709171057475	0.961973771575853	5.188528971120248	3	3	3	False	32858.6151285959	636366.7959247864	89463.2357241343	0.06093745282686557	nan
cut	0.18	-13.001520084387446	14.825802738089996	87029.16547440845	0.9608493735624852	6.989385131868513	5	5	3	True	65770.20373604256	636366.7959247864	177914.45846731903	0.05025432891575439	8.327226150146484e-05
cut	0.19	-13.361179931533997	15.746474513679965	98808.44681718093	0.959572140321784	8.150308463324045	6	6	3	True	76452.58766949158	636366.7959247864	206389.44753253006	0.050092737249771715	7.625676936481344e-05
cut	0.2	-13.868778009000943	16.538570918653228	112193.17557550623	0.9571495034777007	9.61406133509479	7	7	3	True	86991.66856696815	636366.7959247864	234374.8775122816	0.04937465681871817	7.045915234863976e-05
cut	0.21000000000000002	-14.310916821612851	17.345623951360864	113199.14492329565	0.9526152491507873	9.786431073895889	7	7	3	True	86991.66856696815	636366.7959247864	234374.8775122816	0.05155339408901421	7.405823943368317e-05
cut	0.22	-14.758829162882586	18.177086703871726	157805.8383915401	0.9514121591368558	7.6887225122930625	8	8	3	True	130916.89580416659	636366.7959247864	349928.3669605319	0.04575666974573185	5.220508758863005e-05
cut	0.23	-15.162148948619125	19.046232584415687	203311.07755664855	0.949484443495296	8.028942966628144	9	9	3	True	174611.8470278857	636366.7959247864	463299.5127039964	0.04223979305363772	4.186217146895651e-05
cut	0.24000000000000002	-15.565968174689187	19.92608165604884	243130.11434564122	0.9293850388593555	10.471979967143568	12	12	3	True	212247.0156860495	636366.7959247864	559854.7610919267	0.04041072075650328	3.4620041992430784e-05
cut	0.25	-16.032276969389223	20.730777174949218	246127.99676784303	0.9249578413844606	10.731207283291914	12	12	3	True	212247.0156860495	636366.7959247864	559854.7610919267	0.041785824770813974	3.673331105704534e-05
cut	0.26	-16.45976404860833	21.575460977078812	247934.61061053025	0.9233438595043791	10.888953451556425	12	12	3	True	212247.0156860495	636366.7959247864	559854.7610919267	0.043329652557475215	3.843437621485935e-05
cut	0.27	-16.871855452816195	22.352046661229842	260082.94242530782	0.9203541284696138	11.748968801705571	13	13	3	True	222824.69150117796	636366.7959247864	586831.1552906997	0.043828351897842024	3.744773043083043e-05
cut	0.28	-17.25041557612656	23.299261452316898	261202.78584505807	0.9188838096690315	11.850125565570378	13	13	3	True	222824.69150117796	636366.7959247864	586831.1552906997	0.04558760705954851	3.9991020164330414e-05
cut	0.29000000000000004	-17.67434033501696	24.155826583488903	262657.76274467044	0.917350539060566	11.982192080763962	13	13	3	True	222824.69150117796	636366.7959247864	586831.1552906997	0.04713246201209176	3.990391971509168e-05
cut	0.30000000000000004	-18.125706001915667	24.92168019640661	297916.03219226515	0.9147169642534236	14.086187230283647	15	15	3	True	255776.10925290774	636366.7959247864	670466.8222624313	0.04565878244624216	3.6751881446566135e-05
cut	0.31	-18.568170263963122	25.59981927389494	300309.1412179163	0.9110022407396295	14.312806462280488	15	15	3	True	255776.10925290774	636366.7959247864	670466.8222624313	0.046713935125507006	3.7783529044942715e-05
cut	0.32	-18.982456121015478	26.508892640610526	323962.41724771186	0.8988411509946006	16.07739033658702	17	17	3	True	277064.79790894885	636366.7959247864	724212.4292826297	0.046573443355256594	3.670325283482588e-05
cut	0.33	-19.465588944568537	27.290745802893316	325017.38727255736	0.8971116949911069	16.182017863320972	17	17	3	True	277064.79790894885	636366.7959247864	724212.4292826297	0.047869184542434995	3.871062612749102e-05
cut	0.33999999999999997	-19.937320767233942	28.200940838923707	337554.1093111589	0.8870161594854751	17.161953987307054	19	18	5	True	287652.54236259573	1349326.0066148974	768233.1214648442	0.048538444085726794	3.578304158047473e-05
cut	0.35	-20.408086497073505	29.084501192640182	339100.79718542006	0.8852880012821809	17.3180006223985	20	19	5	True	288381.69604241673	1349326.0066148974	770134.5740172889	0.04994488373929109	3.927094094448544e-05
cut	0.36	-20.873832106741155	29.814500643680233	362803.96853008965	0.8799269658062103	19.164178495508146	22	20	5	True	309747.53071658727	1349326.0066148974	825762.104847531	0.04949776361593683	3.590857604938067e-05
cut	0.37	-21.24680594079878	30.553369214764196	436037.2449390674	0.8768367904544228	20.70231445263066	25	23	5	True	380806.81648920936	1349326.0066148974	1009587.3813817113	0.04626922689413458	3.139314140954185e-05
cut	0.38	-21.693008839102188	31.370808162191352	438331.50028776994	0.8730643350578344	20.920190448995367	25	23	5	True	380806.81648920936	1349326.0066148974	1009587.3813817113	0.047382632507101806	3.104944669977236e-05
cut	0.39	-22.135689955946415	32.240326972043476	473730.83299295045	0.8681994551904422	23.07378122802295	28	25	5	True	414439.565980506	1349326.0066148974	1096002.1826630519	0.04684127261134074	3.0486330081386885e-05
cut	0.4	-22.646401569418334	33.05079081122479	475625.9605861566	0.864505782660362	23.25829567038932	28	25	5	True	414439.565980506	1349326.0066148974	1096002.1826630519	0.04792300583111742	3.0542102622211246e-05
cut	0.41000000000000003	-23.06362102733833	33.869828780378064	504310.6352966919	0.8623205220352643	25.14728341250063	30	27	5	True	441592.772901874	1349326.0066148974	1165513.3003935139	0.047693487056404284	2.622251326457631e-05
cut	0.42000000000000004	-23.60187795869388	34.69953366800377	518056.85879786947	0.8582599527755733	26.243309407203576	31	28	5	True	452212.17636561353	1349326.0066148974	1192639.343684279	0.0482092168221783	2.8832010533957168e-05
cut	0.43000000000000005	-24.04325154162765	35.45457086899056	537061.10932262	0.8527127647788194	27.475436386247484	32	28	5	True	468672.10068165883	1349326.0066148974	1234620.967351975	0.04837885690129572	3.0237095117095216e-05
cut	0.44000000000000006	-24.50843980649354	36.30259657042809	539471.5525036537	0.8491057426659491	27.721946955684093	32	28	6	True	468672.10068165883	1351428.4859905676	1234683.7374091663	0.04942521242012376	2.520338494453469e-05
cut	0.45000000000000007	-25.02248808968877	37.27154708878127	561560.1825706395	0.8429647573417154	29.234468870452226	34	29	6	True	489368.42573453323	1351428.4859905676	1287369.0049836484	0.04973641324242036	2.90770173225398e-05
cut	0.45999999999999996	-25.425427952588855	38.02693407260955	645541.4350982879	0.8404567513023942	31.5153411890015	39	33	6	True	571123.9094236513	1351428.4859905676	1494439.1929332635	0.047328744753976804	2.1370838882761867e-05
cut	0.47	-25.897818378561297	38.67833387953314	648146.2362287217	0.8360936206446371	31.76953643879733	39	33	6	True	571123.9094236513	1351428.4859905676	1494439.1929332635	0.04804264802513912	2.5372502098673375e-05
cut	0.48	-26.327153221002334	39.496978644123296	666795.6284102265	0.8322948451343538	32.939641462701985	40	33	6	True	587693.3062829432	1351428.4859905676	1536221.8426628786	0.04836856643541467	2.8390604364785787e-05
cut	0.49	-26.88780000562864	40.34116172304536	713624.4186772453	0.8260009753761215	33.081482835968984	41	34	6	True	631234.2615169002	1351428.4859905676	1645760.209702299	0.04775396731333257	2.8060617261167532e-05
cut	0.5	-27.43390301699262	41.023459364506934	715793.8068908221	0.8229674936615944	33.282451553215985	41	34	6	True	631234.2615169002	1351428.4859905676	1645760.209702299	0.04848798800441897	2.627285093219866e-05
cut	0.51	-27.96728757240813	41.780751066164285	745593.9746012292	0.8195626246331242	35.225683780700976	43	35	6	True	658405.9177441665	1351428.4859905676	1713945.597006762	0.04838614158409074	2.5956276017217037e-05
cut	0.52	-28.453558366632663	42.571384289295246	758448.929920096	0.816469022938209	36.19131227252985	44	36	6	True	669032.8204380535	1351428.4859905676	1740580.559415362	0.04888217687364116	1.85225864099797e-05
cut	0.53	-29.056642584753796	43.41287469072522	822535.880855825	0.8112604576077875	37.32494513213339	46	38	6	True	729841.4418348686	1351428.4859905676	1892682.9284898255	0.04786712002402228	2.4980790451520005e-05
cut	0.54	-29.670420053739175	44.152786869657	853264.6217428204	0.8048623417615093	39.3351595724321	48	39	6	True	756852.4612812627	1351428.4859905676	1960103.6039780756	0.04779830607387611	7.05432400526106e-06
cut	0.55	-30.221752260083125	44.898017163174856	866610.4314306607	0.8015753213287795	40.3285843815151	49	39	6	True	767479.3639751497	1351428.4859905676	1986608.9154143573	0.04822935517641128	2.427500522072294e-05
cut	0.56	-30.777703284731896	45.74403178659568	870109.975847558	0.7940732664390973	40.65409444246271	49	39	6	True	767479.3639751497	1351428.4859905676	1986608.9154143573	0.04903922076144961	2.9511213815490838e-05
cut	0.5700000000000001	-31.267443311556303	46.500824105437644	871788.8103641116	0.7900301885562033	40.81076169656924	49	39	6	True	767479.3639751497	1351428.4859905676	1986608.9154143573	0.049802499948712414	2.628806393608439e-05
cut	0.58	-31.890901726294658	47.38264512196185	885819.3908835696	0.783456648133928	41.87753948962358	50	39	6	True	778162.2813122348	1351428.4859905676	2013243.782458131	0.05034343425503084	2.581681042746069e-05
cut	0.59	-32.49731956844684	48.177502587920735	900262.5339015886	0.7692586978008777	42.99373563519785	52	39	6	True	788849.4623636496	1351428.4859905676	2039879.87201968	0.05077568857821686	2.3092120074973797e-05
cut	0.6	-33.153214936278175	49.02163870698146	920816.0061923332	0.7629310592630426	44.32327113430108	53	40	6	True	805540.738901138	1351428.4859905676	2081463.242993578	0.05108548743259213	2.346008266902734e-05
cut	0.61	-33.7112589264642	49.81586585866607	940958.118150955	0.7588539069965724	45.63614157803136	54	40	6	True	822002.7611383862	1351428.4859905676	2122457.7646807646	0.05135452357473328	2.642918386184636e-05
cut	0.62	-34.291607658578236	50.57096122915111	944005.2432435488	0.7507336903706454	45.93145095750874	55	41	7	True	822051.9325452225	1382605.7630332874	2124320.041222697	0.05204872888932511	2.4952908047440538e-05
cut	0.63	-34.914619598645515	51.36327838688967	1068188.684849755	0.7442266484486182	47.87273166288499	59	44	7	True	943153.6417806607	1382605.7630332874	2425678.8157475074	0.04969643881167272	0.0
cut	0.64	-35.557514793649204	52.19336913090363	1071753.0182006853	0.7400522883315347	48.19200039416896	60	45	7	True	943161.4143773193	1382605.7630332874	2425698.150682172	0.050415543029519956	2.5091356499023265e-05
cut	0.65	-36.46377166600843	53.12436945176507	1086947.5441567826	0.722441502900959	49.332500380516194	62	46	7	True	954516.164935329	1382605.7630332874	2453944.775693815	0.05095490050104589	2.621080191467768e-05
cut	0.66	-37.30523338526003	53.88369237251335	1160934.3325734795	0.7169822082887061	51.37831753812166	65	47	7	True	1025242.3834959423	1382605.7630332874	2629972.343938457	0.05000922923929788	2.26082164569907e-05
cut	0.67	-38.01818330162413	54.63920690111867	1174178.060077757	0.7066276059624527	52.33429131629728	66	48	7	True	1035800.0610687583	1382605.7630332874	2656269.8130820417	0.05042362195619074	2.2750915205837006e-05
cut	0.6799999999999999	-38.89297724493987	55.4834815150524	1184169.6641629385	0.696274120715347	53.19043587784339	68	50	7	True	1040756.1839094298	1382605.7630332874	2668617.2754191784	0.05098628246863646	2.4002780344222872e-05
cut	0.69	-39.62412699332585	56.23625309954342	1219189.0093508726	0.6884981648016144	55.547042292114014	72	51	7	True	1071939.207019477	1382605.7630332874	2746348.267290101	0.05093045062070464	1.7211618317681122e-05
