mhh_category	factor_scheme	normalization_region	threeb_rows	fourb_rows	threeb_yield	fourb_yield	threeb_sumw2	fourb_sumw2	threeb_effective_events	fourb_effective_events	transfer_factor	transfer_factor_statistical_uncertainty	transfer_factor_relative_statistical_uncertainty	role	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
inclusive_mhh	cms_cr_nominal	cms_reference_cr_rhh125120_ge30_lt55	76	9	53352634.58177756	1247776.3782944663	63039915057387.375	450227813193.3298	45.15398877402385	3.458129072894696	0.0233873432507237	0.013049218432667	0.5579607009130129	nominal				0	not_applicable	not_applicable_non_model_diagnostic
inclusive_mhh	baseline_global_alternative	baseline_all_candidates	576	56	162402010.32763964	8859365.004916377	144409042222765.6	6800837362502.406	182.63685259939308	11.540982985874072	0.054552064885422	0.0165575248073507	0.3035178382729814	normalization_region_alternative				0	not_applicable	not_applicable_non_model_diagnostic
inclusive_mhh	outside_ge55_alternative	cms_reference_outside_rhh125120_ge55	452	41	76687749.49496922	6260160.140631344	47548160049492.51	5605667906764.315	123.68535220882688	6.99106790451494	0.0816318144926396	0.0317341718276141	0.3887475982844341	normalization_region_alternative				0	not_applicable	not_applicable_non_model_diagnostic
low_mhh	cms_cr_nominal	cms_reference_cr_rhh125120_ge30_lt55	59	8	48867663.31264859	1216654.9355414438	58476416027188.39	449259268994.3001	40.8378057322813	3.294866315148047	0.0248969329218271	0.0142585663893799	0.5727037315861286	nominal				0	not_applicable	not_applicable_non_model_diagnostic
low_mhh	baseline_global_alternative	baseline_all_candidates	155	17	111154082.0673227	4033769.610073979	116125506642063.66	2075562617330.1096	106.39548810160994	7.839463445379879	0.0362898917885071	0.0134301356353386	0.3700792417240519	normalization_region_alternative				0	not_applicable	not_applicable_non_model_diagnostic
low_mhh	outside_ge55_alternative	cms_reference_outside_rhh125120_ge55	57	6	32978513.0967742	1649722.6811000062	25726086605446.348	914451134325.672	42.27546702901406	2.9761950336938723	0.0500241680472056	0.0300000681530254	0.5997114859504636	normalization_region_alternative				0	not_applicable	not_applicable_non_model_diagnostic
high_mhh	cms_cr_nominal	cms_reference_cr_rhh125120_ge30_lt55	17	1	4484971.269128961	31121.442753022548	4563499030198.981	968544199.0296596	4.407794797764024	1.0	0.006939050639463	0.0076859839762026	1.1076420068894917	nominal				0	not_applicable	not_applicable_non_model_diagnostic
high_mhh	baseline_global_alternative	baseline_all_candidates	421	39	51247928.26031695	4825595.3948423965	28283535580701.95	4725274745172.294	92.857915287174	4.928045917015789	0.0941617653367467	0.0435277290051846	0.4622654306609294	normalization_region_alternative				0	not_applicable	not_applicable_non_model_diagnostic
high_mhh	outside_ge55_alternative	cms_reference_outside_rhh125120_ge55	395	35	43709236.39819501	4610437.459531338	21822073444046.152	4691216772438.643	87.54884596149815	4.5310491071594985	0.105479707252944	0.0508190715380747	0.4817900320505135	normalization_region_alternative				0	not_applicable	not_applicable_non_model_diagnostic
