model	false_positive_rate	true_positive_rate	threshold	weighting
bdt	0.0	0.0	inf	unweighted_appendix_diagnostic
bdt	0.0004211905653313366	0.012209489129270643	0.9651975035667419	unweighted_appendix_diagnostic
bdt	0.000889180082366155	0.024526079040376996	0.9576226472854614	unweighted_appendix_diagnostic
bdt	0.0013103706476974915	0.036842668951483346	0.9515626430511475	unweighted_appendix_diagnostic
bdt	0.0018719580681392737	0.05472849951804648	0.9435526728630066	unweighted_appendix_diagnostic
bdt	0.002386746536877574	0.06179715111920317	0.9408268332481384	unweighted_appendix_diagnostic
bdt	0.002948333957319356	0.06672378708364571	0.9388450980186462	unweighted_appendix_diagnostic
bdt	0.003509921377761138	0.07325693477562387	0.9357233047485352	unweighted_appendix_diagnostic
bdt	0.003977910894795956	0.0837528113955232	0.9319773316383362	unweighted_appendix_diagnostic
bdt	0.004445900411830775	0.09039305986933704	0.9292779564857483	unweighted_appendix_diagnostic
bdt	0.004913889928865593	0.09467709114276535	0.9276890754699707	unweighted_appendix_diagnostic
bdt	0.005475477349307376	0.10249544821677198	0.9250481724739075	unweighted_appendix_diagnostic
bdt	0.006083863721452639	0.1072078826175431	0.923352837562561	unweighted_appendix_diagnostic
bdt	0.006551853238487458	0.11374103030952126	0.921192467212677	unweighted_appendix_diagnostic
bdt	0.007160239610632722	0.11834636392845668	0.9195016622543335	unweighted_appendix_diagnostic
bdt	0.007815424934481468	0.12455820927492771	0.9168305397033691	unweighted_appendix_diagnostic
bdt	0.008470610258330213	0.13291207025811289	0.914283037185669	unweighted_appendix_diagnostic
bdt	0.009078996630475478	0.137624504658884	0.9128389954566956	unweighted_appendix_diagnostic
bdt	0.009593785099213778	0.14115883045946234	0.9117305874824524	unweighted_appendix_diagnostic
bdt	0.010295769374766004	0.14565706329656206	0.9100927710533142	unweighted_appendix_diagnostic
bdt	0.010810557843504305	0.1490842883153047	0.9090642929077148	unweighted_appendix_diagnostic
bdt	0.011278547360539124	0.15315411802506157	0.9077193737030029	unweighted_appendix_diagnostic
bdt	0.011840134780980905	0.15947306415336832	0.9062063694000244	unweighted_appendix_diagnostic
bdt	0.012401722201422688	0.16482810324515368	0.904421329498291	unweighted_appendix_diagnostic
bdt	0.013056907525271434	0.1675056227910464	0.9035171866416931	unweighted_appendix_diagnostic
bdt	0.013571695994009734	0.17211095640998178	0.9019432663917542	unweighted_appendix_diagnostic
bdt	0.014367278172968926	0.17596658455606726	0.9003363251686096	unweighted_appendix_diagnostic
bdt	0.014882066641707225	0.17960801113848132	0.8993548154830933	unweighted_appendix_diagnostic
bdt	0.015443654062149008	0.18324943772089536	0.8979002833366394	unweighted_appendix_diagnostic
bdt	0.01600524148259079	0.1883902752490093	0.8960310816764832	unweighted_appendix_diagnostic
bdt	0.01652002995132909	0.19513762450465888	0.8935829401016235	unweighted_appendix_diagnostic
bdt	0.017362411081991762	0.1995287565599229	0.8923283219337463	unweighted_appendix_diagnostic
bdt	0.017970797454137027	0.2038127878333512	0.8908429145812988	unweighted_appendix_diagnostic
bdt	0.01857918382628229	0.2072400128520938	0.8896991610527039	unweighted_appendix_diagnostic
bdt	0.019234369150131037	0.21098854021634358	0.8885133266448975	unweighted_appendix_diagnostic
bdt	0.019795956570572818	0.21334475741672915	0.8874001502990723	unweighted_appendix_diagnostic
bdt	0.020404342942718083	0.21677198243547177	0.8865752220153809	unweighted_appendix_diagnostic
bdt	0.02110632721827031	0.21955660276320016	0.8856163024902344	unweighted_appendix_diagnostic
bdt	0.021667914638712094	0.22394773481846417	0.8846773505210876	unweighted_appendix_diagnostic
bdt	0.022229502059153874	0.226946556709864	0.883660614490509	unweighted_appendix_diagnostic
bdt	0.022791089479595655	0.2315518903287994	0.8821397423744202	unweighted_appendix_diagnostic
bdt	0.02339947585174092	0.2361572239477348	0.8800674676895142	unweighted_appendix_diagnostic
bdt	0.024007862223886185	0.24001285209382028	0.8789190053939819	unweighted_appendix_diagnostic
bdt	0.02489704230625234	0.24226196851237014	0.8781424760818481	unweighted_appendix_diagnostic
bdt	0.025786222388618496	0.24526079040376994	0.8768163323402405	unweighted_appendix_diagnostic
bdt	0.02644140771246724	0.2474028060404841	0.8759490251541138	unweighted_appendix_diagnostic
bdt	0.027424185698240358	0.24997322480454107	0.8749241232872009	unweighted_appendix_diagnostic
bdt	0.02817296892549607	0.25404305451429793	0.8737972974777222	unweighted_appendix_diagnostic
bdt	0.029015350056158743	0.25672057406019066	0.8725346922874451	unweighted_appendix_diagnostic
bdt	0.029623736428304005	0.25939809360608335	0.8716368079185486	unweighted_appendix_diagnostic
bdt	0.030091725945338824	0.26228981471564744	0.8704791069030762	unweighted_appendix_diagnostic
bdt	0.03098090602770498	0.26582414051622577	0.8690102696418762	unweighted_appendix_diagnostic
bdt	0.03158929239985024	0.26807325693477563	0.8680339455604553	unweighted_appendix_diagnostic
bdt	0.03224447772369899	0.27257148977187534	0.8665564656257629	unweighted_appendix_diagnostic
bdt	0.03271246724073381	0.2751419085359323	0.8657044172286987	unweighted_appendix_diagnostic
bdt	0.03336765256458255	0.27803362964549644	0.8647968173027039	unweighted_appendix_diagnostic
bdt	0.0340228378884313	0.28135375388240336	0.8635199069976807	unweighted_appendix_diagnostic
bdt	0.03477162111568701	0.28456677733747454	0.8625105023384094	unweighted_appendix_diagnostic
bdt	0.03542680643953575	0.2867087929741887	0.8616319298744202	unweighted_appendix_diagnostic
bdt	0.0360819917633845	0.29013601799293137	0.8604252934455872	unweighted_appendix_diagnostic
