figure	panel	series	bin_low	bin_high	value	statistical_uncertainty	normalization
fig13	unit_shape	fourb_signal	0.25	0.29039658741038554	0.0	0.0	unit_area
fig13	unit_shape	fourb_signal	0.29039658741038554	0.33732071191839086	0.00018187573276016262	0.00018187573276016262	unit_area
fig13	unit_shape	fourb_signal	0.33732071191839086	0.3918271344157699	2.490965292466398e-05	2.4909652924663993e-05	unit_area
fig13	unit_shape	fourb_signal	0.3918271344157699	0.45514105075652006	0.0	0.0	unit_area
fig13	unit_shape	fourb_signal	0.45514105075652006	0.528685631720282	2.490965292466398e-05	2.4909652924663993e-05	unit_area
fig13	unit_shape	fourb_signal	0.528685631720282	0.6141140130578951	0.00018096521765868776	0.00018096521765868773	unit_area
fig13	unit_shape	fourb_signal	0.6141140130578951	0.7133464546916389	0.0005695782764395742	0.00031551670626471214	unit_area
fig13	unit_shape	fourb_signal	0.7133464546916389	0.8286135043349967	0.0003640372758097206	0.00025741326023738845	unit_area
fig13	unit_shape	fourb_signal	0.8286135043349967	0.962506135764175	0.0003618993184445878	0.00025590154928867086	unit_area
fig13	unit_shape	fourb_signal	0.962506135764175	1.118033988749895	0.00041232484039826285	0.00025874073360097677	unit_area
fig13	unit_shape	fourb_signal	1.118033988749895	1.2986930197671636	0.000570034950248303	0.00031583081260695055	unit_area
fig13	unit_shape	fourb_signal	1.2986930197671636	1.5085440841362905	0.0007781099076575728	0.00036584634103361445	unit_area
fig13	unit_shape	fourb_signal	1.5085440841362905	1.7523042159652176	0.0008026614204555611	0.00036664503686766644	unit_area
fig13	unit_shape	fourb_signal	1.7523042159652176	2.0354526576845218	0.0017593314107020774	0.0005478469920856602	unit_area
fig13	unit_shape	fourb_signal	2.0354526576845218	2.3643540225079396	0.0017278287132382636	0.0005208927458624128	unit_area
fig13	unit_shape	fourb_signal	2.3643540225079396	2.7464013582652944	0.0033395404901271864	0.0007538151490925571	unit_area
fig13	unit_shape	fourb_signal	2.7464013582652944	3.1901823283979565	0.0037283083308171402	0.0007969670500184201	unit_area
fig13	unit_shape	fourb_signal	3.1901823283979565	3.7056722455347377	0.0039759077294481155	0.0008006098283478951	unit_area
fig13	unit_shape	fourb_signal	3.7056722455347377	4.304458296658675	0.004857253685643745	0.0008970674280365733	unit_area
fig13	unit_shape	fourb_signal	4.304458296658675	5.000000000000001	0.007572425762365513	0.00111555786203442	unit_area
fig13	unit_shape	fourb_signal	5.000000000000001	5.807931748207712	0.010110841359440086	0.0012956208696644493	unit_area
fig13	unit_shape	fourb_signal	5.807931748207712	6.746414238367816	0.015271605967361617	0.001597657047536759	unit_area
fig13	unit_shape	fourb_signal	6.746414238367816	7.836542688315396	0.01685178792757037	0.0016693570315782997	unit_area
fig13	unit_shape	fourb_signal	7.836542688315396	9.102821015130399	0.02325670226031596	0.0019504297635800456	unit_area
fig13	unit_shape	fourb_signal	9.102821015130399	10.57371263440564	0.03298944538538032	0.00235203224800671	unit_area
fig13	unit_shape	fourb_signal	10.57371263440564	12.282280261157908	0.03932361096535889	0.0025590656106861615	unit_area
fig13	unit_shape	fourb_signal	12.282280261157908	14.266929093832774	0.04915336192559985	0.002860736662371122	unit_area
fig13	unit_shape	fourb_signal	14.266929093832774	16.572270086699938	0.05712477049859832	0.003086316637556908	unit_area
