model	false_positive_rate	true_positive_rate	threshold	weighting
bdt	0.0	0.0	inf	development_hierarchical_weight
bdt	0.0007121990356858575	0.006215110546160166	0.9713384509086609	development_hierarchical_weight
bdt	0.0019418519700349038	0.01281887167896864	0.9648686051368713	development_hierarchical_weight
bdt	0.0020102623648026196	0.018807590135309603	0.9609955549240112	development_hierarchical_weight
bdt	0.0021325188866422396	0.024980137436559285	0.9575002789497375	development_hierarchical_weight
bdt	0.002201046567843953	0.03177366302240982	0.9542189836502075	development_hierarchical_weight
bdt	0.002402050367114643	0.037625207559296936	0.9515306949615479	development_hierarchical_weight
bdt	0.002506343270561844	0.04392346773866357	0.9485819339752197	development_hierarchical_weight
bdt	0.0025314537567008586	0.050749692958965954	0.9457200765609741	development_hierarchical_weight
bdt	0.0027358607563490603	0.056652128625776524	0.9432951807975769	development_hierarchical_weight
bdt	0.0028468219515627694	0.06270733286815766	0.9411739110946655	development_hierarchical_weight
bdt	0.004097757867762487	0.06803924130060059	0.938867449760437	development_hierarchical_weight
bdt	0.004238229780337024	0.07375962073293808	0.9362753629684448	development_hierarchical_weight
bdt	0.004370479308305174	0.07946290675702593	0.9341430068016052	development_hierarchical_weight
bdt	0.005716399328365875	0.08550974939878679	0.9318851232528687	development_hierarchical_weight
bdt	0.00626830690831044	0.09120027631730225	0.9295481443405151	development_hierarchical_weight
bdt	0.006523760494577888	0.0961450459449838	0.9276890754699707	development_hierarchical_weight
bdt	0.0067077476161276905	0.10176204039963187	0.9258885979652405	development_hierarchical_weight
bdt	0.007042937552677723	0.10670088216295953	0.9240140318870544	development_hierarchical_weight
bdt	0.007264203075925095	0.11230274964121323	0.9224526286125183	development_hierarchical_weight
bdt	0.011045258172933019	0.11699829815029446	0.9203656315803528	development_hierarchical_weight
bdt	0.011854360131250062	0.12243382384111748	0.9183448553085327	development_hierarchical_weight
bdt	0.01204997167904718	0.12773675000037862	0.9161431789398193	development_hierarchical_weight
bdt	0.01216921524766537	0.13349010769671799	0.9144030213356018	development_hierarchical_weight
bdt	0.01243521610038618	0.1384012146972654	0.9129163026809692	development_hierarchical_weight
bdt	0.012816428449694113	0.14333583555970786	0.9113381505012512	development_hierarchical_weight
bdt	0.013194380143196774	0.14880824638340048	0.9096522331237793	development_hierarchical_weight
bdt	0.013631997896136627	0.15386918456169332	0.9080154299736023	development_hierarchical_weight
bdt	0.013991016682058098	0.1598929160133697	0.9066648483276367	development_hierarchical_weight
bdt	0.014868109864678312	0.16455389879255858	0.9051421880722046	development_hierarchical_weight
bdt	0.01543638839179926	0.16916371218387097	0.9035316109657288	development_hierarchical_weight
bdt	0.015775640574381092	0.17420659062404917	0.9017434120178223	development_hierarchical_weight
bdt	0.016376554726522063	0.17868842297231494	0.9000229239463806	development_hierarchical_weight
bdt	0.016769895335644606	0.18349068810613042	0.8984186053276062	development_hierarchical_weight
bdt	0.01797095593218198	0.18849148592957043	0.8967265486717224	development_hierarchical_weight
bdt	0.018113833181968835	0.19444587858040638	0.8944888114929199	development_hierarchical_weight
bdt	0.0204300013598714	0.19894039065453914	0.8929386138916016	development_hierarchical_weight
bdt	0.020710673479183744	0.20417182964724287	0.8915005922317505	development_hierarchical_weight
