role,process,normalization_key,source_status,n_generated,n_candidates,candidate_efficiency,xsec_pb_used,median_generator_xsec_pb,note,expected_produced_138fb,expected_candidates_138fb,expected_produced_350fb,expected_candidates_350fb,expected_produced_450fb,expected_candidates_450fb,expected_produced_3000fb,expected_candidates_3000fb
signal,VBF_HH_4b,VBF_HH_4b,official_signal_xsec_times_BR_Hbb_squared,10000,653,0.0653,0.0005855,0.0009718814981169,1.726 fb × BR(H→bb)^2 with BR(H→bb)=0.5824.,80.79899999999999,5.276174699999999,204.92499999999998,13.381602499999998,263.475,17.2049175,1756.5,114.69945
signal,ggF_HH_4b,ggF_HH_4b,official_signal_xsec_times_BR_Hbb_squared,10000,699,0.0699,0.010532,0.0009929699590429,31.05 fb × BR(H→bb)^2 with BR(H→bb)=0.5824.,1453.416,101.5937784,3686.2,257.66538,4739.4,331.28406,31596.0,2208.5604000000003
