role,process,normalization_key,source_status,n_generated,n_candidates,candidate_efficiency,xsec_pb_used,median_generator_xsec_pb,note,expected_produced_138fb,expected_candidates_138fb,expected_produced_350fb,expected_candidates_350fb,expected_produced_450fb,expected_candidates_450fb,expected_produced_3000fb,expected_candidates_3000fb
background,QCD_bbbb,QCD_bbbb,fiducial_generator_placeholder_not_final_CMS_recommended,50000,1898,0.03796,346.977325,346.9773254394531,LO fiducial generator cross section from current MG5 sample; use only as placeholder. CMS-style final should use data-driven/control-region normalization or official MC campaign prescription.,47882870.85,1817633.777466,121442063.75,4609940.73995,156139796.25,5927066.66565,1040931975.0,39513777.771
background,Zbbbb,Zbbbb,fiducial_generator_placeholder_not_final_CMS_recommended,50000,1551,0.03102,6.914365,6.914364814758301,LO fiducial generator cross section from current MG5 sample; use only as placeholder. Validate/correct in control region.,954182.37,29598.7371174,2420027.75,75069.260805,3111464.25,96517.621035,20743095.0,643450.8069
validation,ZH_4b,ZH_4b,validation_generator_placeholder,10000,365,0.0365,0.06882,0.0688199996948242,Validation sample only; not used as main background yield.,9497.160000000002,346.64634000000007,24087.000000000004,879.1755,30969.0,1130.3685,206460.0,7535.79
validation,ZZ_4b,ZZ_4b,validation_generator_placeholder,10000,132,0.0132,0.19298,0.1929800063371658,Validation sample only; not used as main background yield.,26631.24,351.532368,67543.0,891.5676,86841.00000000001,1146.3012,578940.0,7642.008
