mode,category,n_signal_test_rows,n_background_test_rows,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,neff_signal,neff_background
lbn_p4_only,CAT0_high_purity_diagnostic,25,303,14.185,198593.913,7.1e-05,0.031831,0.000714,11.832356,39.836563
lbn_p4_only,CAT1_tight,17,141,15.999,60430.4,0.000265,0.065084,0.002648,12.593408,61.193829
lbn_p4_only,CAT2_medium_tight,18,127,12.413,74209.514,0.000167,0.045565,0.001673,10.085008,45.514246
lbn_p4_only,CAT3_medium,15,276,10.955,156292.067,7e-05,0.02771,0.000701,8.841087,43.040755
lbn_p4_only,CAT4_loose,23,482,17.693,294911.297,6e-05,0.032581,0.0006,14.198157,56.516149
lbn_p4_plus_topology,CAT0_high_purity_diagnostic,58,348,42.44,166778.062,0.000254,0.10392,0.002545,34.243845,120.53708
lbn_p4_plus_topology,CAT1_tight,16,53,9.812,29313.451,0.000335,0.057306,0.003347,8.093246,17.259824
lbn_p4_plus_topology,CAT2_medium_tight,15,91,8.511,70184.239,0.000121,0.032126,0.001213,7.099414,11.168914
lbn_p4_plus_topology,CAT3_medium,14,141,9.654,84488.975,0.000114,0.033214,0.001143,7.843895,24.706902
lbn_p4_plus_topology,CAT4_loose,16,250,12.255,152033.082,8.1e-05,0.03143,0.000806,9.838902,43.049991
