variable	axis_label	bin_index	bin_low	bin_high	bin_label	model	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json
mHH_GeV	$m_{HH}$ [GeV]	0	0.0	400.0	[0,400)	single_head_learned	0.7730337078651686	0.7733571581660845	0.7733243567847227	0.006668237731997804	0.7668290552355522	0.7800236493015466	0.7600995855639499	0.7868771899316332	1000	0	{}
mHH_GeV	$m_{HH}$ [GeV]	0	0.0	400.0	[0,400)	frozen_geometric	0.7421348314606742	0.7420671974937936	0.7421951518559264	0.006211551799562966	0.7358153261157099	0.748211961810607	0.7303900313085404	0.7548279684603048	1000	0	{}
mHH_GeV	$m_{HH}$ [GeV]	1	400.0	600.0	[400,600)	single_head_learned	0.954954954954955	0.954896126844207	0.95494599967761	0.005184732894022162	0.9497585811582168	0.960026873155157	0.9448266343018966	0.9646053697315133	1000	0	{}
mHH_GeV	$m_{HH}$ [GeV]	1	400.0	600.0	[400,600)	frozen_geometric	0.9598059598059598	0.9597542306311193	0.9596572379571333	0.004894432969999532	0.9548202349000705	0.9647894952654315	0.9499222620427954	0.9687732485993664	1000	0	{}
mHH_GeV	$m_{HH}$ [GeV]	2	600.0	800.0	[600,800)	single_head_learned	0.9936575052854123	0.9935480458409002	0.9937238493723849	0.003658305427389567	0.9896694214876033	0.9977981313840345	0.9852297159289419	1.0	1000	0	{}
mHH_GeV	$m_{HH}$ [GeV]	2	600.0	800.0	[600,800)	frozen_geometric	0.9915433403805497	0.9913018598278902	0.9915611814345991	0.004240833157722304	0.9870967741935484	0.9957356076759062	0.9826202851202852	0.9979633401221996	1000	0	{}
mHH_GeV	$m_{HH}$ [GeV]	3	800.0	1200.0	[800,1200)	single_head_learned	0.9922480620155039	0.9922181262455058	0.9923664122137404	0.00541744680790988	0.9875950756146908	0.996268656716418	0.9802371541501976	1.0	1000	0	{}
mHH_GeV	$m_{HH}$ [GeV]	3	800.0	1200.0	[800,1200)	frozen_geometric	0.9922480620155039	0.9922181262455058	0.9923664122137404	0.00541744680790988	0.9875950756146908	0.996268656716418	0.9802371541501976	1.0	1000	0	{}
mHH_GeV	$m_{HH}$ [GeV]	4	1200.0	inf	>=1200	single_head_learned	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1000	0	{}
mHH_GeV	$m_{HH}$ [GeV]	4	1200.0	inf	>=1200	frozen_geometric	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1000	0	{}
