model	metric	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_format	bootstrap_unit
bdt	weighted_auc	0.7714696516085886	0.7712363032377111	0.7709832430327013	0.0096098470825415	0.7618945704679284	0.7812193726191982	0.7517410863712438	0.7900317140734535	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	unweighted_auc	0.802486262349921	0.8006535737877664	0.8013685608021138	0.019744185142352662	0.7806795218658832	0.8207968703824683	0.7614552647895508	0.8378952647158668	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	signal_efficiency	0.6155942408809069	0.6158155152120816	0.6159405556369948	0.005656859584358409	0.609926126577743	0.6216842540761407	0.6047539859683054	0.6263153052596586	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	background_efficiency	0.21109328534933328	0.21163933207804644	0.21166230006669884	0.019012017445465153	0.1927169293821752	0.2301577114559973	0.17716081857257382	0.24937102992680235	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	background_rejection	0.7889067146506668	0.7883606679219536	0.7883376999333012	0.019012017445465153	0.7698422885440027	0.8072830706178248	0.7506289700731976	0.8228391814274262	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	selected_signal_yield	48.09464502913838	48.09924142905068	48.09048571055938	0.7383303207657385	47.39854239652261	48.854661334201836	46.67422769244388	49.504090800501935	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	selected_background_yield	572656.5629465745	576462.0342281384	566697.7196195757	107651.84749809992	468811.43014060816	681766.0024485774	385981.5085591165	803557.9082242335	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	signal_over_background	8.398514596893798e-05	8.643670678403078e-05	8.49478398557457e-05	1.664122702339132e-05	7.032846450038954e-05	0.0001021808474836129	6.004888240716612e-05	0.00012601298633939473	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	signal_over_sqrt_background	0.06355498236249023	0.06419082882790406	0.06369932000508811	0.006155192076537642	0.058132287741141285	0.07027609264475679	0.053584399386014954	0.07814784552417224	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	background_effective_events	28.11643505960061	29.22484536922692	28.675118475946025	5.034902493808271	24.426055907107898	34.13828896376661	20.976464937793736	40.57272071257485	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	signal_effective_events	3702.74308350732	3703.213832822447	3702.032774008605	53.95731283137959	3650.8030674997235	3756.960997507303	3599.190997648593	3807.38918939744	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	nominal_asimov_ZA	0.0635540927813342	0.06418988716040389	0.06369841500355196	0.006154918061544391	0.05813163014270017	0.07027486739618811	0.05358386617160889	0.07814619599156145	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	systematic_aware_asimov_ZA	3.713309954838485e-05	3.873501309225888e-05	3.7762369760236686e-05	8.813149858524668e-06	3.0256697263772876e-05	4.714620447532851e-05	2.5371631905160384e-05	5.974012648688873e-05	865	135	"{""fewer than 3 direct-QCD source groups"":135}"	median_asymmetric_p16_p84	source_member
bdt	transferred_qcd_fraction	0.8542372564148268	0.8502450906049723	0.8527430538727612	0.02922051866486526	0.8231346984694164	0.8791104923565684	0.7844354181638714	0.8967514541836349	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	direct_qcd_closure_ratio	0.29581698487584734	37.41500609372479	0.3093740785628195	556.4337264348486	0.17920554325077542	0.6368606264678305	0.11999220915349806	3.062106599033339	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	score_domain_qcd_nonclosure	0.7041830151241526	37.62491591303033	0.7076533883844105	556.3531437982671	0.44707704945521054	0.8335888053680339	0.06840540341855757	2.062106599033339	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	weighted_auc	0.6570660539341937	0.6565622330651081	0.6568724987356633	0.016875961646709015	0.6385629780314143	0.6732096278826832	0.6258669266831309	0.689531682046208	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	unweighted_auc	0.6702794518428812	0.6696766761454074	0.6698678252824477	0.010296658548385105	0.658888707356602	0.6802950629693537	0.6497474352574392	0.6881279122471847	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	signal_efficiency	0.610666743555443	0.6107842960302234	0.6107525460242436	0.006738814910771646	0.6038192120515032	0.6177260938648946	0.5975209514234502	0.6242664022375017	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	background_efficiency	0.3818717201475048	0.3825387151453838	0.38205297767144103	0.022718767935463503	0.3591906638696576	0.40551774809981667	0.3377557627023432	0.42776141679668106	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	background_rejection	0.6181282798524952	0.6174612848546163	0.617947022328559	0.022718767935463503	0.5944822519001832	0.6408093361303424	0.5722385832033189	0.6622442372976568	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	selected_signal_yield	48.018631576956594	47.995400140625826	47.97567560444887	0.7572321160722226	47.25165357285728	48.77440232765448	46.621534525369746	49.56667883389589	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	selected_background_yield	1203760.220136993	1199673.8560446773	1190793.1194126885	160829.53746845905	1039734.240636295	1369428.392212117	910885.5736428217	1522890.2164914848	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	signal_over_background	3.9890528673137134e-05	4.075009472138568e-05	4.015637518673365e-05	5.684426064482583e-06	3.50034995782196e-05	4.6534673543573954e-05	3.1426851402479585e-05	5.275125629535789e-05	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	signal_over_sqrt_background	0.04376629524834602	0.04412223650791235	0.04390272671698915	0.003121913423423637	0.040980924659371545	0.04740811603047904	0.038691713344388465	0.05040081895303131	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	background_effective_events	57.85986808747634	58.391579763217194	58.388267151219694	7.804872258874556	50.47453267427131	65.94384710693039	44.22338658677186	74.4844863310861	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	signal_effective_events	3690.603290458376	3689.3033720505664	3686.7611558859935	55.01652084276346	3634.3678772626176	3744.8191008635363	3588.4509332773982	3797.5390537542316	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	nominal_asimov_ZA	0.043766004276502825	0.04412193391670013	0.043902439215327424	0.003121849410969246	0.040980683841327345	0.0474077463334072	0.038691510302094605	0.05040037997778952	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	systematic_aware_asimov_ZA	1.66873241122834e-05	1.7171106195797506e-05	1.6922711394848782e-05	2.7065370820603938e-06	1.4480284466491612e-05	1.9887460562918564e-05	1.2849797569903642e-05	2.2821102025170265e-05	1000	0	{}	median_asymmetric_p16_p84	source_member
