outer_fold	role	path	bytes	sha256	seed
0	single_head_assignment_state_dict	models/outer_fold_0_assignment_state.pt	463630	d193f6911ab82c3c3f50f08821416155bfdc5a0bdfb213e35cd74e4a9ea85ca7	20260902
0	outer_train_jet_normalizer	models/outer_fold_0_normalizer.npz	544	55fba54027c450472c6c22ff362e89f9c224f1a1f0f71581f9a7ef8a4f52dd6f	20260902
0	logically_distinct_downstream_xgboost	models/outer_fold_0_downstream_xgboost.json	1256089	db7963416be2c5328afa6c17e7e1d60373d3bbe02178c3776b6a606c40ecc8dc	20260902
1	single_head_assignment_state_dict	models/outer_fold_1_assignment_state.pt	463630	186d5c0b61373bcb2f12485033480ca23998dcf104bf706fd55d51e467caf737	20261002
1	outer_train_jet_normalizer	models/outer_fold_1_normalizer.npz	544	49ee8d9d76ca939bc4ee3c89e951cf98e499be296a607c7e92649de6fda7f1f2	20261002
1	logically_distinct_downstream_xgboost	models/outer_fold_1_downstream_xgboost.json	1252322	effdcff205cabb8f5392c616f8b424114979975925536381486bc1aab80ce588	20261002
2	single_head_assignment_state_dict	models/outer_fold_2_assignment_state.pt	463630	7ac5c49bd5443a318bab230559f1dc7470a92df28a601ec31d3eb70e50bd0c18	20261102
2	outer_train_jet_normalizer	models/outer_fold_2_normalizer.npz	544	4cc11453d056487ecc10bdbc2654a27b24a10bd8881393c8feb5cc8290a3e79a	20261102
2	logically_distinct_downstream_xgboost	models/outer_fold_2_downstream_xgboost.json	1220491	d98b7b5bcba917d1092b6a8fcd37e29c7ceaedc90b2b76714a5069f6ed9c872b	20261102
3	single_head_assignment_state_dict	models/outer_fold_3_assignment_state.pt	463630	cfb77b674402358ae47be33b648b2e45a2f3a7b7f2fdaec7e4c21bc644128435	20261202
3	outer_train_jet_normalizer	models/outer_fold_3_normalizer.npz	544	f3157eff61e6cf34d0d1ecf24173493b015f4a2faf7402729754f748a4ce2b27	20261202
3	logically_distinct_downstream_xgboost	models/outer_fold_3_downstream_xgboost.json	1298280	76b16a6e553dc07f56e0d421daa0622a028ceaf1d13a72cb99c25d7800de3e26	20261202
4	single_head_assignment_state_dict	models/outer_fold_4_assignment_state.pt	463630	00f3a25282bb4fed14f9303862d9a75ebf729cb8bee54ad6b998118646c0b893	20261302
4	outer_train_jet_normalizer	models/outer_fold_4_normalizer.npz	544	71d18ac998e9996eb1c5c12c0b927e1220cc26a39ed554da8c4ae6e7403bca0f	20261302
4	logically_distinct_downstream_xgboost	models/outer_fold_4_downstream_xgboost.json	1251198	14985775b8d110cf6051d56a612625da4e8638a081e9cec7d0446eff270d9c31	20261302
