scope	outer_fold	inner_fold	seed	assignment_training_seconds	downstream_training_seconds	fit_rows	assignment_fit_rows	held_rows
inner	0	1	20260804	7.141980512009468	2.8170188879594207	18209	3384	5563
inner	0	2	20260805	6.276166758965701	2.781219346972648	17596	3056	6176
inner	0	3	20260806	7.215863673016429	2.7982589630410075	17763	3418	6009
inner	0	4	20260807	7.307781200041063	2.753350104030688	17748	3405	6024
outer_final	0	-1	20260902	10.204883539990988	3.309157205047086	23772	4421	6933
inner	1	0	20260903	7.440687610011082	2.71450087800622	18209	3384	6933
inner	1	2	20260905	7.2215029440121725	2.8729195919586346	18966	3367	6176
inner	1	3	20260906	7.6719038389856	2.863013171008788	19133	3729	6009
inner	1	4	20260907	7.808762790984474	2.77365423401352	19118	3716	6024
outer_final	1	-1	20261002	10.333870364003817	3.065783597005065	25142	4732	5563
inner	2	0	20261003	6.041617718001362	2.645442454959266	17596	3056	6933
inner	2	1	20261004	6.646297778002918	2.5332458399934694	18966	3367	5563
inner	2	3	20261006	7.418521747982595	2.819988448987715	18520	3401	6009
inner	2	4	20261007	7.369013861985877	2.7537979600019757	18505	3388	6024
outer_final	2	-1	20261102	9.085204964969307	3.378909204970114	24529	4404	6176
inner	3	0	20261103	7.222254080988932	2.7316127830417827	17763	3418	6933
inner	3	1	20261104	7.685979406000115	2.771470848005265	19133	3729	5563
inner	3	2	20261105	6.933883138990495	2.9737349349888973	18520	3401	6176
inner	3	4	20261107	8.248388173989952	2.792074772005435	18672	3750	6024
outer_final	3	-1	20261202	10.446224990999326	3.2124816300347447	24696	4766	6009
inner	4	0	20261203	7.370044084032997	2.8208447670331225	17748	3405	6933
inner	4	1	20261204	8.084417278994806	2.83582799899159	19118	3716	5563
inner	4	2	20261205	7.385748805012554	3.152171049965545	18505	3388	6176
inner	4	3	20261206	7.839241103036329	2.874686402035877	18672	3750	6009
outer_final	4	-1	20261302	10.556041250994896	3.3044506210135296	24681	4753	6024
