comparison	model	reference_model	metric	nominal_difference	bootstrap_median_difference	bootstrap_p16_difference	bootstrap_p84_difference	bootstrap_p2p5_difference	bootstrap_p97p5_difference	valid_replicas	invalid_replicas	fraction_valid_difference_greater_than_zero	interval_includes_zero_68	interval_includes_zero_95
single_head_minus_bdt	single_head	bdt	weighted_auc	-0.1144035976743949	-0.11456857352358873	-0.1267620070701545	-0.10235426048980557	-0.13822406974644608	-0.09130929171252383	1000	0	0.0	False	False
single_head_minus_bdt	single_head	bdt	unweighted_auc	-0.13220681050703986	-0.13155770377545073	-0.14364343950761368	-0.11776471747293087	-0.15432982571424642	-0.10601625942471231	1000	0	0.0	False	False
single_head_minus_bdt	single_head	bdt	signal_efficiency	-0.0049274973254638255	-0.00501070264415826	-0.010609996465157399	0.0008320028286601831	-0.015513199449421514	0.005867079425754119	1000	0	0.193	True	True
single_head_minus_bdt	single_head	bdt	background_efficiency	0.17077843479817154	0.17056802167567958	0.1487564435193163	0.19246295181572787	0.13036789234354382	0.2172162343336629	1000	0	1.0	False	False
single_head_minus_bdt	single_head	bdt	background_rejection	-0.17077843479817156	-0.17056802167567958	-0.19246295181572784	-0.14875644351931627	-0.21721623433366286	-0.13036789234354387	1000	0	0.0	False	False
single_head_minus_bdt	single_head	bdt	selected_signal_yield	-0.07601345218178324	-0.09035660136346735	-0.6363815496442291	0.42668032425590807	-1.1117548932175398	0.8541873489157596	1000	0	0.435	True	True
single_head_minus_bdt	single_head	bdt	selected_background_yield	631103.6571904186	619471.5364339299	475653.0396601536	781155.2248117715	306910.3096920826	926119.7978302961	1000	0	1.0	False	False
single_head_minus_bdt	single_head	bdt	signal_over_background	-4.409461729580084e-05	-4.4102179867876716e-05	-6.066369658930039e-05	-3.087514368913374e-05	-8.050352925022207e-05	-2.039056927138338e-05	1000	0	0.0	False	False
single_head_minus_bdt	single_head	bdt	signal_over_sqrt_background	-0.019788687114144207	-0.019643119259840004	-0.02560886091519186	-0.014257066483144813	-0.03244536757233114	-0.009769720442736482	1000	0	0.0	False	False
single_head_minus_bdt	single_head	bdt	background_effective_events	29.74343302787573	29.11651358528826	22.55020243038623	35.69740504203303	16.52104930194305	43.26611319724476	1000	0	0.999	False	False
single_head_minus_bdt	single_head	bdt	signal_effective_events	-12.139793048944284	-12.887740268896323	-51.86011153573001	21.519393987070774	-85.73169387102755	55.19667787262618	1000	0	0.353	True	True
single_head_minus_bdt	single_head	bdt	nominal_asimov_ZA	-0.019788088504831373	-0.019642449756092233	-0.02560809795980811	-0.014256727583795245	-0.03244425729554056	-0.009769481890142274	1000	0	0.0	False	False
single_head_minus_bdt	single_head	bdt	systematic_aware_asimov_ZA	-2.0445775436101447e-05	-2.0497761131707534e-05	-2.9429753976271038e-05	-1.3966162753544369e-05	-4.02866078014353e-05	-8.682976591683692e-06	865	135	0.0	False	False
single_head_minus_bdt	single_head	bdt	transferred_qcd_fraction	0.042517867472506965	0.04145309483607318	0.017743016303121938	0.07059932357487977	-0.002552580249607061	0.10520860245850028	1000	0	0.967	False	True
single_head_minus_bdt	single_head	bdt	direct_qcd_closure_ratio	-0.06928086337148576	-0.06519161099221744	-0.3228855804240009	0.08511798246145307	-2.60430397928495	0.3601046857850154	1000	0	0.345	True	True
single_head_minus_bdt	single_head	bdt	score_domain_qcd_nonclosure	0.06928086337148587	0.04554468000041356	-0.11863885587940437	0.25401089607300836	-1.4083859080800123	0.653681620762373	1000	0	0.619	True	True
