category,S_mean,B_mean,S_over_B_mean,S_over_sqrtB_mean,S_over_sqrtB_std,median_signal_rows,median_background_rows,median_neff_background,combined_category_Z_mean,combined_category_Z_std
CAT0_very_high_QCD_high_top,44.58402737612648,70146.61034702613,0.0006473180712754198,0.16933947705178082,0.02355939700178904,70.5,58.0,27.236186048245457,,
CAT1_high_QCD_medium_top,29.055624963447126,106981.04123653166,0.00028137187617178436,0.08996761821975588,0.01597017624436392,45.0,97.0,47.870261078702626,,
CAT2_nominal_loose_mid,24.044876592447597,117019.86432002582,0.00020958409789137303,0.07079020116288522,0.012297328458821968,35.5,116.0,63.95761312190284,,
CAT3_lower_QCD_medium_top,20.539588367320555,132612.232095392,0.00015743586718038602,0.05673328894469052,0.015353954882573405,30.0,132.5,67.01606346462279,,
CAT4_loose_low_purity,18.413244916226876,119237.12476335256,0.00015680192834550396,0.05358190631394385,0.014355440816970273,22.5,107.5,42.75086719260841,,
INCLUSIVE_union_of_categories,136.63736221556866,545996.8727623282,0.0002519388929844482,0.18539202063528962,0.012857116772178913,201.5,505.5,223.99954176307318,0.22099017885501296,0.019662753722404797
