seed,qcd_weighted_auc,top_weighted_auc
0,0.8438303326538872,0.7977632177790025
1,0.8367483283137443,0.7579306923628782
2,0.8583219242896425,0.782242859176238
3,0.836230161123378,0.7966706211605552
4,0.8329128297109198,0.8009780099728161
5,0.834889489273539,0.7993004734632635
6,0.8337436434986163,0.7822171431382627
7,0.828993300123417,0.7743483538152326
8,0.8351684201945406,0.8136094954059108
9,0.8307239981713503,0.80959051824799
10,0.8137209571612913,0.7631955586201576
11,0.8380773180605798,0.8008126043148927
12,0.8476625572134975,0.7814951847537851
13,0.8251000206428327,0.7922896419422133
14,0.8137601606853448,0.7749529620310336
15,0.8027298436137306,0.8070423510084236
16,0.8270790264584142,0.7708554045294334
17,0.8392190727215593,0.808473280631286
18,0.8257378901919494,0.7658126306660877
19,0.8484050416535971,0.7956009500555487
