canary_class	source_uid	sample_class	process_or_mode	generated_events	canary_status	canary_error	root_resolution_mode	root_resolution_chain	tree_entries	rich_jet_schema	signal_truth_schema	all_events	at_least_4j	at_least_4j_1b	at_least_4j_2b	at_least_4j_3b	at_least_4j_4b	truth_events	events_with_at_least_two_higgs	events_with_at_least_four_b
ordinary_background_bundle	c660746595f512710f2aca2a::background::321::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9923_1500_bundle.tar.gz	background	zzz_zbb	1500	pass		tar_member	zzz_zbb_run2_frozen_v2_train_shard9923_1500_bundle.tar.gz::root/zzz_zbb_run2_frozen_v2_train_shard9923_1500_delphes.root	1500	True	False	1500	704	564	257	59	15	0	0	0
hard_qcd_bundle	256666d525d1d35b7272b519::background::216::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin02_pthat100to200_shard9818_seed1229818_bundle.tar.gz	background	qcd_hardqcd	1052	pass		tar_member	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin02_pthat100to200_shard9818_seed1229818_bundle.tar.gz::root/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin02_pthat100to200_shard9818_seed1229818_delphes.root	1052	True	False	1052	167	28	3	0	0	0	0	0
qcd_bbbb_general_bundle	331e1d9ade0b6f4ee6de7411::background::359::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	background	qcd_bbbb_general	10000	pass		tar_member	qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz::root/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_delphes.root	10000	True	False	10000	2915	2855	2383	1367	395	0	0	0
qcd_bbbb_iht400to600_bundle	0f1d84b89957afb5ad1b5c6d::background::367::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	background	qcd_bbbb_iht400to600	10000	pass		tar_member	qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz::root/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	10000	True	False	10000	7994	7873	6965	4430	1490	0	0	0
direct_ttbar_root	7f85bc41fcf2f1234d2e9cdd::background::338::event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard011_event_summary.parquet	background	ttbar_inclusive	10000	pass		direct_root	/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_200k_shard011_pythia8_delphes.root	10000	True	False	10000	6567	5598	2665	450	34	0	0	0
ggf_signal_bundle	b79f897061f17eef98bf9b4a::signal::71::ggf_shard_071	signal	ggf_hh4b	1000	pass		nested_tar_member	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard071_seed86071_bundle.tar.gz::products/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard071_seed86071_reconstruction.tar.gz::root/HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851677_shard_16071_1000_pythia8_delphes.root	1000	True	True	1000	549	533	427	208	52	1000	1000	1000
vbf_signal_bundle	4e26b2a32ca02ef1e27285e1::signal::108::vbf_hh4b_sm_run2_frozen_v2_train_shard9408_10k	signal	vbf_hh4b	10000	pass		tar_member	vbf_hh4b_sm_run2_frozen_v2_train_shard9408_10k_bundle.tar.gz::root/vbf_hh4b_sm_run2_frozen_v2_train_shard9408_10k_delphes.root	10000	True	True	10000	6331	6109	4861	2481	617	10000	10000	10000
