canary_class	source_uid	process_or_mode	all_events	at_least_4j	at_least_4j_1b	at_least_4j_2b	at_least_4j_3b	at_least_4j_4b
ordinary_background_bundle	c660746595f512710f2aca2a::background::321::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9923_1500_bundle.tar.gz	zzz_zbb	1500	704	564	257	59	15
hard_qcd_bundle	256666d525d1d35b7272b519::background::216::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin02_pthat100to200_shard9818_seed1229818_bundle.tar.gz	qcd_hardqcd	1052	167	28	3	0	0
qcd_bbbb_general_bundle	331e1d9ade0b6f4ee6de7411::background::359::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	qcd_bbbb_general	10000	2915	2855	2383	1367	395
qcd_bbbb_iht400to600_bundle	0f1d84b89957afb5ad1b5c6d::background::367::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	qcd_bbbb_iht400to600	10000	7994	7873	6965	4430	1490
direct_ttbar_root	7f85bc41fcf2f1234d2e9cdd::background::338::event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard011_event_summary.parquet	ttbar_inclusive	10000	6567	5598	2665	450	34
ggf_signal_bundle	b79f897061f17eef98bf9b4a::signal::71::ggf_shard_071	ggf_hh4b	1000	549	533	427	208	52
vbf_signal_bundle	4e26b2a32ca02ef1e27285e1::signal::108::vbf_hh4b_sm_run2_frozen_v2_train_shard9408_10k	vbf_hh4b	10000	6331	6109	4861	2481	617
