point_id	jet_pt_min_GeV	jet_abs_eta_max	rhh_sr_max	selected_signal	selected_background	unweighted_signal_efficiency	unweighted_background_efficiency	ggf_signal_efficiency	vbf_signal_efficiency	balanced_signal_efficiency	family_balanced_background_efficiency	background_family_efficiency_std	minimum_background_family_efficiency	maximum_background_family_efficiency	raw_count_proxy_s_over_sqrt_b	balanced_proxy_s_over_sqrt_b	balanced_proxy_s_over_b	eligible_for_ranking	pareto_frontier	fraction_of_best_proxy	near_optimal_plateau
pt30_eta2p5_rhh34	30.0	2.5	34.0	6136	11042	0.6151378446115289	0.23319465270004858	0.6382587369711833	0.5928768201495475	0.6155677785603654	0.2444506323585033	0.07903214399430473	0.125	0.4084609773887673	58.393092961073634	1.245031376543508	2.518168075988422	True	True	1.0	True
pt30_eta2p5_rhh35p5	30.0	2.5	35.5	6367	11805	0.6382957393483709	0.24930835674008997	0.6633966891477621	0.6141282959464778	0.6387624925471199	0.2638277099679978	0.08369062119472302	0.125	0.43544857768052514	58.60057186110145	1.2435956750962793	2.4211349619969846	True	True	0.998846855208409	True
pt30p5_eta2p5_rhh34	30.5	2.5	34.0	5972	10669	0.5986967418546366	0.22531731114443201	0.618638871857756	0.5794962613144431	0.5990675665860996	0.23260547661625094	0.08032321433572098	0.1215463638821303	0.3916849015317287	57.81731793552084	1.2421265354652309	2.5754663015713612	True	True	0.997666853114705	True
pt30p5_eta2p5_rhh35p5	30.5	2.5	35.5	6196	11403	0.6211528822055138	0.24081856771768284	0.6429593296546087	0.6001574183392365	0.6215583739969226	0.2510296272789737	0.086489539073506	0.125	0.4164843180160467	58.02322275324148	1.2405647343332067	2.4760359194820207	True	True	0.9964124259882496	True
pt30_eta2p5_rhh33p5	30.0	2.5	33.5	6045	10769	0.606015037593985	0.2274291989609512	0.6302881667688535	0.5826446280991735	0.6064663974340134	0.239362497222121	0.07883241687346597	0.10714285714285714	0.40408460977388766	58.251701678531326	1.2395917846257085	2.533673421994889	True	True	0.9956309599739559	True
pt30_eta2p5_rhh35	30.0	2.5	35.0	6293	11555	0.6308771929824561	0.244028637198792	0.6546086245657061	0.6080283353010626	0.6313184799333844	0.25976345888921865	0.08203355803168484	0.125	0.424507658643326	58.54270115112642	1.2386809910441259	2.43035907603395	True	True	0.9948994173006208	True
pt30p5_eta2p5_rhh33p5	30.5	2.5	33.5	5883	10406	0.5897744360902256	0.21976304618698655	0.6108726752503576	0.5694608421881149	0.5901667587192363	0.22761483244964376	0.07984602172704497	0.10714285714285714	0.387308533916849	57.67092770507529	1.237013571730504	2.59283084660048	True	True	0.9935601584312973	True
pt30p5_eta2p5_rhh35	30.5	2.5	35.0	6124	11163	0.6139348370927318	0.23575003695803678	0.6341712650725526	0.5944510035419126	0.6143111343072326	0.2471029978300954	0.0848264543582839	0.125	0.40700218818380746	57.96218112323391	1.2358033831036979	2.486052940278873	True	False	0.9925881438703745	True
pt30_eta2p5_rhh36	30.0	2.5	36.0	6422	12064	0.6438095238095238	0.25477814618487465	0.6693235234007766	0.6192443919716647	0.6442839576862207	0.2721981395096051	0.08411990730069237	0.125	0.4427425237053246	58.468861444538916	1.2349083909083174	2.3669667942880475	True	True	0.9918692927536539	True
pt30_eta2p45_rhh34	30.0	2.45	34.0	6027	10905	0.6042105263157894	0.2303013663914173	0.6302881667688535	0.5791027154663518	0.6046954411176027	0.23992665883654948	0.0792131230702005	0.12300621789672884	0.4026258205689278	57.71495435312666	1.2345180419119635	2.5203345224323432	True	False	0.9915557673247305	True
pt30_eta2p5_rhh31p5	30.0	2.5	31.5	5709	9790	0.5723308270676691	0.20675381723722835	0.5959534028203556	0.5495867768595041	0.5727700898399298	0.21552674479510053	0.07373905250941012	0.10714285714285714	0.37199124726477023	57.69905457523897	1.233757330665326	2.657536030549051	True	True	0.9909447696736116	True
pt30_eta2p45_rhh35p5	30.0	2.45	35.5	6257	11657	0.6272681704260652	0.24618276277164158	0.6552217453505007	0.6003541912632822	0.6277879683068914	0.2591747650818936	0.08437585753250215	0.125	0.42815463165572576	57.952577543089426	1.2331520559067235	2.422257306217772	True	True	0.9904586174608996	True
pt30_eta2p5_rhh34p5	30.0	2.5	34.5	6216	11304	0.6231578947368421	0.23872779877932884	0.6468424279583078	0.6003541912632822	0.623598309610795	0.2557802283729416	0.08112799422806803	0.125	0.41867250182348653	58.4648623310492	1.2330237556816117	2.4380238987884333	True	True	0.9903555676683168	True
