working_point	point_id	jet_pt_min_GeV	jet_abs_eta_max	rhh_sr_max	selected_signal	selected_background	unweighted_signal_efficiency	unweighted_background_efficiency	ggf_signal_efficiency	vbf_signal_efficiency	balanced_signal_efficiency	family_balanced_background_efficiency	background_family_efficiency_std	minimum_background_family_efficiency	maximum_background_family_efficiency	raw_count_proxy_s_over_sqrt_b	balanced_proxy_s_over_sqrt_b	balanced_proxy_s_over_b	eligible_for_ranking	pareto_frontier	fraction_of_best_proxy	near_optimal_plateau
reference	pt40_eta2p4_rhh30	40.0	2.4	30.0	2942	4225	0.294937343358396	0.08922726024793563	0.2971592070304517	0.29279811097992914	0.2949786590051904	0.09778150005968853	0.039019444764635154	0.04054054054054054	0.1804757998359311	45.261538461538464	0.9433269656545945	3.01671235177541	True			
coarse_proxy_optimum	pt30_eta2p5_rhh34	30.0	2.5	34.0	6136	11042	0.6151378446115289	0.23319465270004858	0.6382587369711833	0.5928768201495475	0.6155677785603654	0.2444506323585033	0.07903214399430473	0.125	0.4084609773887673	58.393092961073634	1.245031376543508	2.518168075988422	True			
fine_proxy_optimum	pt30_eta2p5_rhh34	30.0	2.5	34.0	6136	11042	0.6151378446115289	0.23319465270004858	0.6382587369711833	0.5928768201495475	0.6155677785603654	0.2444506323585033	0.07903214399430473	0.125	0.4084609773887673	58.393092961073634	1.245031376543508	2.518168075988422	True	True	1.0	True
