category_id	inner_held_out_fold	category_family_id	structure_id	continuous_variables	thresholds_json	training_signal_efficiency	training_background_efficiency	held_out_signal_efficiency	held_out_background_efficiency	held_out_selected_signal_rows	held_out_selected_background_rows	optimizer_audit_json	elapsed_seconds_first_run
exact3tag	1	exact3tag::radial_mass__category__mass_only	radial_mass__category__mass_only	r_hh_125_125	"{""r_hh_125_125"":33.87994548768553}"	0.5859993702067783	0.3752516167279081	0.5976330183867324	0.38144098876300275	497	1003	"{""beam_width_used"":8,""coarse_candidates"":8,""coordinate_passes_completed"":2,""grid_sizes"":{""r_hh_125_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.27109861373901367
exact3tag	1	exact3tag::symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular_mass__category__plus_h2_pt	max_abs_mbb_minus_125,h2_pt	"{""h2_pt"":1.2189957956696031,""max_abs_mbb_minus_125"":30.678458922312533}"	0.5860078640494536	0.3738001475295766	0.5867994480312001	0.389553960256411	488	995	"{""beam_width_used"":16,""coarse_candidates"":64,""coordinate_passes_completed"":2,""grid_sizes"":{""h2_pt"":8,""max_abs_mbb_minus_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.4827394485473633
exact3tag	1	exact3tag::asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb1_minus_125,abs_mbb2_minus_125,ht_candidate_jets	"{""abs_mbb1_minus_125"":35.29154887975461,""abs_mbb2_minus_125"":35.09287456781032,""ht_candidate_jets"":207.8255043029785}"	0.5859707581206876	0.37242029208998134	0.5958447870969485	0.3607149145412198	495	1023	"{""beam_width_used"":16,""coarse_candidates"":512,""coordinate_passes_completed"":2,""grid_sizes"":{""abs_mbb1_minus_125"":8,""abs_mbb2_minus_125"":8,""ht_candidate_jets"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	1.1264023780822754
exact3tag	2	exact3tag::radial_mass__category__mass_only	radial_mass__category__mass_only	r_hh_125_125	"{""r_hh_125_125"":33.72263301621597}"	0.5862466117352161	0.37197053849362516	0.5857913225956064	0.37576377890045387	488	1010	"{""beam_width_used"":8,""coarse_candidates"":8,""coordinate_passes_completed"":2,""grid_sizes"":{""r_hh_125_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.272205114364624
exact3tag	2	exact3tag::symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular_mass__category__plus_h2_pt	max_abs_mbb_minus_125,h2_pt	"{""h2_pt"":1.8406657943106222,""max_abs_mbb_minus_125"":30.64056234779463}"	0.5860093984733962	0.3802543031477724	0.5806341711547118	0.3732047829957543	484	1003	"{""beam_width_used"":16,""coarse_candidates"":64,""coordinate_passes_completed"":2,""grid_sizes"":{""h2_pt"":8,""max_abs_mbb_minus_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.4806327819824219
exact3tag	2	exact3tag::asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb1_minus_125,abs_mbb2_minus_125,ht_candidate_jets	"{""abs_mbb1_minus_125"":21.45081320785147,""abs_mbb2_minus_125"":711.7937275383631,""ht_candidate_jets"":208.26708984374997}"	0.5860660345972856	0.3530209662308872	0.5620784665629174	0.3674362792457369	468	1027	"{""beam_width_used"":16,""coarse_candidates"":512,""coordinate_passes_completed"":2,""grid_sizes"":{""abs_mbb1_minus_125"":8,""abs_mbb2_minus_125"":8,""ht_candidate_jets"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	1.0919945240020752
exact3tag	3	exact3tag::radial_mass__category__mass_only	radial_mass__category__mass_only	r_hh_125_125	"{""r_hh_125_125"":33.79209146333242}"	0.5862128426384702	0.38063302069158644	0.5882528713080247	0.3532832201475523	791	980	"{""beam_width_used"":8,""coarse_candidates"":8,""coordinate_passes_completed"":2,""grid_sizes"":{""r_hh_125_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.25731754302978516
exact3tag	3	exact3tag::symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular_mass__category__plus_h2_pt	max_abs_mbb_minus_125,h2_pt	"{""h2_pt"":1.8406657943106222,""max_abs_mbb_minus_125"":30.769914261734602}"	0.5861731136359973	0.3838306147001033	0.5898572587020637	0.36338696156385997	793	988	"{""beam_width_used"":16,""coarse_candidates"":64,""coordinate_passes_completed"":2,""grid_sizes"":{""h2_pt"":8,""max_abs_mbb_minus_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.46663856506347656
exact3tag	3	exact3tag::asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb1_minus_125,abs_mbb2_minus_125,ht_candidate_jets	"{""abs_mbb1_minus_125"":21.946024276658367,""abs_mbb2_minus_125"":711.7937275383631,""ht_candidate_jets"":207.50440168380734}"	0.5861406739881792	0.3637494899835647	0.6004336747256871	0.3766510267138493	807	1017	"{""beam_width_used"":16,""coarse_candidates"":512,""coordinate_passes_completed"":2,""grid_sizes"":{""abs_mbb1_minus_125"":8,""abs_mbb2_minus_125"":8,""ht_candidate_jets"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	1.0814824104309082
exact3tag	4	exact3tag::radial_mass__category__mass_only	radial_mass__category__mass_only	r_hh_125_125	"{""r_hh_125_125"":33.49547914464078}"	0.5862077356109743	0.3633911297135387	0.5751603100565131	0.3792158064585189	736	936	"{""beam_width_used"":8,""coarse_candidates"":8,""coordinate_passes_completed"":2,""grid_sizes"":{""r_hh_125_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.26823878288269043
