feature	gain	variant	outer_fold
n_selected_jets	437.16156005859375	global_mass_plane_blind	0
n_selected_bjets	5154.359375	global_mass_plane_blind	0
ht_selected_jets	252.8301544189453	global_mass_plane_blind	0
ht_selected_bjets	840.388427734375	global_mass_plane_blind	0
ht_candidate_jets	245.04502868652344	global_mass_plane_blind	0
mhh	205.3580474853516	global_mass_plane_blind	0
hh_pt	229.8057403564453	global_mass_plane_blind	0
abs_hh_eta	44.04985046386719	global_mass_plane_blind	0
h1_pt	62.78857803344727	global_mass_plane_blind	0
abs_h1_eta	30.569196701049805	global_mass_plane_blind	0
h2_pt	59.28652572631836	global_mass_plane_blind	0
abs_h2_eta	48.1264762878418	global_mass_plane_blind	0
abs_h_delta_eta	169.26858520507812	global_mass_plane_blind	0
abs_h_delta_phi	96.24230194091795	global_mass_plane_blind	0
h_delta_r	76.69415283203125	global_mass_plane_blind	0
h_pt_balance	37.67122650146485	global_mass_plane_blind	0
drbb1	124.559814453125	global_mass_plane_blind	0
drbb2	88.8441162109375	global_mass_plane_blind	0
j1_pt	57.355567932128906	global_mass_plane_blind	0
abs_j1_eta	37.600341796875	global_mass_plane_blind	0
j1_mass	92.66531372070312	global_mass_plane_blind	0
j2_pt	52.18951797485352	global_mass_plane_blind	0
abs_j2_eta	33.964073181152344	global_mass_plane_blind	0
j2_mass	146.1007080078125	global_mass_plane_blind	0
j3_pt	58.187049865722656	global_mass_plane_blind	0
abs_j3_eta	44.01595687866211	global_mass_plane_blind	0
j3_mass	187.2911529541016	global_mass_plane_blind	0
j4_pt	54.839752197265625	global_mass_plane_blind	0
abs_j4_eta	37.91264724731445	global_mass_plane_blind	0
j4_mass	202.6882781982422	global_mass_plane_blind	0
n_selected_jets	437.57373046875	global_mass_plane_blind	1
n_selected_bjets	5004.44970703125	global_mass_plane_blind	1
ht_selected_jets	279.1904602050781	global_mass_plane_blind	1
ht_selected_bjets	849.4942626953125	global_mass_plane_blind	1
ht_candidate_jets	192.9365997314453	global_mass_plane_blind	1
mhh	237.1505584716797	global_mass_plane_blind	1
hh_pt	219.1735076904297	global_mass_plane_blind	1
abs_hh_eta	44.65517425537109	global_mass_plane_blind	1
h1_pt	72.9312744140625	global_mass_plane_blind	1
abs_h1_eta	37.7880859375	global_mass_plane_blind	1
h2_pt	61.9779167175293	global_mass_plane_blind	1
abs_h2_eta	44.75077819824219	global_mass_plane_blind	1
abs_h_delta_eta	167.43731689453125	global_mass_plane_blind	1
abs_h_delta_phi	89.22712707519531	global_mass_plane_blind	1
h_delta_r	71.7042465209961	global_mass_plane_blind	1
h_pt_balance	44.22673797607422	global_mass_plane_blind	1
drbb1	125.65479278564452	global_mass_plane_blind	1
drbb2	79.34742736816406	global_mass_plane_blind	1
j1_pt	52.858985900878906	global_mass_plane_blind	1
abs_j1_eta	35.57768249511719	global_mass_plane_blind	1
j1_mass	99.8994598388672	global_mass_plane_blind	1
j2_pt	53.7924919128418	global_mass_plane_blind	1
abs_j2_eta	33.035579681396484	global_mass_plane_blind	1
j2_mass	143.67910766601562	global_mass_plane_blind	1
j3_pt	62.02310180664063	global_mass_plane_blind	1
abs_j3_eta	44.98545837402344	global_mass_plane_blind	1
j3_mass	192.7567901611328	global_mass_plane_blind	1
j4_pt	55.04707336425781	global_mass_plane_blind	1
abs_j4_eta	46.81067657470703	global_mass_plane_blind	1
j4_mass	203.9772186279297	global_mass_plane_blind	1
n_selected_jets	488.1802978515625	global_mass_plane_blind	2
n_selected_bjets	5219.39599609375	global_mass_plane_blind	2
ht_selected_jets	280.4395446777344	global_mass_plane_blind	2
ht_selected_bjets	947.9750366210938	global_mass_plane_blind	2
ht_candidate_jets	217.9776306152344	global_mass_plane_blind	2
mhh	224.3940277099609	global_mass_plane_blind	2
hh_pt	234.0597076416016	global_mass_plane_blind	2
abs_hh_eta	42.838287353515625	global_mass_plane_blind	2
h1_pt	94.28500366210938	global_mass_plane_blind	2
abs_h1_eta	35.82593536376953	global_mass_plane_blind	2
h2_pt	59.09087753295898	global_mass_plane_blind	2
abs_h2_eta	47.203704833984375	global_mass_plane_blind	2
abs_h_delta_eta	177.74661254882812	global_mass_plane_blind	2
abs_h_delta_phi	75.79825592041016	global_mass_plane_blind	2
h_delta_r	88.54421997070312	global_mass_plane_blind	2
h_pt_balance	35.46103286743164	global_mass_plane_blind	2
drbb1	128.40765380859375	global_mass_plane_blind	2
drbb2	88.55355072021484	global_mass_plane_blind	2
j1_pt	48.58549118041992	global_mass_plane_blind	2
abs_j1_eta	35.23577880859375	global_mass_plane_blind	2
j1_mass	100.17278289794922	global_mass_plane_blind	2
j2_pt	53.50606155395508	global_mass_plane_blind	2
abs_j2_eta	39.17808151245117	global_mass_plane_blind	2
j2_mass	139.09913635253906	global_mass_plane_blind	2
j3_pt	56.22533416748047	global_mass_plane_blind	2
abs_j3_eta	49.64485549926758	global_mass_plane_blind	2
j3_mass	171.6014862060547	global_mass_plane_blind	2
j4_pt	65.43843841552734	global_mass_plane_blind	2
abs_j4_eta	43.39181518554688	global_mass_plane_blind	2
j4_mass	208.06333923339844	global_mass_plane_blind	2
