display_method	auc	epsilon_S	epsilon_B	rejection	S	B	S_over_B	ZA_stat	Neff_background	finite_mc_rel_unc_background
R_HH(125,125)<34		0.5245496584326789	0.4319668500506009	2.314992458062139	417.4627329356919	20240622849.775894	2.0624994400323705e-08	0.0029343085318647	18233.175821910758	0.0074057464670722
Global mass-plane-blind BDT	0.7927473294924016	0.5865589588159026	0.1851394706326219	5.401333365505463	424.35531850598136	782801755.7405807	5.420980668400698e-07	0.015167140673312	1169.7863736985255	0.029237936659553
Global mass-aware BDT	0.7999990116667514	0.5875603295328026	0.175128707184892	5.710086119371911	425.7179748022927	778270611.1993243	5.470050759674148e-07	0.0152600737381093	1120.844925470966	0.0298694506344006
