method	threshold_contract	target_weighted_signal_efficiency	low_mhh_threshold	high_mhh_threshold	weighted_signal_efficiency	weighted_background_efficiency	raw_signal_efficiency	raw_background_efficiency	weighted_background_rejection	low_mhh_weighted_signal_efficiency	low_mhh_weighted_background_efficiency	low_mhh_raw_signal_efficiency	low_mhh_raw_background_efficiency	high_mhh_weighted_signal_efficiency	high_mhh_weighted_background_efficiency	high_mhh_raw_signal_efficiency	high_mhh_raw_background_efficiency	signal_efficiencies	background_efficiencies	status
categorized_cms_inspired_explicit_dijet_mass_plane_blind	category_specific	0.7	0.566564083099	0.558091282845	0.700055445764	0.331137518672	0.700250626566	0.299444573504	3.01989337847	0.700040895932	0.365722671442	0.699645075421	0.371787683394	0.700086369851	0.288971872519	0.701525054466	0.239778026128	"{""ggf_hh4b"":0.6779270484273547,""vbf_hh4b"":0.7221838431004646}"	"{""diboson"":0.0,""qcd_multijet"":0.2984323346294353,""single_higgs"":0.44282160625159755,""single_top"":0.29082276161153164,""top_associated"":0.29930147803186175,""triboson"":0.5213825161193584,""ttbar"":0.3885226716603448,""zbbbb"":0.407816781072374}"	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	category_specific	0.585957314769	0.622556209564	0.658782541752	0.586060436882	0.235698239994	0.586165413534	0.202339971701	4.24271305558	0.586032205131	0.262106054622	0.58562555457	0.269694421082	0.586120440401	0.203502269234	0.587301587302	0.146787930171	"{""ggf_hh4b"":0.5627114743832443,""vbf_hh4b"":0.6094093993803515}"	"{""diboson"":0.0,""qcd_multijet"":0.2038709059871511,""single_higgs"":0.3290440363546135,""single_top"":0.19554270744110314,""top_associated"":0.2164576666565932,""triboson"":0.3789811066126856,""ttbar"":0.2819147107765007,""zbbbb"":0.27977478612293455}"	pass
global_v1_mass_aware	global_v1_single_threshold	0.3	0.844499707222	0.844499707222	0.300075681561	0.0433572359306	0.300651629073	0.0385208337733	23.0642009006	0.265435196921	0.0432001647923	0.265158237208	0.0515839641155	0.37370026783	0.0435487344642	0.375350140056	0.0277467339782	"{""ggf_hh4b"":0.26510874075936436,""vbf_hh4b"":0.33504262236358784}"	"{""diboson"":0.0,""qcd_multijet"":0.02500621775647367,""single_higgs"":0.0836854753998931,""single_top"":0.03598484848484849,""top_associated"":0.05261544523364523,""triboson"":0.052777777777777785,""ttbar"":0.06327878124467186,""zbbbb"":0.033509341547696976}"	pass
global_v1_mass_aware	global_v1_single_threshold	0.5	0.738130152225	0.738130152225	0.500011289442	0.122795610902	0.500350877193	0.101243901924	8.14361354333	0.498911155759	0.150323049864	0.498521147589	0.154798616952	0.502349504051	0.0892346126755	0.504201680672	0.0570734903079	"{""ggf_hh4b"":0.4831003133931193,""vbf_hh4b"":0.5169222654899199}"	"{""diboson"":0.0,""qcd_multijet"":0.11471384258062352,""single_higgs"":0.20027123015450446,""single_top"":0.08198215925488653,""top_associated"":0.1161787041316342,""triboson"":0.16503411306042887,""ttbar"":0.17290646550046818,""zbbbb"":0.1312783725310009}"	pass
global_v1_mass_aware	global_v1_single_threshold	0.7	0.575282096863	0.575282096863	0.700051978614	0.30734147342	0.700050125313	0.225232835632	3.25370991709	0.732818660789	0.419465002799	0.732475598935	0.349032800673	0.630409955887	0.170642321137	0.631808278867	0.123126132028	"{""ggf_hh4b"":0.6986181777493041,""vbf_hh4b"":0.7014857794778656}"	"{""diboson"":0.125,""qcd_multijet"":0.24171040313106365,""single_higgs"":0.43522284120070487,""single_top"":0.3281571444004599,""top_associated"":0.2565492992413914,""triboson"":0.3969898035687511,""ttbar"":0.3518586632852818,""zbbbb"":0.32324363253337735}"	pass
global_v1_mass_aware	global_v1_single_threshold	0.585957314769	0.67730897665	0.67730897665	0.586048406198	0.184305471151	0.585964912281	0.142108931174	5.42577490377	0.601053351918	0.233414684654	0.600414078675	0.221521353145	0.55415702442	0.124432330409	0.555555555556	0.0766118154842	"{""ggf_hh4b"":0.5740887174353535,""vbf_hh4b"":0.5980080949599559}"	"{""diboson"":0.0,""qcd_multijet"":0.15927019718615576,""single_higgs"":0.3308062330905599,""single_top"":0.18110256499293934,""top_associated"":0.15975631063351606,""triboson"":0.21062940470835212,""ttbar"":0.2387469519087881,""zbbbb"":0.19413210669064918}"	pass
global_v1_explicit_dijet_mass_plane_blind	global_v1_single_threshold	0.3	0.759800672531	0.759800672531	0.300045632064	0.0792578007731	0.300952380952	0.0597875440857	12.6170546021	0.287089954382	0.0927975636049	0.287636793848	0.0842444631343	0.327581517289	0.0627503459018	0.328976034858	0.03961617018	"{""ggf_hh4b"":0.27141664472781063,""vbf_hh4b"":0.3286746194005694}"	"{""diboson"":0.0,""qcd_multijet"":0.06837993908689584,""single_higgs"":0.14476712813876622,""single_top"":0.06336908041453496,""top_associated"":0.08406870308268366,""triboson"":0.11859536662168244,""ttbar"":0.09245984055440214,""zbbbb"":0.062422348285502145}"	pass
global_v1_explicit_dijet_mass_plane_blind	global_v1_single_threshold	0.5	0.691556036472	0.691556036472	0.500067322719	0.184396791103	0.500551378446	0.142235644443	5.42308786406	0.511798463653	0.229833158284	0.511978704525	0.20568171199	0.475134057301	0.129001523838	0.476501711796	0.0899071255154	"{""ggf_hh4b"":0.4801435376029657,""vbf_hh4b"":0.5199911078342593}"	"{""diboson"":0.0,""qcd_multijet"":0.13097609473427144,""single_higgs"":0.2932527150384005,""single_top"":0.20352483968794133,""top_associated"":0.1647362422225268,""triboson"":0.29050832208726957,""ttbar"":0.19914849752178557,""zbbbb"":0.19302761752817738}"	pass
global_v1_explicit_dijet_mass_plane_blind	global_v1_single_threshold	0.7	0.600419163704	0.600419163704	0.700062313147	0.345417610442	0.700250626566	0.272602479356	2.89504637219	0.733621792197	0.450514178665	0.733658680864	0.384730399028	0.628735286805	0.217285612962	0.629940865235	0.180122548075	"{""ggf_hh4b"":0.7007057964844754,""vbf_hh4b"":0.6994188298093025}"	"{""diboson"":0.125,""qcd_multijet"":0.27906965020696295,""single_higgs"":0.5194210332045517,""single_top"":0.3302415869929239,""top_associated"":0.2750535873864083,""triboson"":0.4719410706252813,""ttbar"":0.3659169236824958,""zbbbb"":0.3966970314390554}"	pass
global_v1_explicit_dijet_mass_plane_blind	global_v1_single_threshold	0.585957314769	0.658317565918	0.658317565918	0.585979511964	0.228052621132	0.586365914787	0.188063610061	4.38495288954	0.608893481287	0.291306286326	0.608991422656	0.270909260817	0.537278359869	0.150934798863	0.538748832866	0.119734864542	"{""ggf_hh4b"":0.5753193830390945,""vbf_hh4b"":0.5966396408893307}"	"{""diboson"":0.0,""qcd_multijet"":0.16967647077874254,""single_higgs"":0.35405107177627987,""single_top"":0.2258595311402798,""top_associated"":0.2047351347583271,""triboson"":0.3446506222822013,""ttbar"":0.26068671241729996,""zbbbb"":0.264761425901993}"	pass
optimized_cut	r_hh_125_125_lt_34	0.585957314769	34	34	0.585957314769	0.236726985161	0.584962406015	0.231230597031	4.22427548477	0.638561232395	0.354429263856	0.637533274179	0.394963087562	0.474153403491	0.0932263139951	0.474323062558	0.0961886777911	"{""ggf_hh4b"":0.6109048417168899,""vbf_hh4b"":0.5610097878202165}"	"{""diboson"":0.125,""qcd_multijet"":0.17425949940658234,""single_higgs"":0.20696023617956985,""single_top"":0.26658033736910747,""top_associated"":0.30354386282597084,""triboson"":0.1874756335282651,""ttbar"":0.3419058204807989,""zbbbb"":0.28809049149965316}"	pass
