method	threshold_contract	target_weighted_signal_efficiency	low_mhh_threshold	high_mhh_threshold	weighted_signal_efficiency	weighted_background_efficiency	raw_signal_efficiency	raw_background_efficiency	weighted_background_rejection	low_mhh_weighted_signal_efficiency	low_mhh_weighted_background_efficiency	low_mhh_raw_signal_efficiency	low_mhh_raw_background_efficiency	high_mhh_weighted_signal_efficiency	high_mhh_weighted_background_efficiency	high_mhh_raw_signal_efficiency	high_mhh_raw_background_efficiency	signal_efficiencies	background_efficiencies	status
categorized_cms_inspired_mass_aware	category_specific	0.3	0.788138508797	0.907636404037	0.300080914856	0.0404427122116	0.30015037594	0.0398724419759	24.7263337525	0.300005005291	0.0526984236381	0.299911268855	0.0669096346136	0.300242252388	0.025500751573	0.300653594771	0.0175729315195	"{""ggf_hh4b"":0.2784029339052808,""vbf_hh4b"":0.32175889580605516}"	"{""diboson"":0.0,""qcd_multijet"":0.020355289192764144,""single_higgs"":0.06593208341647581,""single_top"":0.013131313131313133,""top_associated"":0.052899022061605815,""triboson"":0.04929337231968811,""ttbar"":0.07394948829796888,""zbbbb"":0.047981129272726845}"	pass
categorized_cms_inspired_mass_aware	category_specific	0.5	0.695231735706	0.781245291233	0.50012255993	0.128906515606	0.499949874687	0.10301788769	7.75755977343	0.500037233512	0.16309993332	0.499260573795	0.161573684702	0.500303911961	0.0872184663536	0.501400560224	0.0547227253459	"{""ggf_hh4b"":0.47832096435775795,""vbf_hh4b"":0.5219241555029749}"	"{""diboson"":0.0,""qcd_multijet"":0.12122064369448125,""single_higgs"":0.2140042244714327,""single_top"":0.0951718290622034,""top_associated"":0.1158007618464639,""triboson"":0.17205540560803723,""ttbar"":0.17623950987598344,""zbbbb"":0.136759750291884}"	pass
categorized_cms_inspired_mass_aware	category_specific	0.7	0.567213177681	0.543218553066	0.700129716526	0.275044417218	0.699448621554	0.24079744884	3.6357763961	0.700112508017	0.322720651832	0.698757763975	0.319736473227	0.700166291342	0.216918340632	0.700902583256	0.175690778065	"{""ggf_hh4b"":0.6907851164168536,""vbf_hh4b"":0.7094743166345773}"	"{""diboson"":0.0,""qcd_multijet"":0.22973843208934422,""single_higgs"":0.38420353582052086,""single_top"":0.24878946068785643,""top_associated"":0.2610078768300574,""triboson"":0.39910781226570713,""ttbar"":0.3594335155947418,""zbbbb"":0.3180747044575232}"	pass
categorized_cms_inspired_mass_aware	category_specific	0.585957314769	0.645757675171	0.681406855583	0.586061481041	0.183893493127	0.585463659148	0.148613545648	5.43793030954	0.586082496632	0.223786520359	0.584886128364	0.218484253808	0.586016814687	0.135256574231	0.586679116091	0.0909861651701	"{""ggf_hh4b"":0.567653137193261,""vbf_hh4b"":0.6044698248894079}"	"{""diboson"":0.0,""qcd_multijet"":0.16470168464407425,""single_higgs"":0.2835485524806487,""single_top"":0.17466317105354542,""top_associated"":0.16527490429148642,""triboson"":0.23926188334083076,""ttbar"":0.24402122053612788,""zbbbb"":0.1996765286662154}"	pass
categorized_v1_features_mass_aware_ablation	category_specific	0.3	0.782256901264	0.90777027607	0.30010392635	0.0483801389672	0.299749373434	0.0429135604317	20.6696388507	0.300055404106	0.0641111203957	0.299319727891	0.0726567610504	0.300207055109	0.02920118663	0.300653594771	0.0183822112605	"{""ggf_hh4b"":0.2806587632012263,""vbf_hh4b"":0.319549089499604}"	"{""diboson"":0.0,""qcd_multijet"":0.047820320710489785,""single_higgs"":0.06717551775750327,""single_top"":0.022276334776334776,""top_associated"":0.05602026571318314,""triboson"":0.061111111111111116,""ttbar"":0.08278551363975187,""zbbbb"":0.04985204802959292}"	pass
categorized_v1_features_mass_aware_ablation	category_specific	0.5	0.687424123287	0.777531087399	0.500034776334	0.128728901158	0.49984962406	0.105404320922	7.76826331155	0.500049876343	0.1611746872	0.499260573795	0.165358377722	0.500002682907	0.0891715355304	0.501089324619	0.0559559135227	"{""ggf_hh4b"":0.4778596352640697,""vbf_hh4b"":0.522209917404449}"	"{""diboson"":0.0,""qcd_multijet"":0.14292151984023474,""single_higgs"":0.20651126070745615,""single_top"":0.08465595604633036,""top_associated"":0.1186659362741911,""triboson"":0.16325910931174092,""ttbar"":0.17789056226262534,""zbbbb"":0.1359268648197842}"	pass
categorized_v1_features_mass_aware_ablation	category_specific	0.7	0.556417882442	0.537567675114	0.700121767579	0.309409885075	0.699649122807	0.249477307765	3.23195879717	0.700141642322	0.376351733418	0.699201419698	0.329969161761	0.700079525972	0.227795490921	0.70059134765	0.183089907126	"{""ggf_hh4b"":0.6878404054184993,""vbf_hh4b"":0.7124031297387636}"	"{""diboson"":0.125,""qcd_multijet"":0.2617625828598157,""single_higgs"":0.44226674841603236,""single_top"":0.28800562924894474,""top_associated"":0.26274222894942234,""triboson"":0.41124606387764284,""ttbar"":0.3644866586753933,""zbbbb"":0.3197691685742389}"	pass
categorized_v1_features_mass_aware_ablation	category_specific	0.585957314769	0.637807071209	0.683080911636	0.586086077713	0.196387017332	0.586065162907	0.15009186712	5.09198629107	0.586096330022	0.248250861033	0.58562555457	0.221801700776	0.586064287545	0.133155477019	0.586990351696	0.0909476280396	"{""ggf_hh4b"":0.5691533536328198,""vbf_hh4b"":0.60301880179299}"	"{""diboson"":0.125,""qcd_multijet"":0.1761826390109933,""single_higgs"":0.25936398343256584,""single_top"":0.16432767321804753,""top_associated"":0.15937652187876428,""triboson"":0.25144699355225675,""ttbar"":0.24113796989623376,""zbbbb"":0.19426035767046146}"	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	category_specific	0.3	0.730234444141	0.818230032921	0.300120330428	0.0661210637725	0.300250626566	0.0599987328673	15.1237736199	0.300046669505	0.0891896377424	0.299911268855	0.0939631810111	0.300276888715	0.0379962399864	0.300964830377	0.031985818336	"{""ggf_hh4b"":0.2752436270356899,""vbf_hh4b"":0.3249970338197765}"	"{""diboson"":0.0,""qcd_multijet"":0.05127358730360621,""single_higgs"":0.05247326871446828,""single_top"":0.03258588559390699,""top_associated"":0.08450338794220179,""triboson"":0.12498125656020394,""ttbar"":0.10473974382541415,""zbbbb"":0.07841138023993985}"	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	category_specific	0.5	0.656981945038	0.714506566525	0.500136785623	0.182864433827	0.500551378446	0.151295643175	5.46853195601	0.500158148291	0.209690196419	0.500147885241	0.21236333053	0.500091381592	0.150158907823	0.501400560224	0.100928744846	"{""ggf_hh4b"":0.47600721663475065,""vbf_hh4b"":0.5242663546106123}"	"{""diboson"":0.0,""qcd_multijet"":0.14844368727706908,""single_higgs"":0.2710634236111765,""single_top"":0.16327194789761634,""top_associated"":0.1671789910021935,""triboson"":0.286169215774479,""ttbar"":0.21428226988059548,""zbbbb"":0.21250593517135866}"	pass
