strategy	category	score_quintile	rows	weighted_fraction	score_minimum	score_maximum	spearman_score_r_hh	pearson_score_r_hh	spearman_score_mhh	pearson_score_mhh	median_r_hh_125_125	mean_r_hh_125_125	weighted_fraction_rhh_lt_34	raw_fraction_rhh_lt_34	weighted_fraction_rhh_lt_50	raw_fraction_rhh_lt_50	weighted_fraction_rhh_lt_80	raw_fraction_rhh_lt_80	used_in_model_selection	status
categorized_cms_inspired_mass_aware	low_mhh	1	5805	0.200018389052	0.00921812374145	0.281824201345	-0.566341572039	-0.553428032794	-0.186087385353	-0.156893059058	57.7499821714	57.6027256549	0.105411491513	0.17398794143	0.282594356897	0.356761412575	0.792468789964	0.826528854436	false	pass
categorized_cms_inspired_mass_aware	low_mhh	2	3912	0.19998594698	0.281831800938	0.406547784805	-0.566341572039	-0.553428032794	-0.186087385353	-0.156893059058	51.375329727	52.4564709545	0.166974570225	0.191973415133	0.415294827447	0.477249488753	0.924930150225	0.895449897751	false	pass
categorized_cms_inspired_mass_aware	low_mhh	3	3198	0.200029558243	0.406569540501	0.509597539902	-0.566341572039	-0.553428032794	-0.186087385353	-0.156893059058	40.6236494626	43.0555351647	0.346334037529	0.335834896811	0.599024865532	0.691369606004	0.970041232492	0.95559724828	false	pass
categorized_cms_inspired_mass_aware	low_mhh	4	4360	0.199952030821	0.509598612785	0.666631579399	-0.566341572039	-0.553428032794	-0.186087385353	-0.156893059058	33.820046073	35.0932780932	0.460471947183	0.505733944954	0.838689675251	0.857110091743	0.985014914536	0.984862385321	false	pass
categorized_cms_inspired_mass_aware	low_mhh	5	4127	0.200014074904	0.666637957096	0.970470488071	-0.566341572039	-0.553428032794	-0.186087385353	-0.156893059058	19.9747677729	22.6699087959	0.692966803204	0.826992973104	0.937503317487	0.971407802278	0.98283932554	0.996365398595	false	pass
categorized_cms_inspired_mass_aware	high_mhh	1	6664	0.209040040768	0.0174604803324	0.190486490726	-0.408755386498	-0.310554832474	-0.117009134908	-0.094990655279	108.104958608	133.343444445	0.0288330718494	0.0145558223289	0.0498261421041	0.0421668667467	0.525965525233	0.247298919568	false	pass
categorized_cms_inspired_mass_aware	high_mhh	2	6462	0.190958586106	0.190517529845	0.301918685436	-0.408755386498	-0.310554832474	-0.117009134908	-0.094990655279	99.9083894304	123.055718378	0.0231328575819	0.0212008666048	0.052904606627	0.0713401423708	0.344303279677	0.320024760136	false	pass
categorized_cms_inspired_mass_aware	high_mhh	3	2817	0.200036100827	0.301928013563	0.362690210342	-0.408755386498	-0.310554832474	-0.117009134908	-0.094990655279	94.0590973531	118.734667011	0.0105917354155	0.0390486332978	0.0240815012484	0.103656372027	0.163916517822	0.390486332978	false	pass
categorized_cms_inspired_mass_aware	high_mhh	4	5686	0.200208422215	0.362698197365	0.55425041914	-0.408755386498	-0.310554832474	-0.117009134908	-0.094990655279	81.9476038423	107.330892936	0.0362761312355	0.0701723531481	0.135039278685	0.204009848751	0.449102752896	0.487337319733	false	pass
categorized_cms_inspired_mass_aware	high_mhh	5	4320	0.199756850083	0.554304420948	0.978813290596	-0.408755386498	-0.310554832474	-0.117009134908	-0.094990655279	39.687145368	60.3045901524	0.367447290148	0.405787037037	0.673735127497	0.663194444444	0.842292859056	0.821527777778	false	pass
categorized_v1_features_mass_aware_ablation	low_mhh	1	6044	0.199812891087	0.00519729079679	0.289332956076	-0.582406994598	-0.564770806426	-0.189502256174	-0.156616066356	58.5177330825	58.0421510032	0.113064644139	0.165287888815	0.247857633437	0.337028457975	0.804082516028	0.831899404368	false	pass
categorized_v1_features_mass_aware_ablation	low_mhh	2	4417	0.20019050411	0.289341002703	0.428046554327	-0.582406994598	-0.564770806426	-0.189502256174	-0.156616066356	49.5513745918	51.4784022723	0.122574993403	0.200362236812	0.409049070072	0.509395517319	0.919166437802	0.897668100521	false	pass
categorized_v1_features_mass_aware_ablation	low_mhh	3	3404	0.197788410092	0.428069263697	0.53968089819	-0.582406994598	-0.564770806426	-0.189502256174	-0.156616066356	38.9212002055	41.011557626	0.319481828957	0.36133960047	0.58574250435	0.755875440658	0.960443846242	0.96562867215	false	pass
categorized_v1_features_mass_aware_ablation	low_mhh	4	3256	0.208244530111	0.539685070515	0.656354486942	-0.582406994598	-0.564770806426	-0.189502256174	-0.156616066356	32.0373311168	33.4653413253	0.464677940533	0.556818181818	0.87523652233	0.883906633907	0.978470265124	0.987100737101	false	pass
categorized_v1_features_mass_aware_ablation	low_mhh	5	4281	0.193963664599	0.65639257431	0.974767565727	-0.582406994598	-0.564770806426	-0.189502256174	-0.156616066356	19.9291960955	22.6809594325	0.759640722572	0.823639336604	0.954210948177	0.971034804952	0.993255755916	0.997196916608	false	pass
categorized_v1_features_mass_aware_ablation	high_mhh	1	7953	0.199999027541	0.0178960114717	0.22417588532	-0.380953231097	-0.282032947336	-0.0924095827307	-0.0764889687371	104.97804233	128.062594631	0.0340370904582	0.0181063749528	0.0598897256033	0.0495410536904	0.442000898101	0.266566075695	false	pass
categorized_v1_features_mass_aware_ablation	high_mhh	2	3592	0.20049380263	0.224176123738	0.284476816654	-0.380953231097	-0.282032947336	-0.0924095827307	-0.0764889687371	100.865917212	122.597748615	0.00640792037129	0.022271714922	0.0191193439925	0.0701559020045	0.325345504553	0.314587973274	false	pass
categorized_v1_features_mass_aware_ablation	high_mhh	3	5069	0.19950769587	0.28448754549	0.387362867594	-0.380953231097	-0.282032947336	-0.0924095827307	-0.0764889687371	95.4713121291	118.517697021	0.01669799088	0.0343262971	0.0604861943243	0.109883606234	0.285333725953	0.375616492405	false	pass
categorized_v1_features_mass_aware_ablation	high_mhh	4	5501	0.200147752604	0.387386262417	0.581578433514	-0.380953231097	-0.282032947336	-0.0924095827307	-0.0764889687371	79.8679991556	109.803135167	0.047136093796	0.0734411925105	0.144264361997	0.215778949282	0.453863539083	0.501181603345	false	pass
categorized_v1_features_mass_aware_ablation	high_mhh	5	3834	0.199851721355	0.581764280796	0.981298983097	-0.380953231097	-0.282032947336	-0.0924095827307	-0.0764889687371	37.6879533923	58.7937998759	0.362111565836	0.4418362024	0.65149190715	0.696139801774	0.826898640152	0.841158059468	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	1	5821	0.19994445903	0.00695282360539	0.336502730846	-0.322672280608	-0.336003580993	-0.125332683957	-0.10613102943	52.776778539	53.5731621907	0.221665195972	0.260779934719	0.418358697372	0.460745576361	0.81224275122	0.823398041574	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	2	3111	0.195172162376	0.336535215378	0.439924001694	-0.322672280608	-0.336003580993	-0.125332683957	-0.10613102943	46.0901539734	47.5501443727	0.350212446946	0.315654130505	0.524798895446	0.551269688203	0.933723655515	0.909996785599	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	3	3649	0.204834653452	0.439972996712	0.543426036835	-0.322672280608	-0.336003580993	-0.125332683957	-0.10613102943	41.1322360816	42.8071939762	0.278936361976	0.377363661277	0.545181528928	0.643189915045	0.93093894867	0.948753083036	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	4	4392	0.200057212819	0.543434679508	0.659893751144	-0.322672280608	-0.336003580993	-0.125332683957	-0.10613102943	35.707575053	37.4844767037	0.418695293309	0.462887067395	0.748554872829	0.76252276867	0.987201430331	0.976320582878	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	5	4429	0.199991512323	0.659917891026	0.952718138695	-0.322672280608	-0.336003580993	-0.125332683957	-0.10613102943	30.8043105574	32.3407982812	0.504311247956	0.57417024159	0.83559010832	0.858433054866	0.991192499534	0.99096861594	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	1	7050	0.200000478637	0.0101444413885	0.236764147878	-0.466261644951	-0.367564793939	-0.106774935594	-0.0828849530345	120.688193952	145.655211309	0.0330315384212	0.0272340425532	0.0581762215434	0.0602836879433	0.374005814259	0.200992907801	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	2	5949	0.199447308092	0.236792385578	0.369570344687	-0.466261644951	-0.367564793939	-0.106774935594	-0.0828849530345	101.819374492	123.502540056	0.0396993504547	0.0460581610355	0.0705772742509	0.101193477895	0.235334337387	0.315851403597	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	3	2474	0.200546075823	0.369578152895	0.432624131441	-0.466261644951	-0.367564793939	-0.106774935594	-0.0828849530345	91.7550376692	113.787845921	0.0149721996983	0.0505254648343	0.0415050337623	0.118027485853	0.347861942678	0.398544866613	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	4	6778	0.201210302911	0.432640820742	0.664456427097	-0.466261644951	-0.367564793939	-0.106774935594	-0.0828849530345	74.106001375	94.7093596247	0.0887194114706	0.104308055474	0.211439435946	0.23399232812	0.533365163829	0.551637651225	false	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	5	3698	0.198795834537	0.664489150047	0.962232232094	-0.466261644951	-0.367564793939	-0.106774935594	-0.0828849530345	44.9128580407	55.1716032277	0.29099295014	0.323958896701	0.55522008894	0.582477014602	0.844251138706	0.842347214711	false	pass
