variant	feature_order	feature	latex_label	mean_normalized_gain_importance	standard_deviation_normalized_gain_importance	minimum_normalized_gain_importance	maximum_normalized_gain_importance	folds	importance_type	interpretation	strategy	category	rank	status
categorized_cms_inspired_mass_aware	22	j2_pt	$p_{\mathrm{T}}^{j_2}$	0.00975661263621723	0.001780576184347205	0.007304615545107664	0.012328761640362014	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	23	abs_j2_eta	$|\eta_{j_2}|$	0.008684054377619401	0.002107980376477726	0.005144924267542739	0.0115091283317789	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	24	j2_mass	$m_{j_2}$	0.011292594855795314	0.002365223469330708	0.007149034935309868	0.013771824180516623	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	25	j3_pt	$p_{\mathrm{T}}^{j_3}$	0.01138188857214387	0.0031037996096727385	0.008806672649305989	0.017031435281066792	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	26	abs_j3_eta	$|\eta_{j_3}|$	0.009151329610646474	0.0014067040275083011	0.007293255345329143	0.010718889939698655	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	27	j3_mass	$m_{j_3}$	0.008460883090376238	0.0016883697627559664	0.00597798498123764	0.011247509150630332	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	28	j4_pt	$p_{\mathrm{T}}^{j_4}$	0.012646639139853616	0.0031963820772454798	0.008819555706450138	0.016879616782309786	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	29	abs_j4_eta	$|\eta_{j_4}|$	0.015010573396152235	0.0023090111235364247	0.010908711426617946	0.017299889725550997	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	30	j4_mass	$m_{j_4}$	0.026010679438693875	0.007954952717925347	0.011049752998126501	0.03498618264451706	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	8	pass
categorized_cms_inspired_mass_aware	31	mbb1	$m_{bb}^{H_1}$	0.026498465406803028	0.0031618492465428916	0.023087377345808874	0.03200292349326171	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	7	pass
categorized_cms_inspired_mass_aware	32	mbb2	$m_{bb}^{H_2}$	0.02307859131061913	0.00288738138167316	0.019940168017569534	0.027279618800588858	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	11	pass
categorized_cms_inspired_mass_aware	33	delta_mbb	$|m_{bb}^{H_1}-m_{bb}^{H_2}|$	0.07981740453347738	0.022322977303109875	0.044105153654577366	0.11238609776549001	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	2	pass
categorized_cms_inspired_mass_aware	34	r_hh_125_125	$R_{HH}^{125,125}$	0.126066334095377	0.018905402697786483	0.10564106858202782	0.15518663883144693	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	1	pass
categorized_cms_inspired_mass_aware	35	dr_j1_j2	$\Delta R(j_1,j_2)$	0.012164123786864964	0.0022012633259908838	0.008874574227971471	0.015757627394684767	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	36	dr_j1_j3	$\Delta R(j_1,j_3)$	0.010760074360437702	0.0023213813541143567	0.007010696492359392	0.013586209931138958	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	37	dr_j1_j4	$\Delta R(j_1,j_4)$	0.013994212023981212	0.005496465442635589	0.007172539474198564	0.023013908101847395	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	38	dr_j2_j3	$\Delta R(j_2,j_3)$	0.009659239278574932	0.0023278800309307346	0.006847362492072874	0.012818116245461772	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	39	dr_j2_j4	$\Delta R(j_2,j_4)$	0.027944406643289156	0.008124680787120142	0.01698536215850074	0.04212315171493516	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	6	pass
categorized_cms_inspired_mass_aware	40	dr_j3_j4	$\Delta R(j_3,j_4)$	0.00738834534809976	0.00040902051678314455	0.006749735416492171	0.007796648887372596	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	41	min_candidate_pair_dr	$\min\,\Delta R_{jj}$	0.07075015079481191	0.02084861810035496	0.03483298445864352	0.10017834402716105	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	3	pass
categorized_cms_inspired_mass_aware	42	max_candidate_pair_dr	$\max\,\Delta R_{jj}$	0.016779065230056633	0.005867509622173783	0.009591057037173405	0.02750949306364601	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	15	pass
categorized_cms_inspired_mass_aware	43	mean_candidate_pair_dr	$\langle\Delta R_{jj}\rangle$	0.011182916742809855	0.002225342318954267	0.008541329376701826	0.015087251137432424	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	44	min_cross_higgs_pair_dr	$\min\,\Delta R_{jj}^{\mathrm{cross}}$	0.015614815715035656	0.0028850893864035792	0.011156381944599584	0.019410362946444038	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	45	max_cross_higgs_pair_dr	$\max\,\Delta R_{jj}^{\mathrm{cross}}$	0.012039895501811516	0.003069698253888753	0.009023961962606597	0.017010281298417366	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	46	candidate_vector_pt_sum	$|\sum_{j=1}^{4}\vec{p}_{\mathrm{T}}^{\,j}|$	0.022893178577024713	0.005255325623803926	0.016044369073997658	0.029049388020893827	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh	12	pass
categorized_cms_inspired_mass_aware	47	cos_theta_star_h1_in_hh_rest	$\cos\theta^{*}_{H_1}$	0.013583150764090748	0.004965389611107893	0.008038080342055474	0.021754111898114603	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	48	abs_cos_theta_star_h1_in_hh_rest	$|\cos\theta^{*}_{H_1}|$	0.008186535958919019	0.0016500342671673883	0.006218626687727711	0.01062179934052667	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	49	cos_theta_j1_in_h1_rest	$\cos\theta_{j_1}^{H_1}$	0.009953279854201424	0.0016443162571017091	0.007537314697929166	0.012662530816898915	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	50	abs_cos_theta_j1_in_h1_rest	$|\cos\theta_{j_1}^{H_1}|$	0.010654670915070974	0.001549712666907167	0.008554297977598147	0.012629734201120471	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	51	cos_theta_j_h2_leading_in_h2_rest	$\cos\theta_{j_{\mathrm{lead}}}^{H_2}$	0.009594624565963175	0.0017421818240237932	0.006456976628557171	0.011340256961966588	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	52	abs_cos_theta_j_h2_leading_in_h2_rest	$|\cos\theta_{j_{\mathrm{lead}}}^{H_2}|$	0.011515081362135119	0.0032657432624133248	0.006668971989136805	0.015684741809737994	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	low_mhh		pass
categorized_cms_inspired_mass_aware	1	n_selected_jets	$N_{\mathrm{jet}}$	0.02362806334640724	0.0014789776408540543	0.021910921390708382	0.026109621681576625	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	6	pass
categorized_cms_inspired_mass_aware	2	n_selected_bjets	$N_{b\mathrm{-jet}}$	0.012752248301794597	0.0005858961956374861	0.012270738346978359	0.013903843531038285	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	3	ht_selected_jets	$H_{\mathrm{T}}^{\mathrm{jets}}$	0.0157516859174631	0.0007919202846285877	0.014228645847788865	0.016413274064912595	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	4	ht_selected_bjets	$H_{\mathrm{T}}^{b\mathrm{-jets}}$	0.01645266491605875	0.0016246186781287328	0.013745915775759338	0.018406309694116482	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	5	ht_candidate_jets	$H_{\mathrm{T}}^{HH\ \mathrm{jets}}$	0.016831754892238947	0.0004856875128017061	0.015966285402461856	0.017444924862517152	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	6	mhh	$m_{HH}$	0.01363876419008619	0.000982213945407993	0.01247821362443428	0.015392388833726251	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	7	hh_pt	$p_{\mathrm{T}}^{HH}$	0.024654616596778624	0.004831389131756032	0.02014986536808804	0.03319920488543883	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	4	pass
categorized_cms_inspired_mass_aware	8	abs_hh_eta	$|\eta_{HH}|$	0.019084930049008395	0.001954073945548943	0.017015277576699826	0.0223186949963535	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	10	pass
categorized_cms_inspired_mass_aware	9	h1_pt	$p_{\mathrm{T}}^{H_1}$	0.01561480554978371	0.001296617840461517	0.01391745893022923	0.0172614912678932	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	10	abs_h1_eta	$|\eta_{H_1}|$	0.015526190438399746	0.0012580898626559094	0.013599388454538064	0.016867356458956522	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	11	h2_pt	$p_{\mathrm{T}}^{H_2}$	0.015313371909694984	0.0012142420150352239	0.013517009359251729	0.016806610517936606	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	12	abs_h2_eta	$|\eta_{H_2}|$	0.015497890491787795	0.0024218503368085556	0.012996708694582311	0.01950860935806118	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	13	abs_h_delta_eta	$|\Delta\eta_{HH}|$	0.015019748686434391	0.0014327758649628776	0.013059256011734676	0.017228061611896824	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
