method	category	target_weighted_signal_efficiency	signal_mode	rows	weighted_efficiency	raw_efficiency	status
categorized_cms_inspired_mass_aware	combined	0.3	ggf_hh4b	4893	0.278402933905	0.277130594727	pass
categorized_cms_inspired_mass_aware	combined	0.3	vbf_hh4b	5082	0.321758895806	0.322314049587	pass
categorized_cms_inspired_mass_aware	low_mhh	0.3	ggf_hh4b	3965	0.297495587242	0.296595208071	pass
categorized_cms_inspired_mass_aware	low_mhh	0.3	vbf_hh4b	2797	0.303699309015	0.304612084376	pass
categorized_cms_inspired_mass_aware	high_mhh	0.3	ggf_hh4b	928	0.19704760897	0.193965517241	pass
categorized_cms_inspired_mass_aware	high_mhh	0.3	vbf_hh4b	2285	0.34384556797	0.34398249453	pass
categorized_cms_inspired_mass_aware	combined	0.5	ggf_hh4b	4893	0.478320964358	0.476394849785	pass
categorized_cms_inspired_mass_aware	combined	0.5	vbf_hh4b	5082	0.521924155503	0.522628886265	pass
categorized_cms_inspired_mass_aware	low_mhh	0.5	ggf_hh4b	3965	0.501521521623	0.499873896595	pass
categorized_cms_inspired_mass_aware	low_mhh	0.5	vbf_hh4b	2797	0.497852100947	0.498391133357	pass
categorized_cms_inspired_mass_aware	high_mhh	0.5	ggf_hh4b	928	0.379461531794	0.376077586207	pass
categorized_cms_inspired_mass_aware	high_mhh	0.5	vbf_hh4b	2285	0.551364008333	0.552297592998	pass
categorized_cms_inspired_mass_aware	combined	0.7	ggf_hh4b	4893	0.690785116417	0.688739014919	pass
categorized_cms_inspired_mass_aware	combined	0.7	vbf_hh4b	5082	0.709474316635	0.709759937033	pass
categorized_cms_inspired_mass_aware	low_mhh	0.7	ggf_hh4b	3965	0.711355708902	0.709457755359	pass
categorized_cms_inspired_mass_aware	low_mhh	0.7	vbf_hh4b	2797	0.683560543335	0.683589560243	pass
categorized_cms_inspired_mass_aware	high_mhh	0.7	ggf_hh4b	928	0.603132174409	0.600215517241	pass
categorized_cms_inspired_mass_aware	high_mhh	0.7	vbf_hh4b	2285	0.74116657084	0.741794310722	pass
categorized_cms_inspired_mass_aware	combined	0.585957314769	ggf_hh4b	4893	0.567653137193	0.565297363581	pass
categorized_cms_inspired_mass_aware	combined	0.585957314769	vbf_hh4b	5082	0.604469824889	0.604879968516	pass
categorized_cms_inspired_mass_aware	low_mhh	0.585957314769	ggf_hh4b	3965	0.591934576641	0.589911727617	pass
categorized_cms_inspired_mass_aware	low_mhh	0.585957314769	vbf_hh4b	2797	0.577467207924	0.577761887737	pass
categorized_cms_inspired_mass_aware	high_mhh	0.585957314769	ggf_hh4b	928	0.464187979086	0.460129310345	pass
categorized_cms_inspired_mass_aware	high_mhh	0.585957314769	vbf_hh4b	2285	0.63749372269	0.638074398249	pass
categorized_v1_features_mass_aware_ablation	combined	0.3	ggf_hh4b	4893	0.280658763201	0.278561209892	pass
categorized_v1_features_mass_aware_ablation	combined	0.3	vbf_hh4b	5082	0.3195490895	0.320149547422	pass
categorized_v1_features_mass_aware_ablation	low_mhh	0.3	ggf_hh4b	3965	0.297769220058	0.296090794451	pass
categorized_v1_features_mass_aware_ablation	low_mhh	0.3	vbf_hh4b	2797	0.303421068208	0.303897032535	pass
categorized_v1_features_mass_aware_ablation	high_mhh	0.3	ggf_hh4b	928	0.207749736213	0.203663793103	pass
categorized_v1_features_mass_aware_ablation	high_mhh	0.3	vbf_hh4b	2285	0.339273478714	0.340043763676	pass
categorized_v1_features_mass_aware_ablation	combined	0.5	ggf_hh4b	4893	0.477859635264	0.475986102596	pass
categorized_v1_features_mass_aware_ablation	combined	0.5	vbf_hh4b	5082	0.522209917404	0.522825659189	pass
categorized_v1_features_mass_aware_ablation	low_mhh	0.5	ggf_hh4b	3965	0.502490288237	0.500882723834	pass
categorized_v1_features_mass_aware_ablation	low_mhh	0.5	vbf_hh4b	2797	0.496457161786	0.496961029675	pass
categorized_v1_features_mass_aware_ablation	high_mhh	0.5	ggf_hh4b	928	0.372906450359	0.369612068966	pass
categorized_v1_features_mass_aware_ablation	high_mhh	0.5	vbf_hh4b	2285	0.55370524879	0.554485776805	pass
categorized_v1_features_mass_aware_ablation	combined	0.7	ggf_hh4b	4893	0.687840405418	0.686082158185	pass
categorized_v1_features_mass_aware_ablation	combined	0.7	vbf_hh4b	5082	0.712403129739	0.712711530893	pass
categorized_v1_features_mass_aware_ablation	low_mhh	0.7	ggf_hh4b	3965	0.710312267898	0.70895334174	pass
categorized_v1_features_mass_aware_ablation	low_mhh	0.7	vbf_hh4b	2797	0.685168696711	0.685377189846	pass
categorized_v1_features_mass_aware_ablation	high_mhh	0.7	ggf_hh4b	928	0.592085999695	0.588362068966	pass
