category	trial_id	n_estimators	max_depth	learning_rate	min_child_weight	subsample	colsample_bytree	reg_lambda	reg_alpha	gamma	mean_weighted_roc_auc	worst_fold_weighted_roc_auc	std_weighted_roc_auc	complexity_proxy	selection_rule	status
low_mhh	19	700	2	0.05	7	1	0.75	5	0	0	0.756050388097	0.736586740073	0.0177918454707	2800	mean_desc;worst_desc;std_asc;complexity_asc;trial_id_asc	pass
high_mhh	18	400	5	0.03	7	0.75	0.75	1	1	0.1	0.812601597511	0.753554747811	0.035517663457	12800	mean_desc;worst_desc;std_asc;complexity_asc;trial_id_asc	pass
