plot_path	paired_path	plot_name	plotted_methods	category	variables	normalization	binning	axis_limits	latex_labels	style_helper_path	style_helper_sha256	cms_inspired_style_applied	official_cms_status_claimed	dpi	format	bytes	status
plots/low_mhh_weighted_roc.png	plots/low_mhh_weighted_roc.pdf	low_mhh_weighted_roc	"[""global_v1_mass_aware"",""categorized_v1_features_mass_aware_ablation"",""categorized_cms_inspired_mass_aware"",""categorized_cms_inspired_explicit_dijet_mass_plane_blind""]"	low_mhh	"[""score"",""training_target""]"	frozen_global_development_weights	empirical_weighted_ROC	"{""x"":[0,1],""y"":[1,100000.0]}"	"[""$\\epsilon_S$"",""$1/\\epsilon_B$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	193448	pass
plots/low_mhh_weighted_roc.pdf	plots/low_mhh_weighted_roc.png	low_mhh_weighted_roc	"[""global_v1_mass_aware"",""categorized_v1_features_mass_aware_ablation"",""categorized_cms_inspired_mass_aware"",""categorized_cms_inspired_explicit_dijet_mass_plane_blind""]"	low_mhh	"[""score"",""training_target""]"	frozen_global_development_weights	empirical_weighted_ROC	"{""x"":[0,1],""y"":[1,100000.0]}"	"[""$\\epsilon_S$"",""$1/\\epsilon_B$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	79571	pass
plots/low_mhh_precision_recall.png	plots/low_mhh_precision_recall.pdf	low_mhh_precision_recall	"[""global_v1_mass_aware"",""categorized_v1_features_mass_aware_ablation"",""categorized_cms_inspired_mass_aware"",""categorized_cms_inspired_explicit_dijet_mass_plane_blind""]"	low_mhh	"[""score"",""training_target""]"	frozen_global_development_weights	empirical_weighted_precision_recall	"{""x"":[0,1],""y"":[0,1]}"	"[""$\\epsilon_S$"",""precision""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	175595	pass
plots/low_mhh_precision_recall.pdf	plots/low_mhh_precision_recall.png	low_mhh_precision_recall	"[""global_v1_mass_aware"",""categorized_v1_features_mass_aware_ablation"",""categorized_cms_inspired_mass_aware"",""categorized_cms_inspired_explicit_dijet_mass_plane_blind""]"	low_mhh	"[""score"",""training_target""]"	frozen_global_development_weights	empirical_weighted_precision_recall	"{""x"":[0,1],""y"":[0,1]}"	"[""$\\epsilon_S$"",""precision""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	108577	pass
plots/low_mhh_score_distributions_primary.png	plots/low_mhh_score_distributions_primary.pdf	low_mhh_score_distributions_primary	"[""categorized_cms_inspired_mass_aware""]"	low_mhh	"[""score"",""training_target""]"	development_weighted_unit_density	40 uniform bins [0,1]	"{""x"":[0,1],""y"":""automatic""}"	"[""BDT score""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	104310	pass
plots/low_mhh_score_distributions_primary.pdf	plots/low_mhh_score_distributions_primary.png	low_mhh_score_distributions_primary	"[""categorized_cms_inspired_mass_aware""]"	low_mhh	"[""score"",""training_target""]"	development_weighted_unit_density	40 uniform bins [0,1]	"{""x"":[0,1],""y"":""automatic""}"	"[""BDT score""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	25710	pass
plots/low_mhh_feature_importance_primary.png	plots/low_mhh_feature_importance_primary.pdf	low_mhh_feature_importance_primary	"[""categorized_cms_inspired_mass_aware""]"	low_mhh	"[""xgboost_gain""]"	per_fold_unit_sum_then_fold_mean	top_15	"{""x"":""automatic"",""y"":""top_15""}"	"[""normalized gain""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	106109	pass
plots/low_mhh_feature_importance_primary.pdf	plots/low_mhh_feature_importance_primary.png	low_mhh_feature_importance_primary	"[""categorized_cms_inspired_mass_aware""]"	low_mhh	"[""xgboost_gain""]"	per_fold_unit_sum_then_fold_mean	top_15	"{""x"":""automatic"",""y"":""top_15""}"	"[""normalized gain""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	31358	pass
plots/background_rhh_score_quintiles_low_mhh_primary.png	plots/background_rhh_score_quintiles_low_mhh_primary.pdf	background_rhh_score_quintiles_low_mhh_primary	"[""categorized_cms_inspired_mass_aware""]"	low_mhh	"[""score_quintile"",""r_hh_125_125""]"	frozen_global_development_weights	five weighted score quintiles	"{""x"":[1,5],""y"":""automatic""}"	"[""$R_{HH}$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PNG	117105	pass
plots/background_rhh_score_quintiles_low_mhh_primary.pdf	plots/background_rhh_score_quintiles_low_mhh_primary.png	background_rhh_score_quintiles_low_mhh_primary	"[""categorized_cms_inspired_mass_aware""]"	low_mhh	"[""score_quintile"",""r_hh_125_125""]"	frozen_global_development_weights	five weighted score quintiles	"{""x"":[1,5],""y"":""automatic""}"	"[""$R_{HH}$""]"	scripts/plotting/hh4b_cms_style.py	b27346c4395a712cc9225cf7ee27c3001df559b3fd0fc20d9508246e63fc2bdc	true	false	300	PDF	22905	pass
