method	category	oof_rows	weighted_roc_auc	raw_roc_auc	weighted_average_precision	raw_average_precision	fold_mean_weighted_roc_auc	fold_std_weighted_roc_auc	fold_min_weighted_roc_auc	fold_max_weighted_roc_auc	fold_mean_raw_roc_auc	fold_std_raw_roc_auc	fold_min_raw_roc_auc	fold_max_raw_roc_auc	fold_mean_weighted_average_precision	fold_std_weighted_average_precision	fold_min_weighted_average_precision	fold_max_weighted_average_precision	fold_mean_raw_average_precision	fold_std_raw_average_precision	fold_min_raw_average_precision	fold_max_raw_average_precision	reference_retrained	status
global_v1_mass_aware	low_mhh	28164	0.740623470143	0.765705309643	0.784558471744	0.51650762118	0.74382524792	0.015976521592	0.719440842127	0.764086383257	0.768232502201	0.0193053457512	0.730557064864	0.783193002267	0.788031987679	0.0212693698764	0.750740038158	0.817084214394	0.525327980853	0.0489213396704	0.444763197925	0.591627879604	false	pass
global_v1_mass_aware	high_mhh	29162	0.798590810687	0.835046730379	0.761812193609	0.507838392809	0.808437247711	0.0312077521087	0.759908300796	0.853275931786	0.837681860963	0.010439824862	0.818667490131	0.848239492532	0.775983229122	0.0658122764072	0.686974750404	0.861463036882	0.511087581139	0.0642622806308	0.405482454975	0.565334144342	false	pass
global_v1_explicit_dijet_mass_plane_blind	low_mhh	28164	0.702167813415	0.737468076702	0.737586532245	0.468060545972	0.704191350857	0.0145567435617	0.686105615607	0.724599830079	0.739662936045	0.0206225809	0.700105548193	0.75614201884	0.739857843334	0.0297276809887	0.710120444878	0.789735111227	0.474567219812	0.0469978518232	0.406719430675	0.53224758676	false	pass
global_v1_explicit_dijet_mass_plane_blind	high_mhh	29162	0.747238335256	0.79698096905	0.704038474819	0.420527406517	0.755506866816	0.0287176401961	0.712203353866	0.789383708388	0.799621060113	0.0143462593298	0.772770340447	0.812030549806	0.711160834039	0.0720421965209	0.643504448286	0.801647555095	0.426445627971	0.0591888850196	0.326490469095	0.476732470125	false	pass
