comparison	category	metric	first_method	second_method	first_value	second_value	difference	statistical_significance_claimed	status
categorization_alone	low_mhh	weighted_roc_auc	categorized_v1_features_mass_aware_ablation	global_v1_mass_aware	0.732298600605	0.740623470143	-0.00832486953811	false	pass
categorization_alone	low_mhh	fold_std_weighted_roc_auc	categorized_v1_features_mass_aware_ablation	global_v1_mass_aware	0.0204614130333	0.015976521592	0.00448489144124	false	pass
added_18_features	low_mhh	weighted_roc_auc	categorized_cms_inspired_mass_aware	categorized_v1_features_mass_aware_ablation	0.753744498261	0.732298600605	0.0214458976566	false	pass
added_18_features	low_mhh	fold_std_weighted_roc_auc	categorized_cms_inspired_mass_aware	categorized_v1_features_mass_aware_ablation	0.0177918454707	0.0204614130333	-0.00266956756253	false	pass
explicit_mass_plane_dependence	low_mhh	weighted_roc_auc	categorized_cms_inspired_mass_aware	categorized_cms_inspired_explicit_dijet_mass_plane_blind	0.753744498261	0.720446872512	0.0332976257493	false	pass
explicit_mass_plane_dependence	low_mhh	fold_std_weighted_roc_auc	categorized_cms_inspired_mass_aware	categorized_cms_inspired_explicit_dijet_mass_plane_blind	0.0177918454707	0.0135134119214	0.00427843354931	false	pass
categorization_alone	high_mhh	weighted_roc_auc	categorized_v1_features_mass_aware_ablation	global_v1_mass_aware	0.80113168093	0.798590810687	0.0025408702434	false	pass
categorization_alone	high_mhh	fold_std_weighted_roc_auc	categorized_v1_features_mass_aware_ablation	global_v1_mass_aware	0.027410575476	0.0312077521087	-0.00379717663266	false	pass
added_18_features	high_mhh	weighted_roc_auc	categorized_cms_inspired_mass_aware	categorized_v1_features_mass_aware_ablation	0.805324916529	0.80113168093	0.00419323559942	false	pass
added_18_features	high_mhh	fold_std_weighted_roc_auc	categorized_cms_inspired_mass_aware	categorized_v1_features_mass_aware_ablation	0.035517663457	0.027410575476	0.00810708798093	false	pass
explicit_mass_plane_dependence	high_mhh	weighted_roc_auc	categorized_cms_inspired_mass_aware	categorized_cms_inspired_explicit_dijet_mass_plane_blind	0.805324916529	0.768686433991	0.0366384825387	false	pass
explicit_mass_plane_dependence	high_mhh	fold_std_weighted_roc_auc	categorized_cms_inspired_mass_aware	categorized_cms_inspired_explicit_dijet_mass_plane_blind	0.035517663457	0.0396068764623	-0.00408921300539	false	pass
categorization_alone	combined	background_efficiency_at_signal_0.3	categorized_v1_features_mass_aware_ablation	global_v1_mass_aware	0.0483801389672	0.0433572359306	0.00502290303662	false	pass
added_18_features	combined	background_efficiency_at_signal_0.3	categorized_cms_inspired_mass_aware	categorized_v1_features_mass_aware_ablation	0.0404427122116	0.0483801389672	-0.00793742675568	false	pass
explicit_mass_plane_dependence	combined	background_efficiency_at_signal_0.3	categorized_cms_inspired_mass_aware	categorized_cms_inspired_explicit_dijet_mass_plane_blind	0.0404427122116	0.0661210637725	-0.0256783515609	false	pass
categorization_alone	combined	background_efficiency_at_signal_0.5	categorized_v1_features_mass_aware_ablation	global_v1_mass_aware	0.128728901158	0.122795610902	0.0059332902561	false	pass
added_18_features	combined	background_efficiency_at_signal_0.5	categorized_cms_inspired_mass_aware	categorized_v1_features_mass_aware_ablation	0.128906515606	0.128728901158	0.000177614448515	false	pass
explicit_mass_plane_dependence	combined	background_efficiency_at_signal_0.5	categorized_cms_inspired_mass_aware	categorized_cms_inspired_explicit_dijet_mass_plane_blind	0.128906515606	0.182864433827	-0.0539579182205	false	pass
categorization_alone	combined	background_efficiency_at_signal_0.7	categorized_v1_features_mass_aware_ablation	global_v1_mass_aware	0.309409885075	0.30734147342	0.00206841165506	false	pass
added_18_features	combined	background_efficiency_at_signal_0.7	categorized_cms_inspired_mass_aware	categorized_v1_features_mass_aware_ablation	0.275044417218	0.309409885075	-0.034365467857	false	pass
explicit_mass_plane_dependence	combined	background_efficiency_at_signal_0.7	categorized_cms_inspired_mass_aware	categorized_cms_inspired_explicit_dijet_mass_plane_blind	0.275044417218	0.331137518672	-0.0560931014538	false	pass
categorization_alone	combined	background_efficiency_at_signal_0.585957314769	categorized_v1_features_mass_aware_ablation	global_v1_mass_aware	0.196387017332	0.184305471151	0.012081546181	false	pass
added_18_features	combined	background_efficiency_at_signal_0.585957314769	categorized_cms_inspired_mass_aware	categorized_v1_features_mass_aware_ablation	0.183893493127	0.196387017332	-0.0124935242058	false	pass
explicit_mass_plane_dependence	combined	background_efficiency_at_signal_0.585957314769	categorized_cms_inspired_mass_aware	categorized_cms_inspired_explicit_dijet_mass_plane_blind	0.183893493127	0.235698239994	-0.0518047468673	false	pass
