shortlist_role	label	point_id	point_type	transition_index	rhh_transition_value	rhh_threshold_value	events_added_at_transition	selected_signal	selected_background	unweighted_signal_efficiency	unweighted_background_efficiency	ggf_signal_efficiency	vbf_signal_efficiency	balanced_signal_efficiency	family_balanced_background_efficiency	background_family_efficiency_std	minimum_background_family_efficiency	maximum_background_family_efficiency	raw_count_proxy_s_over_sqrt_b	balanced_proxy_s_over_sqrt_b	balanced_proxy_s_over_b	eligible_for_ranking	pareto_frontier	fraction_of_best_proxy	near_optimal	stable_component
exact_proxy_maximum		exact_rhh_02101	observed_transition	2101	34.12742053804615	34.12742053804616	1	6156	11096	0.6171428571428571	0.23433507212096893	0.6403024729204987	0.594844549390004	0.6175735111552514	0.24496151601232585	0.07952373062305104	0.125	0.4099197665937272	58.44069702264981	1.2477849107993273	2.521104217546468	True	True	1.0	True	True
stable_high_purity		exact_rhh_01904	observed_transition	1904	33.83896324459629	33.8389632445963	1	6107	10948	0.6122305764411028	0.23120947815252055	0.6366237482117311	0.5887445887445888	0.6126841684781599	0.2428012917619333	0.07875073512109963	0.12376317923763179	0.40700218818380746	58.366079939816956	1.2434008559405003	2.5233974829050614	True	True	0.9964865299933635	True	True
higher-purity rounded anchor	higher-purity rounded anchor	rounded_rhh_31p5	rounded_anchor			31.5		5709	9790	0.5723308270676691	0.20675381723722835	0.5959534028203556	0.5495867768595041	0.5727700898399298	0.21552674479510053	0.07373905250941012	0.10714285714285714	0.37199124726477023	57.69905457523897	1.233757330665326	2.657536030549051	True		0.98875801429189	False	
fine-grid proxy optimum	fine-grid proxy optimum	rounded_rhh_34p0	rounded_anchor			34.0		6136	11042	0.6151378446115289	0.23319465270004858	0.6382587369711833	0.5928768201495475	0.6155677785603654	0.2444506323585033	0.07903214399430473	0.125	0.4084609773887673	58.393092961073634	1.245031376543508	2.518168075988422	True		0.9977932620983087	True	
higher-efficiency rounded anchor	higher-efficiency rounded anchor	rounded_rhh_35p5	rounded_anchor			35.5		6367	11805	0.6382957393483709	0.24930835674008997	0.6633966891477621	0.6141282959464778	0.6387624925471199	0.2638277099679978	0.08369062119472302	0.125	0.43544857768052514	58.60057186110145	1.2435956750962793	2.4211349619969846	True		0.9966426619950354	True	
