production_row_index	source_uid	group_id	source_fold	sample_class	process_or_mode	generator_weight_transport_class	accounting_rows	resolved_rows	non_broad_rows	assignment_matchable_rows	historical_parity_rows	historical_maximum_absolute_difference	accounting_sha256	resolved_sha256	byte_identical_internal_rerun	status
15	48a560034fc93461d1a27171::background::374::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	48a560034fc93461d1a27171	3	background	qcd_bbbb_iht400to600	not_applicable_auxiliary_qcd	10000	8085	1915	0	1581	0.0	bcb93086b8516f961eb308f171b72201911e5f4e33852220c0eb77c8861d4167	2870e89b31abb82d1c23a0a92d09470733d89097c3e45c050417113c7de38360	True	pass
23	2b75740d79c95d2ed01426b1::background::1::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	2b75740d79c95d2ed01426b1	2	background	bbh_hbb_4fs	signed_exact_event_sidecar	10000	3114	6886	0	334	0.0	8ded036b7579fc54cf24422c94b9444d068d5e9413f95cdfc12a40e2360eba01	9425870bcd58e175ac50688476224852b1fee0e0c58f9933a4f677de0aed90f3	True	pass
90	4b23df1afb18cd2abd379780::background::175::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1855_seed1211855_bundle.tar.gz	4b23df1afb18cd2abd379780	1	background	qcd_hardqcd	qcd_variable_frozen_fragment	10000	640	9360	0	0	0.0	984addb4c60bd7b3c6b69b9a1d63e4a8d6f800cfa93b0499c9635fd5156576ad	02ab1718be518013810b6fe87ce9ba9ed91951cba72efd08a267a3b9a2f10a1e	True	pass
190	d1bb23222fde702852fcc5e2::background::145::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin07_pthat1000toInf_shard1182_seed1271182_bundle.tar.gz	d1bb23222fde702852fcc5e2	1	background	qcd_hardqcd	qcd_uniform_constant	10000	6139	3861	0	8	0.0	67c53f3ba06cd914f80c47ab07164282872c4942cea5bdfd01413256fc2592d7	60a8c48d83521fee95023ca1c1e0351c14ea29adef524e15cb16c6fa7007ff9f	True	pass
315	89bdf3a3353582c2558f715d::background::486::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz	89bdf3a3353582c2558f715d	3	background	tttt	uniform_member_constant	10000	9941	59	0	2016	0.0	a93ad91a97f663002841f3a932cb2798fa83925a10e556f68a5027a4a83955f3	e9f6daae27f2843b1543208e29deb33b8dcbe7c90e584e5a75ef60192d37af9e	True	pass
388	278e9d103607e2e5999aa4b7::signal::27::ggf_shard_027	278e9d103607e2e5999aa4b7	0	signal	ggf_hh4b	uniform_member_constant	1000	635	365	243	74	0.0	9c741b31ea4ab2fd0bcda8355284fa0c25d0be593f788e681792e07c6ecd910e	6c9df8b436bd1346152181095cd88408a1d3366060d4c9efa5b16dcbb8e60724	True	pass
463	e91c377b6decd1e2d8d19143::signal::103::vbf_hh4b_sm_run2_frozen_v2_train_shard9403_10k	e91c377b6decd1e2d8d19143	4	signal	vbf_hh4b	uniform_member_constant	10000	6425	3575	2096	691	0.0	5f9cb8c9e72d1226181b94aef889ff38c48c701a9657cc50895fe4c6778868be	353283aedc7650a29d38a48e68a5519145d4c72f812c1bc74e2a7c49d127e503	True	pass
