sample,expected_generated_events,root_files_found,root_events_found,root_status,parquet_files_found,parquet_candidate_rows,root_patterns,parquet_patterns,bad_root_files
ggF_HH4b_SMnorm,10000,10,10000,ROOT_COMPLETE,1,641,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_*_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_merged_10k_hh4b_candidates.parquet,
VBF_HH4b_SMnorm,10000,10,10000,ROOT_COMPLETE,1,694,HH4b_vbf_hh4b_10k_transfer_cluster_3473183_shard_*_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3473183_merged_10k_hh4b_candidates.parquet,
ttbar_200k,200000,20,200000,ROOT_COMPLETE,1,753,ttbar_200k_shard*_pythia8_delphes.root,ttbar_200k_merged_hh4b_candidates.parquet,
Zbbbb_100k,100000,1,10000,ROOT_PARTIAL_10000_of_100000,1,3469,zbbbb_presel_100k_shard*_pythia8_delphes.root;Zbbbb*100k*delphes.root,zbbbb_presel_100k_merged_hh4b_candidates.parquet,
qcd_bbbb_iht100to200_20000,20000,0,0,ROOT_MISSING,1,315,qcd_bbbb_iht100to200_20000*delphes.root,qcd_bbbb_iht100to200_20000_hh4b_candidates.parquet,
qcd_bbbb_iht200to400_combined120k,120000,1,10000,ROOT_PARTIAL_10000_of_120000,1,8248,qcd_bbbb_iht200to400_20000*delphes.root;qcd_bbbb_iht200to400_extra100k*delphes.root,qcd_bbbb_iht200to400_combined120k_merged_hh4b_candidates.parquet,
qcd_bbbb_iht400to600_20000,20000,0,0,ROOT_MISSING,1,2903,qcd_bbbb_iht400to600_20000*delphes.root,qcd_bbbb_iht400to600_20000_hh4b_candidates.parquet,
qcd_bbbb_iht600plus_20000,20000,0,0,ROOT_MISSING,1,3686,qcd_bbbb_iht600plus_20000*delphes.root,qcd_bbbb_iht600plus_20000_hh4b_candidates.parquet,
