claim_id	value	units	source_checkpoint	source_file	field_row_column	source_file_sha256	generating_script	current_commit	data_status	metric_status	projection_or_closure_status	publication_placement
CLAIM-001	441	source members	c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1/summary.json	source_rows	f6ac017f648d53c6e1826781cd8a8fdb301f79bbd35b8c6302c56b5b6cc16f64	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	train_population_inventory	main_text
CLAIM-002	108678	candidate rows	c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1/summary.json	threeb_rows	f6ac017f648d53c6e1826781cd8a8fdb301f79bbd35b8c6302c56b5b6cc16f64	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_lower_b_tag_population	main_text
CLAIM-003	30705	candidate rows	c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1/summary.json	fourb_rows	f6ac017f648d53c6e1826781cd8a8fdb301f79bbd35b8c6302c56b5b6cc16f64	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	four_b_tag_development_population	main_text
CLAIM-004	0.023387343250723763	dimensionless	c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1/summary.json	nominal_transfer_factor	09ef31a82f8de80f6c5caa1c6dd4e7a142dafafdfbfe4a6cb3e462644e574dc7	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_transferred_qcd_projection	main_text
CLAIM-005	0.5579607009130129	relative	c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1/summary.json	nominal_transfer_factor_relative_statistical_uncertainty	09ef31a82f8de80f6c5caa1c6dd4e7a142dafafdfbfe4a6cb3e462644e574dc7	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	systematic-aware	primary_transferred_qcd_projection	main_text
CLAIM-006	0.7383222020425906	dimensionless	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: weighted_auc	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	train_oof_development	main_text
CLAIM-007	0.707345379411236	dimensionless	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: unweighted_auc	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	train_oof_development	appendix
CLAIM-008	0.0516823312277458	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: asimov_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_transferred_qcd_projection	main_text
CLAIM-009	2.0413045566085704e-05	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: systematic_aware_asimov_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	systematic-aware	primary_projection_with_secondary_direct_qcd_closure	main_text
CLAIM-010	5.323313355328444e-05	dimensionless	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: signal_over_background	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_transferred_qcd_projection	main_text
CLAIM-011	45.79522835444936	effective events	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: background_effective_events	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_transferred_qcd_projection	appendix
CLAIM-012	0.0519460784377243	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: bootstrap_median_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_projection_source_bootstrap	main_text
CLAIM-013	0.047850511394315	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: bootstrap_p16_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_projection_source_bootstrap	main_text
CLAIM-014	0.0560184426442988	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: bootstrap_p84_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_projection_source_bootstrap	main_text
CLAIM-015	0.4054328757159729	relative	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: score_domain_qcd_relative_nonclosure	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	systematic-aware	secondary_direct_qcd_closure	diagnostic
CLAIM-016	2.2536792864082447	relative	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=cut; column: multijet_systematic_relative_to_total_background	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	systematic-aware	primary_projection_with_secondary_direct_qcd_closure	main_text
CLAIM-017	0.7714696516085886	dimensionless	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: weighted_auc	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	train_oof_development	main_text
CLAIM-018	0.802486262349921	dimensionless	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: unweighted_auc	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	train_oof_development	appendix
CLAIM-019	0.0635540927812224	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: asimov_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_transferred_qcd_projection	main_text
CLAIM-020	3.839423618243876e-05	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: systematic_aware_asimov_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	systematic-aware	primary_projection_with_secondary_direct_qcd_closure	main_text
CLAIM-021	8.398514596893795e-05	dimensionless	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: signal_over_background	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_transferred_qcd_projection	main_text
CLAIM-022	28.1164350596006	effective events	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: background_effective_events	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_transferred_qcd_projection	appendix
CLAIM-023	0.0636984150036077	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: bootstrap_median_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_projection_source_bootstrap	main_text
CLAIM-024	0.0581316301425975	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: bootstrap_p16_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_projection_source_bootstrap	main_text
CLAIM-025	0.0702748673961881	sigma	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: bootstrap_p84_ZA	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	primary_projection_source_bootstrap	main_text
CLAIM-026	0.7041830151241519	relative	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: score_domain_qcd_relative_nonclosure	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	systematic-aware	secondary_direct_qcd_closure	diagnostic
CLAIM-027	2.261619640509085	relative	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=bdt; column: multijet_systematic_relative_to_total_background	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	systematic-aware	primary_projection_with_secondary_direct_qcd_closure	main_text
CLAIM-028	0.7214607574655768	dimensionless	c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1/baseline_metrics.tsv	row: baseline=dense_dnn; column: weighted_auc	ef5bbe041e81ec4a162cbc9b3bf2ec37ead753a7a4e57b5f5f7ba8ea9b0fd2e0	scripts/analysis/publish_pn_c7v_results_and_figures.py	b684bc4436252bfd789bcb64c3d2cacfa23a075f	train-only	nominal	train_oof_development	main_text
