comparison	model	reference_model	metric	nominal_difference	bootstrap_median_difference	bootstrap_p16_difference	bootstrap_p84_difference	bootstrap_p2p5_difference	bootstrap_p97p5_difference	valid_replicas	invalid_replicas	fraction_valid_difference_greater_than_zero	interval_includes_zero_68	interval_includes_zero_95
bdt_minus_cut	bdt	cut	weighted_auc	0.03314744956599802	0.033288187629129606	0.025269419558373474	0.04136696609881408	0.01840934084585869	0.0491828218210204	1000	0	1.0	False	False
bdt_minus_cut	bdt	cut	unweighted_auc	0.09514088293868506	0.09496791488285117	0.08405722439089622	0.10394733356220938	0.07372448877882201	0.11222912444765934	1000	0	1.0	False	False
bdt_minus_cut	bdt	cut	signal_efficiency	-4.759683507804535e-05	0.00016589543209660773	-0.0052899305084271745	0.005569878146042665	-0.0102966006486683	0.009941816766195048	1000	0	0.515	True	True
bdt_minus_cut	bdt	cut	background_efficiency	-0.0350014725919697	-0.03506544308005137	-0.04854610592739479	-0.02230800903146355	-0.06259671682614411	-0.006801179673909987	1000	0	0.008	False	False
bdt_minus_cut	bdt	cut	background_rejection	0.03500147259196973	0.03506544308005133	0.02230800903146356	0.048546105927394764	0.006801179673909906	0.06259671682614405	1000	0	0.992	False	False
bdt_minus_cut	bdt	cut	selected_signal_yield	-2.082952620326715	-2.0504919889323894	-2.4848261002619196	-1.659531114368918	-2.9221087356497826	-1.2843904560016146	1000	0	0.0	False	False
bdt_minus_cut	bdt	cut	selected_background_yield	-369944.3004656668	-364663.7346183674	-489584.96469958994	-249149.47247968736	-608776.2165769436	-134308.00930777844	1000	0	0.001	False	False
bdt_minus_cut	bdt	cut	signal_over_background	3.075201241565351e-05	3.059508058557741e-05	1.8521407714471557e-05	4.559143879071197e-05	8.662168368599737e-06	6.300741002110526e-05	1000	0	0.997	False	False
bdt_minus_cut	bdt	cut	signal_over_sqrt_background	0.01187219260558036	0.011848230435365724	0.007212800578920616	0.017240254279283974	0.003101919137584192	0.022524809090231145	1000	0	0.993	False	False
bdt_minus_cut	bdt	cut	background_effective_events	-17.678793294848745	-17.22737894270888	-22.922716681615523	-11.576054725614311	-29.413960448787698	-6.722604575723564	1000	0	0.005	False	False
bdt_minus_cut	bdt	cut	signal_effective_events	-121.4379319863533	-118.98362715018493	-151.7904628572243	-89.60668334733755	-183.75706808280415	-61.65519484104745	1000	0	0.0	False	False
bdt_minus_cut	bdt	cut	nominal_asimov_ZA	0.01187176155372588	0.01184785664808407	0.007212526006178324	0.017239463597602776	0.0031018192516389727	0.02252377385257663	1000	0	0.993	False	False
