region	transferred_qcd_yield	direct_qcd_closure_yield	closure_ratio	transferred_p16	transferred_p84	direct_p16	direct_p84	ratio_p16	ratio_p84	ratio_valid_replicas	ratio_invalid_replicas	support_flag	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
Inclusive baseline	3798151.560140094	8859365.004916377	0.42871600369014756	3434919.6136955465	4154847.9613730526	6258325.809643498	11418546.86711608	0.3320003601333237	0.606572606784094	1000	0	True	0.42871600369014756	0.3320003601333237	0.606572606784094	1000	True	paired_source_member_bootstrap_p16_p84
$R_{HH}<30$	756852.4612812647	1351428.4859905671	0.5600388545358422	628179.8350825971	899772.2049499194	547819.7695440882	2242068.707475444	0.3288093688149611	1.4064019917983723	998	2	True	0.5600388545358422	0.3288093688149611	1.4064019917983723	998	True	paired_source_member_bootstrap_p16_p84
$30\leq R_{HH}<55$	1247776.378294466	1247776.3782944665	0.9999999999999997	1060596.8006977425	1421037.793133778	580486.8482740547	1910338.7631289593	0.6383546923917267	2.2019326586546897	999	1	True	0.9999999999999997	0.6383546923917267	2.2019326586546897	999	True	paired_source_member_bootstrap_p16_p84
$R_{HH}\geq55$	1793522.720564363	6260160.140631344	0.2864978978610417	1584627.7267605306	2000944.5406010824	3925440.8979886686	8712845.818376303	0.20638209619795092	0.4565432782358007	1000	0	True	0.2864978978610417	0.20638209619795092	0.4565432782358007	1000	True	paired_source_member_bootstrap_p16_p84
Frozen $R_{HH}<34$	822051.9325452247	1382605.7630332871	0.5945671242840271	689311.0372495987	969295.7129896864	578656.4721791997	2244151.949868186	0.3549151801104028	1.462485869619958	1000	0	True	0.5945671242840271	0.3549151801104028	1.462485869619958	1000	True	paired_source_member_bootstrap_p16_p84
$R_{HH}<31.5$	767479.3639751517	1351428.4859905671	0.567902313685956	635324.5721128733	910668.3110403559	547819.7695440882	2242068.707475444	0.3363541394477284	1.4228031075926324	998	2	True	0.567902313685956	0.3363541394477284	1.4228031075926324	998	True	paired_source_member_bootstrap_p16_p84
$R_{HH}<35.5$	943161.414377322	1382605.7630332871	0.6821622183232682	789853.0950396337	1098099.680994541	578656.4721791997	2244151.949868186	0.4057066245936405	1.6902632077025472	1000	0	True	0.6821622183232682	0.4057066245936405	1.6902632077025472	1000	True	paired_source_member_bootstrap_p16_p84
