figure_id	stem	authoritative_pdf	png_companion	source_data	caption	paper_source_data	paper_caption	split	evaluation	branding
fig01	fig01_weighted_roc	figures/fig01_weighted_roc.pdf	figures/fig01_weighted_roc.png	figures/fig01_weighted_roc.tsv	figures/fig01_weighted_roc_caption.tex	source_data/fig01_weighted_roc.tsv	captions/fig01_weighted_roc_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig02	fig02_oof_score_distributions	figures/fig02_oof_score_distributions.pdf	figures/fig02_oof_score_distributions.png	figures/fig02_oof_score_distributions.tsv	figures/fig02_oof_score_distributions_caption.tex	source_data/fig02_oof_score_distributions.tsv	captions/fig02_oof_score_distributions_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig03	fig03_efficiency_background_rejection	figures/fig03_efficiency_background_rejection.pdf	figures/fig03_efficiency_background_rejection.png	figures/fig03_efficiency_background_rejection.tsv	figures/fig03_efficiency_background_rejection_caption.tex	source_data/fig03_efficiency_background_rejection.tsv	captions/fig03_efficiency_background_rejection_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig04	fig04_nominal_za_scan	figures/fig04_nominal_za_scan.pdf	figures/fig04_nominal_za_scan.png	figures/fig04_nominal_za_scan.tsv	figures/fig04_nominal_za_scan_caption.tex	source_data/fig04_nominal_za_scan.tsv	captions/fig04_nominal_za_scan_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig05	fig05_systematic_za_scan	figures/fig05_systematic_za_scan.pdf	figures/fig05_systematic_za_scan.png	figures/fig05_systematic_za_scan.tsv	figures/fig05_systematic_za_scan_caption.tex	source_data/fig05_systematic_za_scan.tsv	captions/fig05_systematic_za_scan_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig06	fig06_bootstrap_za	figures/fig06_bootstrap_za.pdf	figures/fig06_bootstrap_za.png	figures/fig06_bootstrap_za.tsv	figures/fig06_bootstrap_za_caption.tex	source_data/fig06_bootstrap_za.tsv	captions/fig06_bootstrap_za_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig07	fig07_nominal_baseline_comparison	figures/fig07_nominal_baseline_comparison.pdf	figures/fig07_nominal_baseline_comparison.png	figures/fig07_nominal_baseline_comparison.tsv	figures/fig07_nominal_baseline_comparison_caption.tex	source_data/fig07_nominal_baseline_comparison.tsv	captions/fig07_nominal_baseline_comparison_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig08	fig08_earlier_current_metrics	figures/fig08_earlier_current_metrics.pdf	figures/fig08_earlier_current_metrics.png	figures/fig08_earlier_current_metrics.tsv	figures/fig08_earlier_current_metrics_caption.tex	source_data/fig08_earlier_current_metrics.tsv	captions/fig08_earlier_current_metrics_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig09	fig09_population_change	figures/fig09_population_change.pdf	figures/fig09_population_change.png	figures/fig09_population_change.tsv	figures/fig09_population_change_caption.tex	source_data/fig09_population_change.tsv	captions/fig09_population_change_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig10	fig10_selected_process_composition	figures/fig10_selected_process_composition.pdf	figures/fig10_selected_process_composition.png	figures/fig10_selected_process_composition.tsv	figures/fig10_selected_process_composition_caption.tex	source_data/fig10_selected_process_composition.tsv	captions/fig10_selected_process_composition_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig11	fig11_transfer_factors	figures/fig11_transfer_factors.pdf	figures/fig11_transfer_factors.png	figures/fig11_transfer_factors.tsv	figures/fig11_transfer_factors_caption.tex	source_data/fig11_transfer_factors.tsv	captions/fig11_transfer_factors_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
fig12	fig12_transfer_closure	figures/fig12_transfer_closure.pdf	figures/fig12_transfer_closure.png	figures/fig12_transfer_closure.tsv	figures/fig12_transfer_closure_caption.tex	source_data/fig12_transfer_closure.tsv	captions/fig12_transfer_closure_caption.tex	train	source_group_oof_or_frozen_projection	Delphes simulation; no CMS approval implied
