checkpoint	checkpoint_root	relative_path	bytes	sha256	artifact_kind	rows	columns	inspection
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	COMPLETE	42	72b23bd3b35721903dd298ecec36b999de14c761473c9b721b07b3b9ff6f1bb9	marker			text_lines=1
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	README.md	375	cd9ac6ad7b0a5d62a4d86681d515ca4aea3b13a71d2c1b5c9d156ec5b2e22dca	md			text_lines=3
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	RUN_CONTRACT.txt	325	99f301b99a664807d815ab5620e32593cde722b61c4e950d68fc1c849367157f	txt			text_lines=1
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	SHA256SUMS	1504	4356554c5cb927f2c1daa1c412f2797ad398f31df5c27525a084748da7eda273	checksum_manifest	15	2	parsed and every listed member independently verified
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	fourb_prior_closure_reproduction.tsv	2017	2dc2e74ca2350e7d85f47f516f71f12408b764d3af5b82f28b20b3c802978be3	tsv	10	13	columns=comparison,region,mhh_category,btag_category,sample_class,process_or_mode,expected_raw_rows,observed_raw_rows,expected_signed_yield,observed_signed_yield,absolute_yield_difference,absolute_sum2_difference,pass
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	schemas.json	6632	0699d73c8dfcd6393ec7fff5f416aa64c9f20b72ae0be621c11ffc0969d66710	json			json_keys=fourb,threeb
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	source_evidence_manifest.tsv	1187	8a669085baf305b9a2d7ded9b1262b4ff153c5f2b726f3e4fc384dc8c44431c4	tsv	5	3	columns=path,sha256,role
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	source_materialization_registry.tsv	321145	2993256ee31f77355e74c6c109cb35d43fc09817274c79d5296679b726e61ba7	tsv	441	25	columns=production_row_index,population_kind,sample_class,process_or_mode,campaign,transport_id,source_index_or_target_index,transport_class,source_access_mode,generated_events,threeb_rows,fourb_rows,cross_section_coefficient_pb_per_generator_weight,run2_luminosity_pb_inverse,run2_yield_coefficient_per_generator_weight,source_payload_sha256,source_checksum_kind,source_checksum_expected,root_sha256,threeb_fragment_sha256,generator_weight_fragment_sha256,fourb_candidate_sha256,event_overlap,validation_payload_opened,test_payload_opened
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	summary.json	4350	f6ac017f648d53c6e1826781cd8a8fdb301f79bbd35b8c6302c56b5b6cc16f64	json			json_keys=baseline_development_authorized,candidate_multiplicity_division_applied,category_summary,created_utc,fourb_prior_closure_reproduction,fourb_rows,input_harvest,next_gate,output_checkpoint,paper_geometry,physical_weights_authorized_at_this_gate,physical_yields_authorized_at_this_gate,run2_luminosity_pb_inverse,schema_version,source_rows,split,status,table_artifacts,test_or_evaluation_payload_files_opened,threeb_fourb_composite_identity_overlap,threeb_rows,validation_payload_files_opened
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	table_artifact_manifest.tsv	409	cbef7e36f332554815b6885a25f5884cfc56a46a2dec73a5d1869cfe9fe5fcc9	tsv	2	10	columns=path,bytes,sha256,rows,columns,row_groups,compression,split,validation_opened,test_opened
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	tables/train_at_least4b_run2_physical.parquet	10871667	9fa0c54b31288a25d1b911aeb8f69b8cb82377aa341a63d5bccc643f80beb6d5	parquet	30705	101	columns=sample,event,n_selected_jets,n_selected_bjets,n_extra_selected_jets,n_extra_selected_bjets,ht_selected_jets,ht_selected_bjets,ht_candidate_jets,pairing,pairing_combo_bjet_ranks,pairing_score_125_125,higgs_ordering,mbb1,mbb2,avg_mbb,delta_mbb,r_hh,r_hh_125_125,r_hh_125_120,mhh,hh_pt,hh_eta,hh_phi,h1_pt,h1_eta,h1_phi,h2_pt,h2_eta,h2_phi,h_delta_eta,h_delta_phi,h_delta_r,h_pt_balance,drbb1,drbb2,j1_pt,j2_pt,j3_pt,j4_pt,j1_eta,j1_phi,j1_mass,j1_btag,j1_flavor,j1_raw_index,j1_selected_index,j1_bjet_rank,j2_eta,j2_phi,j2_mass,j2_btag,j2_flavor,j2_raw_index,j2_selected_index,j2_bjet_rank,j3_eta,j3_phi,j3_mass,j3_btag,j3_flavor,j3_raw_index,j3_selected_index,j3_bjet_rank,j4_eta,j4_phi,j4_mass,j4_btag,j4_flavor,j4_raw_index,j4_selected_index,j4_bjet_rank,candidate_row_index,production_row_index,population_kind,sample_class,process_or_mode,campaign,production_campaign,transport_id,source_index_or_target_index,transport_class,source_access_mode,final_split,physical_category,source_payload_sha256,input_source_checksum_kind,input_source_checksum_expected,input_root_sha256,input_category_fragment_sha256,input_generator_weight_fragment_sha256,generator_nominal_weight,generator_weight_sign,cross_section_coefficient_pb_per_generator_weight,generator_cross_section_contribution_pb,run2_luminosity_pb_inverse,run2_yield_coefficient_per_generator_weight,run2_candidate_physical_weight,analysis_sample,source_root,source_root_index
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	tables/train_exactly3b_promoted_run2_physical.parquet	43069604	9e7ccf6420ddbe57172b07b61f6c2ba74df2ab28785e18665d5833ae321bddbf	parquet	108678	110	columns=sample,event,n_selected_jets,n_selected_bjets,n_extra_selected_jets,n_extra_selected_bjets,ht_selected_jets,ht_selected_bjets,ht_candidate_jets,pairing,pairing_combo_bjet_ranks,pairing_score_125_125,higgs_ordering,mbb1,mbb2,avg_mbb,delta_mbb,r_hh,r_hh_125_125,r_hh_125_120,mhh,hh_pt,hh_eta,hh_phi,h1_pt,h1_eta,h1_phi,h2_pt,h2_eta,h2_phi,h_delta_eta,h_delta_phi,h_delta_r,h_pt_balance,drbb1,drbb2,j1_pt,j2_pt,j3_pt,j4_pt,j1_eta,j1_phi,j1_mass,j1_btag,j1_flavor,j1_raw_index,j1_selected_index,j1_bjet_rank,j2_eta,j2_phi,j2_mass,j2_btag,j2_flavor,j2_raw_index,j2_selected_index,j2_bjet_rank,j3_eta,j3_phi,j3_mass,j3_btag,j3_flavor,j3_raw_index,j3_selected_index,j3_bjet_rank,j4_eta,j4_phi,j4_mass,j4_btag,j4_flavor,j4_raw_index,j4_selected_index,j4_bjet_rank,candidate_category,promoted_jet_rule,promoted_jet_raw_index,promoted_jet_selected_index,promoted_jet_pt,promoted_jet_eta,promoted_jet_phi,promoted_jet_mass,promoted_jet_btag,promoted_jet_flavor,n_selected_untagged_jets,generator_nominal_weight,generator_weight_provenance,candidate_row_index,production_row_index,population_kind,sample_class,process_or_mode,campaign,production_campaign,transport_id,source_index_or_target_index,transport_class,source_access_mode,final_split,physical_category,source_payload_sha256,input_source_checksum_kind,input_source_checksum_expected,input_root_sha256,input_category_fragment_sha256,input_generator_weight_fragment_sha256,generator_weight_sign,cross_section_coefficient_pb_per_generator_weight,generator_cross_section_contribution_pb,run2_luminosity_pb_inverse,run2_yield_coefficient_per_generator_weight,run2_candidate_physical_weight
