feature,importance_qcd
h_delta_r,0.14369126957053202
hh_pt,0.10886813455867152
max_drbb,0.09351812470658484
ht_selected_bjets,0.07935877886806403
min_drbb,0.06007254603163775
drbb1,0.05415859847722555
drbb2,0.046859292934919486
j1_pt,0.04238580987232176
avg_drbb,0.04115748547611397
h_pt_balance,0.03601906297692476
h2_pt,0.03489203572053298
ht_selected_jets,0.025735766926355215
j3_pt,0.022127849779660296
h_delta_eta,0.01699941540576328
j1_eta,0.016143006379553886
j4_eta,0.015814822094320686
pt_sum4,0.015469126333743257
ht_candidate_jets,0.015220342458946793
h1_pt,0.014891802075011555
pt_asym_12,0.013205844524834004
j2_pt,0.01279476422920118
j2_eta,0.012026132603996067
h_delta_phi,0.009998276632808176
pt_asym_34,0.008861708479056112
hh_eta,0.008493844390236129
h2_eta,0.007823716814647785
n_extra_selected_bjets,0.007293632827405803
n_selected_bjets,0.0067932297922483524
j3_eta,0.006570378856665662
h1_eta,0.006310457604128867
n_extra_selected_jets,0.005663212629705527
j4_pt,0.005646159426464459
n_selected_jets,0.005135370541718312
